Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0AFB,,time_created,1450285372
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1450285372,s,sport,2,,total_elapsed_time,1450286820,s,total_timer_time,1450286820,s,start_time,1450285372,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1450285372,s,heart_rate,107,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450285373,s,heart_rate,107,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450285374,s,heart_rate,108,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450285375,s,heart_rate,108,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450285376,s,heart_rate,110,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450285377,s,heart_rate,110,bpm,smo2,,percent,power,88,watts
Data,2,record,timestamp,1450285378,s,heart_rate,110,bpm,smo2,73.5,percent,power,88,watts
Data,2,record,timestamp,1450285379,s,heart_rate,111,bpm,smo2,73.1,percent,power,88,watts
Data,2,record,timestamp,1450285380,s,heart_rate,111,bpm,smo2,73.0,percent,power,143,watts
Data,2,record,timestamp,1450285381,s,heart_rate,111,bpm,smo2,72.8,percent,power,143,watts
Data,2,record,timestamp,1450285382,s,heart_rate,112,bpm,smo2,72.6,percent,power,139,watts
Data,2,record,timestamp,1450285383,s,heart_rate,112,bpm,smo2,72.1,percent,power,139,watts
Data,2,record,timestamp,1450285384,s,heart_rate,112,bpm,smo2,71.3,percent,power,130,watts
Data,2,record,timestamp,1450285385,s,heart_rate,112,bpm,smo2,70.7,percent,power,130,watts
Data,2,record,timestamp,1450285386,s,heart_rate,112,bpm,smo2,69.9,percent,power,130,watts
Data,2,record,timestamp,1450285387,s,heart_rate,113,bpm,smo2,69.5,percent,power,130,watts
Data,2,record,timestamp,1450285388,s,heart_rate,113,bpm,smo2,68.9,percent,power,120,watts
Data,2,record,timestamp,1450285389,s,heart_rate,113,bpm,smo2,68.4,percent,power,120,watts
Data,2,record,timestamp,1450285390,s,heart_rate,113,bpm,smo2,67.7,percent,power,120,watts
Data,2,record,timestamp,1450285391,s,heart_rate,113,bpm,smo2,66.6,percent,power,119,watts
Data,2,record,timestamp,1450285392,s,heart_rate,114,bpm,smo2,65.4,percent,power,122,watts
Data,2,record,timestamp,1450285393,s,heart_rate,114,bpm,smo2,64.5,percent,power,122,watts
Data,2,record,timestamp,1450285394,s,heart_rate,114,bpm,smo2,64.3,percent,power,122,watts
Data,2,record,timestamp,1450285395,s,heart_rate,115,bpm,smo2,64.8,percent,power,122,watts
Data,2,record,timestamp,1450285396,s,heart_rate,116,bpm,smo2,65.4,percent,power,125,watts
Data,2,record,timestamp,1450285397,s,heart_rate,116,bpm,smo2,65.7,percent,power,125,watts
Data,2,record,timestamp,1450285398,s,heart_rate,116,bpm,smo2,65.7,percent,power,125,watts
Data,2,record,timestamp,1450285399,s,heart_rate,116,bpm,smo2,65.3,percent,power,124,watts
Data,2,record,timestamp,1450285400,s,heart_rate,117,bpm,smo2,65.0,percent,power,119,watts
