Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0FEF,,time_created,1453826369
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1453826369,s,sport,2,,total_elapsed_time,1453830165,s,total_timer_time,1453830165,s,start_time,1453826369,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1453826369,s,heart_rate,118,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826370,s,heart_rate,118,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826371,s,heart_rate,118,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826372,s,heart_rate,118,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826373,s,heart_rate,116,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826374,s,heart_rate,116,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826375,s,heart_rate,116,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826376,s,heart_rate,112,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826377,s,heart_rate,1,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826378,s,heart_rate,1,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826379,s,heart_rate,1,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826380,s,heart_rate,1,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453826381,s,heart_rate,111,bpm,smo2,68.6,percent,power,0,watts
Data,2,record,timestamp,1453826382,s,heart_rate,112,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453826383,s,heart_rate,112,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453826384,s,heart_rate,113,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453826385,s,heart_rate,113,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453826386,s,heart_rate,113,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453826387,s,heart_rate,113,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453826388,s,heart_rate,113,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453826389,s,heart_rate,111,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453826390,s,heart_rate,109,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453826391,s,heart_rate,109,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453826392,s,heart_rate,106,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453826393,s,heart_rate,105,bpm,smo2,68.3,percent,power,0,watts
Data,2,record,timestamp,1453826394,s,heart_rate,105,bpm,smo2,68.4,percent,power,0,watts
Data,2,record,timestamp,1453826395,s,heart_rate,106,bpm,smo2,68.5,percent,power,0,watts
Data,2,record,timestamp,1453826396,s,heart_rate,106,bpm,smo2,68.6,percent,power,0,watts
Data,2,record,timestamp,1453826397,s,heart_rate,106,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453826398,s,heart_rate,107,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453826399,s,heart_rate,107,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453826400,s,heart_rate,106,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453826401,s,heart_rate,105,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453826402,s,heart_rate,105,bpm,smo2,68.6,percent,power,0,watts
Data,2,record,timestamp,1453826403,s,heart_rate,106,bpm,smo2,68.5,percent,power,0,watts
Data,2,record,timestamp,1453826404,s,heart_rate,106,bpm,smo2,68.4,percent,power,0,watts
Data,2,record,timestamp,1453826405,s,heart_rate,106,bpm,smo2,68.3,percent,power,0,watts
Data,2,record,timestamp,1453826406,s,heart_rate,106,bpm,smo2,68.2,percent,power,0,watts
Data,2,record,timestamp,1453826407,s,heart_rate,106,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453826408,s,heart_rate,108,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453826409,s,heart_rate,109,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453826410,s,heart_rate,109,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453826411,s,heart_rate,109,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453826412,s,heart_rate,109,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453826413,s,heart_rate,108,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453826414,s,heart_rate,107,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453826415,s,heart_rate,107,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453826416,s,heart_rate,105,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453826417,s,heart_rate,104,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453826418,s,heart_rate,104,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453826419,s,heart_rate,105,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453826420,s,heart_rate,105,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453826421,s,heart_rate,106,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453826422,s,heart_rate,110,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453826423,s,heart_rate,110,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453826424,s,heart_rate,112,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453826425,s,heart_rate,112,bpm,smo2,68.3,percent,power,0,watts
Data,2,record,timestamp,1453826426,s,heart_rate,112,bpm,smo2,68.5,percent,power,0,watts
Data,2,record,timestamp,1453826427,s,heart_rate,110,bpm,smo2,68.6,percent,power,0,watts
Data,2,record,timestamp,1453826428,s,heart_rate,110,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453826429,s,heart_rate,107,bpm,smo2,68.8,percent,power,0,watts
Data,2,record,timestamp,1453826430,s,heart_rate,105,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453826431,s,heart_rate,105,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453826432,s,heart_rate,102,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453826433,s,heart_rate,102,bpm,smo2,69.1,percent,power,0,watts
Data,2,record,timestamp,1453826434,s,heart_rate,102,bpm,smo2,69.2,percent,power,0,watts
Data,2,record,timestamp,1453826435,s,heart_rate,104,bpm,smo2,69.2,percent,power,0,watts
Data,2,record,timestamp,1453826436,s,heart_rate,104,bpm,smo2,69.3,percent,power,0,watts
Data,2,record,timestamp,1453826437,s,heart_rate,105,bpm,smo2,69.3,percent,power,0,watts
Data,2,record,timestamp,1453826438,s,heart_rate,106,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453826439,s,heart_rate,106,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453826440,s,heart_rate,105,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453826441,s,heart_rate,105,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453826442,s,heart_rate,105,bpm,smo2,69.3,percent,power,0,watts
Data,2,record,timestamp,1453826443,s,heart_rate,105,bpm,smo2,69.2,percent,power,0,watts
Data,2,record,timestamp,1453826444,s,heart_rate,105,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453826445,s,heart_rate,106,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453826446,s,heart_rate,108,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453826447,s,heart_rate,108,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453826448,s,heart_rate,108,bpm,smo2,69.9,percent,power,0,watts
Data,2,record,timestamp,1453826449,s,heart_rate,109,bpm,smo2,70.8,percent,power,0,watts
Data,2,record,timestamp,1453826450,s,heart_rate,109,bpm,smo2,71.6,percent,power,0,watts
Data,2,record,timestamp,1453826451,s,heart_rate,109,bpm,smo2,72.3,percent,power,0,watts
Data,2,record,timestamp,1453826452,s,heart_rate,109,bpm,smo2,72.7,percent,power,0,watts
Data,2,record,timestamp,1453826453,s,heart_rate,110,bpm,smo2,72.8,percent,power,0,watts
Data,2,record,timestamp,1453826454,s,heart_rate,110,bpm,smo2,72.8,percent,power,0,watts
Data,2,record,timestamp,1453826455,s,heart_rate,110,bpm,smo2,72.9,percent,power,0,watts
Data,2,record,timestamp,1453826456,s,heart_rate,110,bpm,smo2,73.0,percent,power,0,watts
Data,2,record,timestamp,1453826457,s,heart_rate,110,bpm,smo2,73.3,percent,power,0,watts
Data,2,record,timestamp,1453826458,s,heart_rate,110,bpm,smo2,73.7,percent,power,0,watts
Data,2,record,timestamp,1453826459,s,heart_rate,110,bpm,smo2,74.5,percent,power,0,watts
Data,2,record,timestamp,1453826460,s,heart_rate,110,bpm,smo2,75.1,percent,power,0,watts
Data,2,record,timestamp,1453826461,s,heart_rate,112,bpm,smo2,75.6,percent,power,0,watts
Data,2,record,timestamp,1453826462,s,heart_rate,114,bpm,smo2,75.9,percent,power,0,watts
Data,2,record,timestamp,1453826463,s,heart_rate,114,bpm,smo2,76.0,percent,power,0,watts
Data,2,record,timestamp,1453826464,s,heart_rate,116,bpm,smo2,76.0,percent,power,0,watts
Data,2,record,timestamp,1453826465,s,heart_rate,118,bpm,smo2,76.0,percent,power,0,watts
Data,2,record,timestamp,1453826466,s,heart_rate,118,bpm,smo2,75.8,percent,power,0,watts
Data,2,record,timestamp,1453826467,s,heart_rate,118,bpm,smo2,75.7,percent,power,0,watts
Data,2,record,timestamp,1453826468,s,heart_rate,118,bpm,smo2,75.5,percent,power,0,watts
Data,2,record,timestamp,1453826469,s,heart_rate,117,bpm,smo2,75.3,percent,power,0,watts
Data,2,record,timestamp,1453826470,s,heart_rate,115,bpm,smo2,75.0,percent,power,0,watts
Data,2,record,timestamp,1453826471,s,heart_rate,115,bpm,smo2,74.8,percent,power,0,watts
Data,2,record,timestamp,1453826472,s,heart_rate,114,bpm,smo2,74.4,percent,power,0,watts
Data,2,record,timestamp,1453826473,s,heart_rate,114,bpm,smo2,74.0,percent,power,0,watts
Data,2,record,timestamp,1453826474,s,heart_rate,114,bpm,smo2,73.7,percent,power,0,watts
Data,2,record,timestamp,1453826475,s,heart_rate,112,bpm,smo2,73.4,percent,power,0,watts
Data,2,record,timestamp,1453826476,s,heart_rate,112,bpm,smo2,73.1,percent,power,0,watts
Data,2,record,timestamp,1453826477,s,heart_rate,111,bpm,smo2,72.8,percent,power,0,watts
Data,2,record,timestamp,1453826478,s,heart_rate,108,bpm,smo2,72.5,percent,power,0,watts
Data,2,record,timestamp,1453826479,s,heart_rate,108,bpm,smo2,72.2,percent,power,0,watts
Data,2,record,timestamp,1453826480,s,heart_rate,107,bpm,smo2,71.9,percent,power,0,watts
Data,2,record,timestamp,1453826481,s,heart_rate,104,bpm,smo2,71.7,percent,power,0,watts
Data,2,record,timestamp,1453826482,s,heart_rate,104,bpm,smo2,71.6,percent,power,0,watts
Data,2,record,timestamp,1453826483,s,heart_rate,104,bpm,smo2,71.4,percent,power,0,watts
Data,2,record,timestamp,1453826484,s,heart_rate,104,bpm,smo2,71.1,percent,power,0,watts
Data,2,record,timestamp,1453826485,s,heart_rate,103,bpm,smo2,71.0,percent,power,0,watts
Data,2,record,timestamp,1453826486,s,heart_rate,102,bpm,smo2,71.0,percent,power,0,watts
Data,2,record,timestamp,1453826487,s,heart_rate,102,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1453826488,s,heart_rate,102,bpm,smo2,70.4,percent,power,0,watts
Data,2,record,timestamp,1453826489,s,heart_rate,105,bpm,smo2,70.3,percent,power,0,watts
Data,2,record,timestamp,1453826490,s,heart_rate,105,bpm,smo2,70.5,percent,power,0,watts
Data,2,record,timestamp,1453826491,s,heart_rate,108,bpm,smo2,70.6,percent,power,0,watts
Data,2,record,timestamp,1453826492,s,heart_rate,108,bpm,smo2,70.6,percent,power,0,watts
Data,2,record,timestamp,1453826493,s,heart_rate,111,bpm,smo2,70.4,percent,power,0,watts
Data,2,record,timestamp,1453826494,s,heart_rate,112,bpm,smo2,70.1,percent,power,0,watts
Data,2,record,timestamp,1453826495,s,heart_rate,112,bpm,smo2,69.9,percent,power,0,watts
Data,2,record,timestamp,1453826496,s,heart_rate,113,bpm,smo2,69.6,percent,power,0,watts
Data,2,record,timestamp,1453826497,s,heart_rate,112,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453826498,s,heart_rate,112,bpm,smo2,69.1,percent,power,0,watts
Data,2,record,timestamp,1453826499,s,heart_rate,111,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453826500,s,heart_rate,111,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453826501,s,heart_rate,111,bpm,smo2,68.5,percent,power,0,watts
Data,2,record,timestamp,1453826502,s,heart_rate,110,bpm,smo2,68.3,percent,power,0,watts
Data,2,record,timestamp,1453826503,s,heart_rate,110,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453826504,s,heart_rate,109,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453826505,s,heart_rate,107,bpm,smo2,67.8,percent,power,0,watts
