Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0AFB,,time_created,1449692318
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1449692318,s,sport,2,,total_elapsed_time,1449692550,s,total_timer_time,1449692550,s,start_time,1449692318,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1449692318,s,heart_rate,127,bpm,smo2,51.8,percent,power,0,watts
Data,2,record,timestamp,1449692319,s,heart_rate,127,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449692320,s,heart_rate,127,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449692321,s,heart_rate,127,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449692322,s,heart_rate,127,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449692323,s,heart_rate,128,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449692324,s,heart_rate,128,bpm,smo2,51.3,percent,power,0,watts
Data,2,record,timestamp,1449692325,s,heart_rate,127,bpm,smo2,51.4,percent,power,0,watts
Data,2,record,timestamp,1449692326,s,heart_rate,126,bpm,smo2,52.1,percent,power,0,watts
Data,2,record,timestamp,1449692327,s,heart_rate,126,bpm,smo2,51.4,percent,power,0,watts
Data,2,record,timestamp,1449692328,s,heart_rate,125,bpm,smo2,51.7,percent,power,0,watts
Data,2,record,timestamp,1449692329,s,heart_rate,125,bpm,smo2,52.0,percent,power,0,watts
Data,2,record,timestamp,1449692330,s,heart_rate,124,bpm,smo2,52.0,percent,power,0,watts
Data,2,record,timestamp,1449692331,s,heart_rate,124,bpm,smo2,51.6,percent,power,0,watts
Data,2,record,timestamp,1449692332,s,heart_rate,124,bpm,smo2,51.2,percent,power,0,watts
Data,2,record,timestamp,1449692333,s,heart_rate,125,bpm,smo2,50.8,percent,power,0,watts
Data,2,record,timestamp,1449692334,s,heart_rate,124,bpm,smo2,50.5,percent,power,0,watts
Data,2,record,timestamp,1449692335,s,heart_rate,124,bpm,smo2,50.8,percent,power,0,watts
Data,2,record,timestamp,1449692336,s,heart_rate,123,bpm,smo2,49.9,percent,power,0,watts
Data,2,record,timestamp,1449692337,s,heart_rate,123,bpm,smo2,49.7,percent,power,14,watts
Data,2,record,timestamp,1449692338,s,heart_rate,122,bpm,smo2,48.6,percent,power,29,watts
Data,2,record,timestamp,1449692339,s,heart_rate,121,bpm,smo2,48.6,percent,power,29,watts
Data,2,record,timestamp,1449692340,s,heart_rate,121,bpm,smo2,49.6,percent,power,29,watts
Data,2,record,timestamp,1449692341,s,heart_rate,123,bpm,smo2,52.7,percent,power,37,watts
Data,2,record,timestamp,1449692342,s,heart_rate,125,bpm,smo2,57.0,percent,power,126,watts
Data,2,record,timestamp,1449692343,s,heart_rate,125,bpm,smo2,61.6,percent,power,126,watts
Data,2,record,timestamp,1449692344,s,heart_rate,127,bpm,smo2,61.6,percent,power,257,watts
Data,2,record,timestamp,1449692345,s,heart_rate,127,bpm,smo2,62.7,percent,power,257,watts
Data,2,record,timestamp,1449692346,s,heart_rate,130,bpm,smo2,63.1,percent,power,309,watts
Data,2,record,timestamp,1449692347,s,heart_rate,130,bpm,smo2,61.3,percent,power,309,watts
Data,2,record,timestamp,1449692348,s,heart_rate,130,bpm,smo2,59.5,percent,power,334,watts
Data,2,record,timestamp,1449692349,s,heart_rate,131,bpm,smo2,57.3,percent,power,334,watts
Data,2,record,timestamp,1449692350,s,heart_rate,133,bpm,smo2,55.5,percent,power,303,watts
Data,2,record,timestamp,1449692351,s,heart_rate,133,bpm,smo2,54.6,percent,power,303,watts
Data,2,record,timestamp,1449692352,s,heart_rate,134,bpm,smo2,53.9,percent,power,284,watts
Data,2,record,timestamp,1449692353,s,heart_rate,134,bpm,smo2,53.0,percent,power,291,watts
Data,2,record,timestamp,1449692354,s,heart_rate,137,bpm,smo2,53.3,percent,power,291,watts
Data,2,record,timestamp,1449692355,s,heart_rate,139,bpm,smo2,51.0,percent,power,291,watts
Data,2,record,timestamp,1449692356,s,heart_rate,139,bpm,smo2,51.1,percent,power,291,watts
Data,2,record,timestamp,1449692357,s,heart_rate,141,bpm,smo2,48.8,percent,power,311,watts
Data,2,record,timestamp,1449692358,s,heart_rate,142,bpm,smo2,49.9,percent,power,311,watts
Data,2,record,timestamp,1449692359,s,heart_rate,142,bpm,smo2,49.8,percent,power,311,watts
Data,2,record,timestamp,1449692360,s,heart_rate,143,bpm,smo2,50.5,percent,power,311,watts
