Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,09A7,,time_created,1449669129
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1449669129,s,sport,2,,total_elapsed_time,1449670405,s,total_timer_time,1449670405,s,start_time,1449669129,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1449669129,s,heart_rate,119,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449669130,s,heart_rate,119,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449669131,s,heart_rate,120,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449669132,s,heart_rate,120,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449669133,s,heart_rate,122,bpm,smo2,,percent,power,39,watts
Data,2,record,timestamp,1449669134,s,heart_rate,123,bpm,smo2,65.2,percent,power,39,watts
Data,2,record,timestamp,1449669135,s,heart_rate,123,bpm,smo2,65.4,percent,power,100,watts
Data,2,record,timestamp,1449669136,s,heart_rate,122,bpm,smo2,63.3,percent,power,100,watts
Data,2,record,timestamp,1449669137,s,heart_rate,120,bpm,smo2,63.5,percent,power,100,watts
Data,2,record,timestamp,1449669138,s,heart_rate,120,bpm,smo2,63.0,percent,power,100,watts
Data,2,record,timestamp,1449669139,s,heart_rate,117,bpm,smo2,62.6,percent,power,100,watts
Data,2,record,timestamp,1449669140,s,heart_rate,117,bpm,smo2,62.4,percent,power,100,watts
Data,2,record,timestamp,1449669141,s,heart_rate,117,bpm,smo2,62.1,percent,power,127,watts
Data,2,record,timestamp,1449669142,s,heart_rate,118,bpm,smo2,61.9,percent,power,125,watts
Data,2,record,timestamp,1449669143,s,heart_rate,118,bpm,smo2,61.7,percent,power,121,watts
Data,2,record,timestamp,1449669144,s,heart_rate,118,bpm,smo2,61.5,percent,power,121,watts
Data,2,record,timestamp,1449669145,s,heart_rate,118,bpm,smo2,60.9,percent,power,122,watts
Data,2,record,timestamp,1449669146,s,heart_rate,118,bpm,smo2,60.3,percent,power,122,watts
