Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0AFB,,time_created,1449690727
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1449690727,s,sport,2,,total_elapsed_time,1449692003,s,total_timer_time,1449692003,s,start_time,1449690727,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1449690727,s,heart_rate,119,bpm,smo2,46.2,percent,power,0,watts
Data,2,record,timestamp,1449690728,s,heart_rate,119,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449690729,s,heart_rate,120,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449690730,s,heart_rate,120,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449690731,s,heart_rate,122,bpm,smo2,58.7,percent,power,39,watts
Data,2,record,timestamp,1449690732,s,heart_rate,123,bpm,smo2,59.0,percent,power,39,watts
Data,2,record,timestamp,1449690733,s,heart_rate,123,bpm,smo2,59.6,percent,power,100,watts
Data,2,record,timestamp,1449690734,s,heart_rate,122,bpm,smo2,57.0,percent,power,100,watts
Data,2,record,timestamp,1449690735,s,heart_rate,119,bpm,smo2,58.5,percent,power,113,watts
Data,2,record,timestamp,1449690736,s,heart_rate,119,bpm,smo2,59.5,percent,power,113,watts
Data,2,record,timestamp,1449690737,s,heart_rate,117,bpm,smo2,60.7,percent,power,113,watts
Data,2,record,timestamp,1449690738,s,heart_rate,117,bpm,smo2,61.9,percent,power,113,watts
Data,2,record,timestamp,1449690739,s,heart_rate,117,bpm,smo2,62.0,percent,power,113,watts
Data,2,record,timestamp,1449690740,s,heart_rate,118,bpm,smo2,62.1,percent,power,129,watts
Data,2,record,timestamp,1449690741,s,heart_rate,118,bpm,smo2,62.5,percent,power,121,watts
Data,2,record,timestamp,1449690742,s,heart_rate,118,bpm,smo2,63.3,percent,power,121,watts
Data,2,record,timestamp,1449690743,s,heart_rate,118,bpm,smo2,63.0,percent,power,122,watts
Data,2,record,timestamp,1449690744,s,heart_rate,118,bpm,smo2,62.1,percent,power,122,watts
Data,2,record,timestamp,1449690745,s,heart_rate,118,bpm,smo2,61.0,percent,power,122,watts
Data,2,record,timestamp,1449690746,s,heart_rate,118,bpm,smo2,60.1,percent,power,122,watts
Data,2,record,timestamp,1449690747,s,heart_rate,118,bpm,smo2,58.9,percent,power,117,watts
Data,2,record,timestamp,1449690748,s,heart_rate,118,bpm,smo2,57.9,percent,power,117,watts
Data,2,record,timestamp,1449690749,s,heart_rate,118,bpm,smo2,57.4,percent,power,117,watts
Data,2,record,timestamp,1449690750,s,heart_rate,119,bpm,smo2,56.8,percent,power,121,watts
Data,2,record,timestamp,1449690751,s,heart_rate,119,bpm,smo2,56.5,percent,power,121,watts
Data,2,record,timestamp,1449690752,s,heart_rate,119,bpm,smo2,56.3,percent,power,121,watts
Data,2,record,timestamp,1449690753,s,heart_rate,119,bpm,smo2,56.4,percent,power,122,watts
Data,2,record,timestamp,1449690754,s,heart_rate,119,bpm,smo2,56.6,percent,power,122,watts
Data,2,record,timestamp,1449690755,s,heart_rate,121,bpm,smo2,56.8,percent,power,125,watts
Data,2,record,timestamp,1449690756,s,heart_rate,121,bpm,smo2,57.7,percent,power,125,watts
Data,2,record,timestamp,1449690757,s,heart_rate,121,bpm,smo2,58.3,percent,power,122,watts
Data,2,record,timestamp,1449690758,s,heart_rate,121,bpm,smo2,58.5,percent,power,120,watts
Data,2,record,timestamp,1449690759,s,heart_rate,121,bpm,smo2,58.4,percent,power,119,watts
Data,2,record,timestamp,1449690760,s,heart_rate,121,bpm,smo2,57.8,percent,power,119,watts
Data,2,record,timestamp,1449690761,s,heart_rate,121,bpm,smo2,57.3,percent,power,120,watts
Data,2,record,timestamp,1449690762,s,heart_rate,121,bpm,smo2,56.4,percent,power,121,watts
Data,2,record,timestamp,1449690763,s,heart_rate,122,bpm,smo2,55.1,percent,power,119,watts
Data,2,record,timestamp,1449690764,s,heart_rate,122,bpm,smo2,54.2,percent,power,119,watts
Data,2,record,timestamp,1449690765,s,heart_rate,122,bpm,smo2,53.3,percent,power,119,watts
Data,2,record,timestamp,1449690766,s,heart_rate,123,bpm,smo2,53.3,percent,power,119,watts
Data,2,record,timestamp,1449690767,s,heart_rate,124,bpm,smo2,53.4,percent,power,120,watts
Data,2,record,timestamp,1449690768,s,heart_rate,124,bpm,smo2,54.4,percent,power,120,watts
Data,2,record,timestamp,1449690769,s,heart_rate,126,bpm,smo2,55.3,percent,power,120,watts
Data,2,record,timestamp,1449690770,s,heart_rate,126,bpm,smo2,56.2,percent,power,118,watts
Data,2,record,timestamp,1449690771,s,heart_rate,127,bpm,smo2,56.1,percent,power,121,watts
Data,2,record,timestamp,1449690772,s,heart_rate,127,bpm,smo2,55.3,percent,power,121,watts
Data,2,record,timestamp,1449690773,s,heart_rate,127,bpm,smo2,54.1,percent,power,123,watts
Data,2,record,timestamp,1449690774,s,heart_rate,127,bpm,smo2,52.7,percent,power,123,watts
Data,2,record,timestamp,1449690775,s,heart_rate,128,bpm,smo2,52.2,percent,power,120,watts
Data,2,record,timestamp,1449690776,s,heart_rate,128,bpm,smo2,51.8,percent,power,120,watts
Data,2,record,timestamp,1449690777,s,heart_rate,127,bpm,smo2,52.2,percent,power,120,watts
Data,2,record,timestamp,1449690778,s,heart_rate,127,bpm,smo2,52.0,percent,power,120,watts
Data,2,record,timestamp,1449690779,s,heart_rate,126,bpm,smo2,52.4,percent,power,119,watts
Data,2,record,timestamp,1449690780,s,heart_rate,125,bpm,smo2,52.8,percent,power,119,watts
Data,2,record,timestamp,1449690781,s,heart_rate,125,bpm,smo2,53.2,percent,power,119,watts
Data,2,record,timestamp,1449690782,s,heart_rate,125,bpm,smo2,52.5,percent,power,119,watts
Data,2,record,timestamp,1449690783,s,heart_rate,125,bpm,smo2,51.7,percent,power,119,watts
Data,2,record,timestamp,1449690784,s,heart_rate,125,bpm,smo2,50.9,percent,power,119,watts
Data,2,record,timestamp,1449690785,s,heart_rate,126,bpm,smo2,50.6,percent,power,119,watts
Data,2,record,timestamp,1449690786,s,heart_rate,126,bpm,smo2,50.8,percent,power,119,watts
Data,2,record,timestamp,1449690787,s,heart_rate,126,bpm,smo2,51.6,percent,power,119,watts
Data,2,record,timestamp,1449690788,s,heart_rate,126,bpm,smo2,52.7,percent,power,119,watts
Data,2,record,timestamp,1449690789,s,heart_rate,126,bpm,smo2,53.4,percent,power,119,watts
Data,2,record,timestamp,1449690790,s,heart_rate,125,bpm,smo2,53.3,percent,power,120,watts
Data,2,record,timestamp,1449690791,s,heart_rate,125,bpm,smo2,52.3,percent,power,120,watts
Data,2,record,timestamp,1449690792,s,heart_rate,125,bpm,smo2,51.3,percent,power,120,watts
Data,2,record,timestamp,1449690793,s,heart_rate,125,bpm,smo2,50.3,percent,power,120,watts
Data,2,record,timestamp,1449690794,s,heart_rate,125,bpm,smo2,50.5,percent,power,119,watts
Data,2,record,timestamp,1449690795,s,heart_rate,125,bpm,smo2,51.1,percent,power,120,watts
