Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0C99,,time_created,1450122359
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1450122359,s,sport,2,,total_elapsed_time,1450123357,s,total_timer_time,1450123357,s,start_time,1450122359,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1450122359,s,heart_rate,144,bpm,smo2,,percent,power,12,watts
Data,2,record,timestamp,1450122360,s,heart_rate,144,bpm,smo2,,percent,power,12,watts
Data,2,record,timestamp,1450122361,s,heart_rate,144,bpm,smo2,,percent,power,12,watts
Data,2,record,timestamp,1450122362,s,heart_rate,144,bpm,smo2,,percent,power,12,watts
Data,2,record,timestamp,1450122363,s,heart_rate,143,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450122364,s,heart_rate,142,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450122365,s,heart_rate,142,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450122366,s,heart_rate,141,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450122367,s,heart_rate,140,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450122368,s,heart_rate,140,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450122369,s,heart_rate,140,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450122370,s,heart_rate,140,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450122371,s,heart_rate,140,bpm,smo2,60.9,percent,power,0,watts
Data,2,record,timestamp,1450122372,s,heart_rate,140,bpm,smo2,61.4,percent,power,0,watts
Data,2,record,timestamp,1450122373,s,heart_rate,140,bpm,smo2,60.9,percent,power,0,watts
Data,2,record,timestamp,1450122374,s,heart_rate,141,bpm,smo2,61.0,percent,power,0,watts
Data,2,record,timestamp,1450122375,s,heart_rate,141,bpm,smo2,61.0,percent,power,0,watts
Data,2,record,timestamp,1450122376,s,heart_rate,141,bpm,smo2,60.9,percent,power,0,watts
Data,2,record,timestamp,1450122377,s,heart_rate,141,bpm,smo2,60.8,percent,power,0,watts
Data,2,record,timestamp,1450122378,s,heart_rate,141,bpm,smo2,60.9,percent,power,7,watts
Data,2,record,timestamp,1450122379,s,heart_rate,141,bpm,smo2,61.2,percent,power,26,watts
