Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0BC0,,time_created,1450380408
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1450380408,s,sport,2,,total_elapsed_time,1450381856,s,total_timer_time,1450381856,s,start_time,1450380408,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1450380408,s,heart_rate,116,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450380409,s,heart_rate,116,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450380410,s,heart_rate,114,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450380411,s,heart_rate,114,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450380412,s,heart_rate,114,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450380413,s,heart_rate,114,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450380414,s,heart_rate,114,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450380415,s,heart_rate,115,bpm,smo2,59.7,percent,power,0,watts
Data,2,record,timestamp,1450380416,s,heart_rate,117,bpm,smo2,58.7,percent,power,73,watts
Data,2,record,timestamp,1450380417,s,heart_rate,117,bpm,smo2,58.2,percent,power,73,watts
Data,2,record,timestamp,1450380418,s,heart_rate,118,bpm,smo2,58.8,percent,power,73,watts
Data,2,record,timestamp,1450380419,s,heart_rate,118,bpm,smo2,57.9,percent,power,110,watts
Data,2,record,timestamp,1450380420,s,heart_rate,119,bpm,smo2,57.2,percent,power,110,watts
Data,2,record,timestamp,1450380421,s,heart_rate,120,bpm,smo2,56.4,percent,power,110,watts
Data,2,record,timestamp,1450380422,s,heart_rate,120,bpm,smo2,56.0,percent,power,110,watts
Data,2,record,timestamp,1450380423,s,heart_rate,121,bpm,smo2,55.5,percent,power,121,watts
Data,2,record,timestamp,1450380424,s,heart_rate,123,bpm,smo2,55.2,percent,power,121,watts
Data,2,record,timestamp,1450380425,s,heart_rate,123,bpm,smo2,55.0,percent,power,125,watts
Data,2,record,timestamp,1450380426,s,heart_rate,124,bpm,smo2,54.9,percent,power,125,watts
Data,2,record,timestamp,1450380427,s,heart_rate,124,bpm,smo2,54.7,percent,power,125,watts
Data,2,record,timestamp,1450380428,s,heart_rate,123,bpm,smo2,54.5,percent,power,125,watts
Data,2,record,timestamp,1450380429,s,heart_rate,123,bpm,smo2,54.2,percent,power,121,watts
Data,2,record,timestamp,1450380430,s,heart_rate,123,bpm,smo2,54.2,percent,power,121,watts
Data,2,record,timestamp,1450380431,s,heart_rate,122,bpm,smo2,54.3,percent,power,121,watts
Data,2,record,timestamp,1450380432,s,heart_rate,122,bpm,smo2,54.3,percent,power,121,watts
Data,2,record,timestamp,1450380433,s,heart_rate,122,bpm,smo2,54.1,percent,power,122,watts
Data,2,record,timestamp,1450380434,s,heart_rate,123,bpm,smo2,53.9,percent,power,119,watts
Data,2,record,timestamp,1450380435,s,heart_rate,123,bpm,smo2,53.8,percent,power,119,watts
Data,2,record,timestamp,1450380436,s,heart_rate,123,bpm,smo2,53.8,percent,power,119,watts
Data,2,record,timestamp,1450380437,s,heart_rate,124,bpm,smo2,53.8,percent,power,117,watts
Data,2,record,timestamp,1450380438,s,heart_rate,124,bpm,smo2,53.6,percent,power,119,watts
Data,2,record,timestamp,1450380439,s,heart_rate,125,bpm,smo2,53.6,percent,power,119,watts
Data,2,record,timestamp,1450380440,s,heart_rate,126,bpm,smo2,53.5,percent,power,119,watts
Data,2,record,timestamp,1450380441,s,heart_rate,126,bpm,smo2,53.5,percent,power,119,watts
Data,2,record,timestamp,1450380442,s,heart_rate,127,bpm,smo2,53.4,percent,power,120,watts
Data,2,record,timestamp,1450380443,s,heart_rate,127,bpm,smo2,53.4,percent,power,120,watts
Data,2,record,timestamp,1450380444,s,heart_rate,128,bpm,smo2,53.4,percent,power,120,watts
Data,2,record,timestamp,1450380445,s,heart_rate,129,bpm,smo2,53.4,percent,power,120,watts
Data,2,record,timestamp,1450380446,s,heart_rate,129,bpm,smo2,53.5,percent,power,118,watts
Data,2,record,timestamp,1450380447,s,heart_rate,129,bpm,smo2,53.5,percent,power,120,watts
Data,2,record,timestamp,1450380448,s,heart_rate,129,bpm,smo2,53.5,percent,power,120,watts
Data,2,record,timestamp,1450380449,s,heart_rate,129,bpm,smo2,53.4,percent,power,120,watts
Data,2,record,timestamp,1450380450,s,heart_rate,129,bpm,smo2,53.5,percent,power,120,watts
Data,2,record,timestamp,1450380451,s,heart_rate,129,bpm,smo2,53.5,percent,power,118,watts
Data,2,record,timestamp,1450380452,s,heart_rate,129,bpm,smo2,53.6,percent,power,118,watts
Data,2,record,timestamp,1450380453,s,heart_rate,129,bpm,smo2,53.6,percent,power,118,watts
Data,2,record,timestamp,1450380454,s,heart_rate,129,bpm,smo2,53.7,percent,power,118,watts
Data,2,record,timestamp,1450380455,s,heart_rate,129,bpm,smo2,53.6,percent,power,119,watts
Data,2,record,timestamp,1450380456,s,heart_rate,128,bpm,smo2,53.6,percent,power,120,watts
Data,2,record,timestamp,1450380457,s,heart_rate,128,bpm,smo2,53.5,percent,power,122,watts
Data,2,record,timestamp,1450380458,s,heart_rate,127,bpm,smo2,53.5,percent,power,122,watts
Data,2,record,timestamp,1450380459,s,heart_rate,127,bpm,smo2,53.6,percent,power,119,watts
Data,2,record,timestamp,1450380460,s,heart_rate,126,bpm,smo2,53.8,percent,power,119,watts
Data,2,record,timestamp,1450380461,s,heart_rate,127,bpm,smo2,53.9,percent,power,119,watts
Data,2,record,timestamp,1450380462,s,heart_rate,127,bpm,smo2,53.9,percent,power,118,watts
Data,2,record,timestamp,1450380463,s,heart_rate,127,bpm,smo2,54.0,percent,power,118,watts
Data,2,record,timestamp,1450380464,s,heart_rate,128,bpm,smo2,54.0,percent,power,120,watts
Data,2,record,timestamp,1450380465,s,heart_rate,128,bpm,smo2,54.1,percent,power,120,watts
Data,2,record,timestamp,1450380466,s,heart_rate,128,bpm,smo2,54.0,percent,power,120,watts
Data,2,record,timestamp,1450380467,s,heart_rate,128,bpm,smo2,54.1,percent,power,119,watts
Data,2,record,timestamp,1450380468,s,heart_rate,129,bpm,smo2,54.1,percent,power,119,watts
Data,2,record,timestamp,1450380469,s,heart_rate,129,bpm,smo2,54.1,percent,power,119,watts
Data,2,record,timestamp,1450380470,s,heart_rate,129,bpm,smo2,54.1,percent,power,119,watts
Data,2,record,timestamp,1450380471,s,heart_rate,129,bpm,smo2,54.1,percent,power,119,watts
Data,2,record,timestamp,1450380472,s,heart_rate,129,bpm,smo2,54.1,percent,power,119,watts
Data,2,record,timestamp,1450380473,s,heart_rate,129,bpm,smo2,54.1,percent,power,119,watts
Data,2,record,timestamp,1450380474,s,heart_rate,130,bpm,smo2,54.1,percent,power,119,watts
Data,2,record,timestamp,1450380475,s,heart_rate,130,bpm,smo2,54.0,percent,power,119,watts
Data,2,record,timestamp,1450380476,s,heart_rate,130,bpm,smo2,53.8,percent,power,120,watts
Data,2,record,timestamp,1450380477,s,heart_rate,130,bpm,smo2,53.7,percent,power,120,watts
Data,2,record,timestamp,1450380478,s,heart_rate,130,bpm,smo2,53.6,percent,power,120,watts
Data,2,record,timestamp,1450380479,s,heart_rate,130,bpm,smo2,53.6,percent,power,119,watts
Data,2,record,timestamp,1450380480,s,heart_rate,131,bpm,smo2,53.5,percent,power,119,watts
Data,2,record,timestamp,1450380481,s,heart_rate,131,bpm,smo2,53.5,percent,power,118,watts
Data,2,record,timestamp,1450380482,s,heart_rate,131,bpm,smo2,53.4,percent,power,118,watts
Data,2,record,timestamp,1450380483,s,heart_rate,131,bpm,smo2,53.4,percent,power,118,watts
Data,2,record,timestamp,1450380484,s,heart_rate,130,bpm,smo2,53.4,percent,power,118,watts
Data,2,record,timestamp,1450380485,s,heart_rate,129,bpm,smo2,53.5,percent,power,118,watts
Data,2,record,timestamp,1450380486,s,heart_rate,129,bpm,smo2,53.5,percent,power,118,watts
Data,2,record,timestamp,1450380487,s,heart_rate,130,bpm,smo2,53.7,percent,power,118,watts
Data,2,record,timestamp,1450380488,s,heart_rate,130,bpm,smo2,53.9,percent,power,120,watts
Data,2,record,timestamp,1450380489,s,heart_rate,130,bpm,smo2,54.1,percent,power,120,watts
Data,2,record,timestamp,1450380490,s,heart_rate,131,bpm,smo2,54.3,percent,power,119,watts
Data,2,record,timestamp,1450380491,s,heart_rate,131,bpm,smo2,54.4,percent,power,119,watts
Data,2,record,timestamp,1450380492,s,heart_rate,130,bpm,smo2,54.4,percent,power,118,watts
Data,2,record,timestamp,1450380493,s,heart_rate,129,bpm,smo2,54.4,percent,power,119,watts
Data,2,record,timestamp,1450380494,s,heart_rate,129,bpm,smo2,54.4,percent,power,119,watts
Data,2,record,timestamp,1450380495,s,heart_rate,128,bpm,smo2,54.4,percent,power,119,watts
Data,2,record,timestamp,1450380496,s,heart_rate,128,bpm,smo2,54.6,percent,power,119,watts
Data,2,record,timestamp,1450380497,s,heart_rate,128,bpm,smo2,54.7,percent,power,119,watts
Data,2,record,timestamp,1450380498,s,heart_rate,128,bpm,smo2,54.9,percent,power,119,watts
Data,2,record,timestamp,1450380499,s,heart_rate,128,bpm,smo2,54.9,percent,power,119,watts
Data,2,record,timestamp,1450380500,s,heart_rate,128,bpm,smo2,55.0,percent,power,118,watts
Data,2,record,timestamp,1450380501,s,heart_rate,128,bpm,smo2,55.1,percent,power,118,watts
Data,2,record,timestamp,1450380502,s,heart_rate,128,bpm,smo2,55.3,percent,power,119,watts
Data,2,record,timestamp,1450380503,s,heart_rate,128,bpm,smo2,55.5,percent,power,119,watts
Data,2,record,timestamp,1450380504,s,heart_rate,128,bpm,smo2,55.7,percent,power,118,watts
Data,2,record,timestamp,1450380505,s,heart_rate,128,bpm,smo2,55.9,percent,power,118,watts
Data,2,record,timestamp,1450380506,s,heart_rate,128,bpm,smo2,56.1,percent,power,118,watts
Data,2,record,timestamp,1450380507,s,heart_rate,128,bpm,smo2,56.2,percent,power,118,watts
Data,2,record,timestamp,1450380508,s,heart_rate,128,bpm,smo2,56.3,percent,power,121,watts
Data,2,record,timestamp,1450380509,s,heart_rate,128,bpm,smo2,56.4,percent,power,121,watts
Data,2,record,timestamp,1450380510,s,heart_rate,128,bpm,smo2,56.5,percent,power,121,watts
Data,2,record,timestamp,1450380511,s,heart_rate,129,bpm,smo2,56.4,percent,power,121,watts
Data,2,record,timestamp,1450380512,s,heart_rate,129,bpm,smo2,56.5,percent,power,119,watts
Data,2,record,timestamp,1450380513,s,heart_rate,129,bpm,smo2,56.6,percent,power,119,watts
Data,2,record,timestamp,1450380514,s,heart_rate,129,bpm,smo2,56.7,percent,power,119,watts
Data,2,record,timestamp,1450380515,s,heart_rate,129,bpm,smo2,56.8,percent,power,119,watts
Data,2,record,timestamp,1450380516,s,heart_rate,129,bpm,smo2,56.8,percent,power,120,watts
Data,2,record,timestamp,1450380517,s,heart_rate,129,bpm,smo2,56.9,percent,power,120,watts
Data,2,record,timestamp,1450380518,s,heart_rate,129,bpm,smo2,57.0,percent,power,120,watts
Data,2,record,timestamp,1450380519,s,heart_rate,129,bpm,smo2,57.2,percent,power,120,watts
Data,2,record,timestamp,1450380520,s,heart_rate,129,bpm,smo2,57.3,percent,power,120,watts
Data,2,record,timestamp,1450380521,s,heart_rate,129,bpm,smo2,57.3,percent,power,118,watts
Data,2,record,timestamp,1450380522,s,heart_rate,129,bpm,smo2,57.3,percent,power,118,watts
Data,2,record,timestamp,1450380523,s,heart_rate,129,bpm,smo2,57.3,percent,power,118,watts
Data,2,record,timestamp,1450380524,s,heart_rate,129,bpm,smo2,57.2,percent,power,118,watts
Data,2,record,timestamp,1450380525,s,heart_rate,129,bpm,smo2,57.1,percent,power,118,watts
Data,2,record,timestamp,1450380526,s,heart_rate,129,bpm,smo2,57.1,percent,power,118,watts
Data,2,record,timestamp,1450380527,s,heart_rate,128,bpm,smo2,57.1,percent,power,119,watts
Data,2,record,timestamp,1450380528,s,heart_rate,129,bpm,smo2,57.2,percent,power,119,watts
Data,2,record,timestamp,1450380529,s,heart_rate,129,bpm,smo2,57.2,percent,power,119,watts
Data,2,record,timestamp,1450380530,s,heart_rate,128,bpm,smo2,57.3,percent,power,119,watts
Data,2,record,timestamp,1450380531,s,heart_rate,128,bpm,smo2,57.3,percent,power,119,watts
