Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,09A7,,time_created,1450465478
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1450465478,s,sport,2,,total_elapsed_time,1450466368,s,total_timer_time,1450466368,s,start_time,1450465478,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1450465478,s,heart_rate,129,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465479,s,heart_rate,129,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465480,s,heart_rate,129,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465481,s,heart_rate,129,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465482,s,heart_rate,129,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465483,s,heart_rate,128,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465484,s,heart_rate,128,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465485,s,heart_rate,128,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465486,s,heart_rate,129,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465487,s,heart_rate,129,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1450465488,s,heart_rate,130,bpm,smo2,72.0,percent,power,0,watts
Data,2,record,timestamp,1450465489,s,heart_rate,130,bpm,smo2,71.7,percent,power,0,watts
Data,2,record,timestamp,1450465490,s,heart_rate,130,bpm,smo2,71.6,percent,power,0,watts
Data,2,record,timestamp,1450465491,s,heart_rate,131,bpm,smo2,71.7,percent,power,0,watts
Data,2,record,timestamp,1450465492,s,heart_rate,131,bpm,smo2,71.6,percent,power,0,watts
Data,2,record,timestamp,1450465493,s,heart_rate,132,bpm,smo2,71.5,percent,power,0,watts
Data,2,record,timestamp,1450465494,s,heart_rate,133,bpm,smo2,71.4,percent,power,0,watts
Data,2,record,timestamp,1450465495,s,heart_rate,133,bpm,smo2,71.3,percent,power,0,watts
Data,2,record,timestamp,1450465496,s,heart_rate,133,bpm,smo2,71.2,percent,power,0,watts
Data,2,record,timestamp,1450465497,s,heart_rate,133,bpm,smo2,71.1,percent,power,0,watts
Data,2,record,timestamp,1450465498,s,heart_rate,132,bpm,smo2,71.1,percent,power,0,watts
Data,2,record,timestamp,1450465499,s,heart_rate,131,bpm,smo2,71.0,percent,power,0,watts
Data,2,record,timestamp,1450465500,s,heart_rate,131,bpm,smo2,70.9,percent,power,0,watts
Data,2,record,timestamp,1450465501,s,heart_rate,130,bpm,smo2,70.8,percent,power,0,watts
Data,2,record,timestamp,1450465502,s,heart_rate,130,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465503,s,heart_rate,130,bpm,smo2,70.6,percent,power,0,watts
Data,2,record,timestamp,1450465504,s,heart_rate,130,bpm,smo2,70.6,percent,power,0,watts
Data,2,record,timestamp,1450465505,s,heart_rate,130,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465506,s,heart_rate,130,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465507,s,heart_rate,129,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465508,s,heart_rate,129,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465509,s,heart_rate,129,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465510,s,heart_rate,128,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465511,s,heart_rate,128,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465512,s,heart_rate,127,bpm,smo2,70.8,percent,power,0,watts
Data,2,record,timestamp,1450465513,s,heart_rate,127,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465514,s,heart_rate,128,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1450465515,s,heart_rate,128,bpm,smo2,70.6,percent,power,0,watts
Data,2,record,timestamp,1450465516,s,heart_rate,128,bpm,smo2,70.5,percent,power,0,watts
Data,2,record,timestamp,1450465517,s,heart_rate,129,bpm,smo2,70.3,percent,power,15,watts
Data,2,record,timestamp,1450465518,s,heart_rate,130,bpm,smo2,69.9,percent,power,233,watts
Data,2,record,timestamp,1450465519,s,heart_rate,130,bpm,smo2,69.2,percent,power,485,watts
