Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0C11,,time_created,1453274699
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1453274699,s,sport,2,,total_elapsed_time,1453277435,s,total_timer_time,1453277435,s,start_time,1453274699,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1453274699,s,heart_rate,63,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274700,s,heart_rate,63,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274701,s,heart_rate,65,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274702,s,heart_rate,65,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274703,s,heart_rate,67,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274704,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274705,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274706,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274707,s,heart_rate,66,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274708,s,heart_rate,66,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274709,s,heart_rate,64,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274710,s,heart_rate,64,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453274711,s,heart_rate,61,bpm,smo2,57.3,percent,power,0,watts
Data,2,record,timestamp,1453274712,s,heart_rate,60,bpm,smo2,57.3,percent,power,0,watts
Data,2,record,timestamp,1453274713,s,heart_rate,60,bpm,smo2,57.2,percent,power,0,watts
Data,2,record,timestamp,1453274714,s,heart_rate,58,bpm,smo2,57.3,percent,power,0,watts
Data,2,record,timestamp,1453274715,s,heart_rate,58,bpm,smo2,57.3,percent,power,0,watts
