Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0C11,,time_created,1453322029
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1453322029,s,sport,2,,total_elapsed_time,1453325043,s,total_timer_time,1453325043,s,start_time,1453322029,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1453322029,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322030,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322031,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322032,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322033,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322034,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322035,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322036,s,heart_rate,62,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322037,s,heart_rate,63,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322038,s,heart_rate,63,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322039,s,heart_rate,64,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322040,s,heart_rate,64,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453322041,s,heart_rate,63,bpm,smo2,72.9,percent,power,0,watts
Data,2,record,timestamp,1453322042,s,heart_rate,63,bpm,smo2,70.9,percent,power,0,watts
Data,2,record,timestamp,1453322043,s,heart_rate,63,bpm,smo2,72.6,percent,power,0,watts
Data,2,record,timestamp,1453322044,s,heart_rate,64,bpm,smo2,72.4,percent,power,0,watts
Data,2,record,timestamp,1453322045,s,heart_rate,65,bpm,smo2,71.8,percent,power,0,watts
Data,2,record,timestamp,1453322046,s,heart_rate,65,bpm,smo2,71.9,percent,power,0,watts
Data,2,record,timestamp,1453322047,s,heart_rate,67,bpm,smo2,71.8,percent,power,0,watts
Data,2,record,timestamp,1453322048,s,heart_rate,67,bpm,smo2,72.2,percent,power,0,watts
Data,2,record,timestamp,1453322049,s,heart_rate,67,bpm,smo2,72.7,percent,power,0,watts
Data,2,record,timestamp,1453322050,s,heart_rate,67,bpm,smo2,72.9,percent,power,0,watts
Data,2,record,timestamp,1453322051,s,heart_rate,67,bpm,smo2,72.9,percent,power,0,watts
Data,2,record,timestamp,1453322052,s,heart_rate,68,bpm,smo2,73.0,percent,power,0,watts
Data,2,record,timestamp,1453322053,s,heart_rate,68,bpm,smo2,73.1,percent,power,0,watts
Data,2,record,timestamp,1453322054,s,heart_rate,68,bpm,smo2,73.2,percent,power,0,watts
Data,2,record,timestamp,1453322055,s,heart_rate,67,bpm,smo2,73.2,percent,power,0,watts
Data,2,record,timestamp,1453322056,s,heart_rate,67,bpm,smo2,73.2,percent,power,0,watts
Data,2,record,timestamp,1453322057,s,heart_rate,67,bpm,smo2,73.2,percent,power,0,watts
Data,2,record,timestamp,1453322058,s,heart_rate,67,bpm,smo2,73.1,percent,power,0,watts
Data,2,record,timestamp,1453322059,s,heart_rate,67,bpm,smo2,73.1,percent,power,0,watts
Data,2,record,timestamp,1453322060,s,heart_rate,67,bpm,smo2,73.1,percent,power,0,watts
Data,2,record,timestamp,1453322061,s,heart_rate,68,bpm,smo2,73.0,percent,power,0,watts
Data,2,record,timestamp,1453322062,s,heart_rate,68,bpm,smo2,72.9,percent,power,0,watts
Data,2,record,timestamp,1453322063,s,heart_rate,66,bpm,smo2,72.9,percent,power,0,watts
Data,2,record,timestamp,1453322064,s,heart_rate,66,bpm,smo2,72.8,percent,power,0,watts
Data,2,record,timestamp,1453322065,s,heart_rate,65,bpm,smo2,72.7,percent,power,0,watts
Data,2,record,timestamp,1453322066,s,heart_rate,65,bpm,smo2,72.6,percent,power,0,watts
Data,2,record,timestamp,1453322067,s,heart_rate,65,bpm,smo2,72.5,percent,power,0,watts
Data,2,record,timestamp,1453322068,s,heart_rate,64,bpm,smo2,72.3,percent,power,0,watts
Data,2,record,timestamp,1453322069,s,heart_rate,63,bpm,smo2,72.0,percent,power,0,watts
Data,2,record,timestamp,1453322070,s,heart_rate,63,bpm,smo2,71.7,percent,power,0,watts
Data,2,record,timestamp,1453322071,s,heart_rate,64,bpm,smo2,71.6,percent,power,0,watts
Data,2,record,timestamp,1453322072,s,heart_rate,64,bpm,smo2,71.4,percent,power,0,watts
Data,2,record,timestamp,1453322073,s,heart_rate,63,bpm,smo2,71.3,percent,power,0,watts
Data,2,record,timestamp,1453322074,s,heart_rate,64,bpm,smo2,71.1,percent,power,0,watts
Data,2,record,timestamp,1453322075,s,heart_rate,64,bpm,smo2,71.2,percent,power,0,watts
Data,2,record,timestamp,1453322076,s,heart_rate,68,bpm,smo2,71.2,percent,power,0,watts
Data,2,record,timestamp,1453322077,s,heart_rate,72,bpm,smo2,71.3,percent,power,0,watts
Data,2,record,timestamp,1453322078,s,heart_rate,72,bpm,smo2,71.4,percent,power,0,watts
Data,2,record,timestamp,1453322079,s,heart_rate,75,bpm,smo2,71.5,percent,power,0,watts
Data,2,record,timestamp,1453322080,s,heart_rate,75,bpm,smo2,71.5,percent,power,0,watts
Data,2,record,timestamp,1453322081,s,heart_rate,78,bpm,smo2,71.4,percent,power,0,watts
Data,2,record,timestamp,1453322082,s,heart_rate,78,bpm,smo2,71.4,percent,power,0,watts
Data,2,record,timestamp,1453322083,s,heart_rate,78,bpm,smo2,71.3,percent,power,0,watts
