Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0C11,,time_created,1453361146
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1453361146,s,sport,2,,total_elapsed_time,1453364165,s,total_timer_time,1453364165,s,start_time,1453361146,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1453361146,s,heart_rate,63,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361147,s,heart_rate,63,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361148,s,heart_rate,64,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361149,s,heart_rate,64,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361150,s,heart_rate,65,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361151,s,heart_rate,67,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361152,s,heart_rate,67,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361153,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361154,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361155,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361156,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361157,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453361158,s,heart_rate,68,bpm,smo2,64.6,percent,power,0,watts
Data,2,record,timestamp,1453361159,s,heart_rate,68,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453361160,s,heart_rate,68,bpm,smo2,67.3,percent,power,0,watts
