Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0C11,,time_created,1453447890
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1453447890,s,sport,2,,total_elapsed_time,1453450513,s,total_timer_time,1453450513,s,start_time,1453447890,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1453447890,s,heart_rate,65,bpm,smo2,0.0,percent,power,0,watts
Data,2,record,timestamp,1453447891,s,heart_rate,65,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447892,s,heart_rate,65,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447893,s,heart_rate,65,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447894,s,heart_rate,66,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447895,s,heart_rate,66,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447896,s,heart_rate,66,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447897,s,heart_rate,66,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447898,s,heart_rate,67,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447899,s,heart_rate,67,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447900,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447901,s,heart_rate,68,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447902,s,heart_rate,70,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447903,s,heart_rate,71,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453447904,s,heart_rate,71,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453447905,s,heart_rate,72,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453447906,s,heart_rate,73,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453447907,s,heart_rate,73,bpm,smo2,63.1,percent,power,0,watts
Data,2,record,timestamp,1453447908,s,heart_rate,74,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453447909,s,heart_rate,74,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453447910,s,heart_rate,74,bpm,smo2,67.5,percent,power,0,watts
Data,2,record,timestamp,1453447911,s,heart_rate,77,bpm,smo2,67.5,percent,power,0,watts
Data,2,record,timestamp,1453447912,s,heart_rate,77,bpm,smo2,67.5,percent,power,0,watts
Data,2,record,timestamp,1453447913,s,heart_rate,77,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453447914,s,heart_rate,76,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453447915,s,heart_rate,76,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453447916,s,heart_rate,77,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453447917,s,heart_rate,77,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453447918,s,heart_rate,77,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453447919,s,heart_rate,79,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453447920,s,heart_rate,79,bpm,smo2,68.2,percent,power,0,watts
Data,2,record,timestamp,1453447921,s,heart_rate,83,bpm,smo2,68.2,percent,power,0,watts
Data,2,record,timestamp,1453447922,s,heart_rate,86,bpm,smo2,68.2,percent,power,0,watts
Data,2,record,timestamp,1453447923,s,heart_rate,86,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453447924,s,heart_rate,87,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453447925,s,heart_rate,87,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453447926,s,heart_rate,85,bpm,smo2,67.5,percent,power,0,watts
Data,2,record,timestamp,1453447927,s,heart_rate,84,bpm,smo2,67.4,percent,power,0,watts
Data,2,record,timestamp,1453447928,s,heart_rate,84,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1453447929,s,heart_rate,82,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1453447930,s,heart_rate,82,bpm,smo2,67.5,percent,power,0,watts
Data,2,record,timestamp,1453447931,s,heart_rate,82,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1453447932,s,heart_rate,82,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1453447933,s,heart_rate,82,bpm,smo2,67.2,percent,power,0,watts
Data,2,record,timestamp,1453447934,s,heart_rate,83,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453447935,s,heart_rate,83,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453447936,s,heart_rate,83,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453447937,s,heart_rate,83,bpm,smo2,67.7,percent,power,0,watts
Data,2,record,timestamp,1453447938,s,heart_rate,82,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1453447939,s,heart_rate,82,bpm,smo2,67.1,percent,power,0,watts
Data,2,record,timestamp,1453447940,s,heart_rate,80,bpm,smo2,67.0,percent,power,0,watts
Data,2,record,timestamp,1453447941,s,heart_rate,80,bpm,smo2,66.9,percent,power,0,watts
Data,2,record,timestamp,1453447942,s,heart_rate,81,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1453447943,s,heart_rate,87,bpm,smo2,67.0,percent,power,0,watts
Data,2,record,timestamp,1453447944,s,heart_rate,87,bpm,smo2,67.1,percent,power,0,watts
Data,2,record,timestamp,1453447945,s,heart_rate,89,bpm,smo2,67.1,percent,power,0,watts
Data,2,record,timestamp,1453447946,s,heart_rate,91,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1453447947,s,heart_rate,91,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1453447948,s,heart_rate,92,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1453447949,s,heart_rate,92,bpm,smo2,66.9,percent,power,0,watts
Data,2,record,timestamp,1453447950,s,heart_rate,92,bpm,smo2,67.0,percent,power,0,watts
Data,2,record,timestamp,1453447951,s,heart_rate,93,bpm,smo2,66.9,percent,power,0,watts
Data,2,record,timestamp,1453447952,s,heart_rate,93,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1453447953,s,heart_rate,97,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1453447954,s,heart_rate,103,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1453447955,s,heart_rate,103,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1453447956,s,heart_rate,103,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1453447957,s,heart_rate,103,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1453447958,s,heart_rate,102,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1453447959,s,heart_rate,102,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1453447960,s,heart_rate,102,bpm,smo2,66.6,percent,power,0,watts
Data,2,record,timestamp,1453447961,s,heart_rate,103,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1453447962,s,heart_rate,103,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1453447963,s,heart_rate,103,bpm,smo2,66.3,percent,power,0,watts
Data,2,record,timestamp,1453447964,s,heart_rate,102,bpm,smo2,66.1,percent,power,0,watts
Data,2,record,timestamp,1453447965,s,heart_rate,102,bpm,smo2,65.8,percent,power,0,watts
Data,2,record,timestamp,1453447966,s,heart_rate,100,bpm,smo2,65.7,percent,power,0,watts
Data,2,record,timestamp,1453447967,s,heart_rate,99,bpm,smo2,65.9,percent,power,0,watts
Data,2,record,timestamp,1453447968,s,heart_rate,99,bpm,smo2,66.1,percent,power,0,watts
Data,2,record,timestamp,1453447969,s,heart_rate,97,bpm,smo2,66.1,percent,power,0,watts
Data,2,record,timestamp,1453447970,s,heart_rate,96,bpm,smo2,66.0,percent,power,0,watts
Data,2,record,timestamp,1453447971,s,heart_rate,96,bpm,smo2,65.9,percent,power,0,watts
Data,2,record,timestamp,1453447972,s,heart_rate,94,bpm,smo2,66.0,percent,power,0,watts
Data,2,record,timestamp,1453447973,s,heart_rate,94,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1453447974,s,heart_rate,93,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1453447975,s,heart_rate,93,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1453447976,s,heart_rate,93,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1453447977,s,heart_rate,94,bpm,smo2,66.3,percent,power,0,watts
Data,2,record,timestamp,1453447978,s,heart_rate,95,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1453447979,s,heart_rate,95,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1453447980,s,heart_rate,93,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1453447981,s,heart_rate,93,bpm,smo2,66.3,percent,power,0,watts
Data,2,record,timestamp,1453447982,s,heart_rate,90,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1453447983,s,heart_rate,89,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1453447984,s,heart_rate,89,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1453447985,s,heart_rate,87,bpm,smo2,67.2,percent,power,0,watts
Data,2,record,timestamp,1453447986,s,heart_rate,86,bpm,smo2,67.2,percent,power,0,watts
Data,2,record,timestamp,1453447987,s,heart_rate,86,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1453447988,s,heart_rate,84,bpm,smo2,67.4,percent,power,0,watts
Data,2,record,timestamp,1453447989,s,heart_rate,84,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453447990,s,heart_rate,85,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453447991,s,heart_rate,88,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453447992,s,heart_rate,88,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453447993,s,heart_rate,88,bpm,smo2,67.2,percent,power,0,watts
Data,2,record,timestamp,1453447994,s,heart_rate,86,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453447995,s,heart_rate,86,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453447996,s,heart_rate,85,bpm,smo2,68.8,percent,power,0,watts
Data,2,record,timestamp,1453447997,s,heart_rate,85,bpm,smo2,69.2,percent,power,0,watts
Data,2,record,timestamp,1453447998,s,heart_rate,85,bpm,smo2,69.9,percent,power,0,watts
Data,2,record,timestamp,1453447999,s,heart_rate,88,bpm,smo2,70.5,percent,power,0,watts
Data,2,record,timestamp,1453448000,s,heart_rate,88,bpm,smo2,71.1,percent,power,0,watts
Data,2,record,timestamp,1453448001,s,heart_rate,89,bpm,smo2,71.5,percent,power,0,watts
Data,2,record,timestamp,1453448002,s,heart_rate,91,bpm,smo2,71.9,percent,power,0,watts
Data,2,record,timestamp,1453448003,s,heart_rate,91,bpm,smo2,71.9,percent,power,0,watts
Data,2,record,timestamp,1453448004,s,heart_rate,95,bpm,smo2,71.6,percent,power,0,watts
Data,2,record,timestamp,1453448005,s,heart_rate,95,bpm,smo2,71.2,percent,power,0,watts
Data,2,record,timestamp,1453448006,s,heart_rate,97,bpm,smo2,70.6,percent,power,0,watts
Data,2,record,timestamp,1453448007,s,heart_rate,98,bpm,smo2,70.0,percent,power,0,watts
Data,2,record,timestamp,1453448008,s,heart_rate,98,bpm,smo2,69.6,percent,power,0,watts
Data,2,record,timestamp,1453448009,s,heart_rate,96,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453448010,s,heart_rate,94,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453448011,s,heart_rate,94,bpm,smo2,68.4,percent,power,0,watts
Data,2,record,timestamp,1453448012,s,heart_rate,89,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453448013,s,heart_rate,89,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453448014,s,heart_rate,86,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1453448015,s,heart_rate,85,bpm,smo2,67.1,percent,power,0,watts
Data,2,record,timestamp,1453448016,s,heart_rate,85,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1453448017,s,heart_rate,85,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453448018,s,heart_rate,86,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453448019,s,heart_rate,86,bpm,smo2,68.3,percent,power,0,watts
Data,2,record,timestamp,1453448020,s,heart_rate,88,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453448021,s,heart_rate,88,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453448022,s,heart_rate,88,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453448023,s,heart_rate,87,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453448024,s,heart_rate,87,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453448025,s,heart_rate,86,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453448026,s,heart_rate,87,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453448027,s,heart_rate,87,bpm,smo2,67.6,percent,power,0,watts
Data,2,record,timestamp,1453448028,s,heart_rate,90,bpm,smo2,67.8,percent,power,0,watts
Data,2,record,timestamp,1453448029,s,heart_rate,90,bpm,smo2,68.0,percent,power,0,watts
Data,2,record,timestamp,1453448030,s,heart_rate,90,bpm,smo2,68.4,percent,power,0,watts
Data,2,record,timestamp,1453448031,s,heart_rate,91,bpm,smo2,69.2,percent,power,0,watts
Data,2,record,timestamp,1453448032,s,heart_rate,91,bpm,smo2,69.9,percent,power,0,watts
Data,2,record,timestamp,1453448033,s,heart_rate,94,bpm,smo2,70.6,percent,power,0,watts
Data,2,record,timestamp,1453448034,s,heart_rate,94,bpm,smo2,70.7,percent,power,0,watts
Data,2,record,timestamp,1453448035,s,heart_rate,94,bpm,smo2,70.8,percent,power,0,watts
Data,2,record,timestamp,1453448036,s,heart_rate,93,bpm,smo2,70.5,percent,power,0,watts
Data,2,record,timestamp,1453448037,s,heart_rate,93,bpm,smo2,70.1,percent,power,0,watts
Data,2,record,timestamp,1453448038,s,heart_rate,92,bpm,smo2,69.5,percent,power,0,watts
Data,2,record,timestamp,1453448039,s,heart_rate,93,bpm,smo2,69.2,percent,power,0,watts
Data,2,record,timestamp,1453448040,s,heart_rate,93,bpm,smo2,68.8,percent,power,0,watts
Data,2,record,timestamp,1453448041,s,heart_rate,93,bpm,smo2,68.6,percent,power,0,watts
Data,2,record,timestamp,1453448042,s,heart_rate,91,bpm,smo2,68.2,percent,power,0,watts
Data,2,record,timestamp,1453448043,s,heart_rate,91,bpm,smo2,67.9,percent,power,0,watts
Data,2,record,timestamp,1453448044,s,heart_rate,90,bpm,smo2,67.5,percent,power,0,watts
Data,2,record,timestamp,1453448045,s,heart_rate,90,bpm,smo2,67.1,percent,power,0,watts
Data,2,record,timestamp,1453448046,s,heart_rate,87,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1453448047,s,heart_rate,84,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1453448048,s,heart_rate,84,bpm,smo2,66.0,percent,power,0,watts
Data,2,record,timestamp,1453448049,s,heart_rate,83,bpm,smo2,65.5,percent,power,0,watts
Data,2,record,timestamp,1453448050,s,heart_rate,79,bpm,smo2,65.9,percent,power,0,watts
Data,2,record,timestamp,1453448051,s,heart_rate,79,bpm,smo2,66.1,percent,power,0,watts
Data,2,record,timestamp,1453448052,s,heart_rate,77,bpm,smo2,67.0,percent,power,0,watts
Data,2,record,timestamp,1453448053,s,heart_rate,77,bpm,smo2,67.4,percent,power,0,watts
Data,2,record,timestamp,1453448054,s,heart_rate,78,bpm,smo2,68.1,percent,power,0,watts
Data,2,record,timestamp,1453448055,s,heart_rate,79,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453448056,s,heart_rate,79,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453448057,s,heart_rate,81,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453448058,s,heart_rate,83,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453448059,s,heart_rate,83,bpm,smo2,69.1,percent,power,0,watts
Data,2,record,timestamp,1453448060,s,heart_rate,84,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453448061,s,heart_rate,84,bpm,smo2,68.6,percent,power,0,watts
Data,2,record,timestamp,1453448062,s,heart_rate,85,bpm,smo2,68.6,percent,power,0,watts
Data,2,record,timestamp,1453448063,s,heart_rate,84,bpm,smo2,69.2,percent,power,0,watts
Data,2,record,timestamp,1453448064,s,heart_rate,84,bpm,smo2,69.7,percent,power,0,watts
Data,2,record,timestamp,1453448065,s,heart_rate,84,bpm,smo2,70.2,percent,power,0,watts
Data,2,record,timestamp,1453448066,s,heart_rate,85,bpm,smo2,70.5,percent,power,0,watts
Data,2,record,timestamp,1453448067,s,heart_rate,85,bpm,smo2,70.6,percent,power,0,watts
Data,2,record,timestamp,1453448068,s,heart_rate,87,bpm,smo2,70.1,percent,power,0,watts
Data,2,record,timestamp,1453448069,s,heart_rate,87,bpm,smo2,69.4,percent,power,0,watts
