Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0C11,,time_created,1453485795
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1453485795,s,sport,2,,total_elapsed_time,1453489220,s,total_timer_time,1453489220,s,start_time,1453485795,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1453485795,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485796,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485797,s,heart_rate,59,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485798,s,heart_rate,59,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485799,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485800,s,heart_rate,62,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485801,s,heart_rate,62,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485802,s,heart_rate,64,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485803,s,heart_rate,66,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485804,s,heart_rate,66,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485805,s,heart_rate,67,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485806,s,heart_rate,67,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485807,s,heart_rate,70,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485808,s,heart_rate,71,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453485809,s,heart_rate,71,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453485810,s,heart_rate,71,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453485811,s,heart_rate,72,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453485812,s,heart_rate,72,bpm,smo2,68.8,percent,power,0,watts
Data,2,record,timestamp,1453485813,s,heart_rate,75,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453485814,s,heart_rate,75,bpm,smo2,69.2,percent,power,0,watts
Data,2,record,timestamp,1453485815,s,heart_rate,82,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453485816,s,heart_rate,86,bpm,smo2,69.6,percent,power,0,watts
Data,2,record,timestamp,1453485817,s,heart_rate,86,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453485818,s,heart_rate,94,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453485819,s,heart_rate,103,bpm,smo2,69.5,percent,power,0,watts
Data,2,record,timestamp,1453485820,s,heart_rate,103,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453485821,s,heart_rate,108,bpm,smo2,69.1,percent,power,0,watts
Data,2,record,timestamp,1453485822,s,heart_rate,108,bpm,smo2,68.7,percent,power,0,watts
Data,2,record,timestamp,1453485823,s,heart_rate,112,bpm,smo2,68.4,percent,power,0,watts
Data,2,record,timestamp,1453485824,s,heart_rate,117,bpm,smo2,68.3,percent,power,0,watts
Data,2,record,timestamp,1453485825,s,heart_rate,117,bpm,smo2,68.5,percent,power,0,watts
Data,2,record,timestamp,1453485826,s,heart_rate,119,bpm,smo2,68.8,percent,power,0,watts
Data,2,record,timestamp,1453485827,s,heart_rate,120,bpm,smo2,69.0,percent,power,0,watts
