Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0C11,,time_created,1453706836
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1453706836,s,sport,2,,total_elapsed_time,1453709429,s,total_timer_time,1453709429,s,start_time,1453706836,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1453706836,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706837,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706838,s,heart_rate,59,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706839,s,heart_rate,59,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706840,s,heart_rate,59,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706841,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706842,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706843,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706844,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706845,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706846,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706847,s,heart_rate,58,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706848,s,heart_rate,60,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706849,s,heart_rate,61,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1453706850,s,heart_rate,61,bpm,smo2,69.6,percent,power,0,watts
Data,2,record,timestamp,1453706851,s,heart_rate,61,bpm,smo2,69.6,percent,power,0,watts
Data,2,record,timestamp,1453706852,s,heart_rate,62,bpm,smo2,69.9,percent,power,0,watts
Data,2,record,timestamp,1453706853,s,heart_rate,62,bpm,smo2,69.8,percent,power,0,watts
Data,2,record,timestamp,1453706854,s,heart_rate,63,bpm,smo2,69.8,percent,power,0,watts
Data,2,record,timestamp,1453706855,s,heart_rate,63,bpm,smo2,69.6,percent,power,0,watts
Data,2,record,timestamp,1453706856,s,heart_rate,65,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453706857,s,heart_rate,66,bpm,smo2,69.1,percent,power,0,watts
Data,2,record,timestamp,1453706858,s,heart_rate,66,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453706859,s,heart_rate,66,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453706860,s,heart_rate,65,bpm,smo2,69.0,percent,power,0,watts
Data,2,record,timestamp,1453706861,s,heart_rate,65,bpm,smo2,69.3,percent,power,0,watts
Data,2,record,timestamp,1453706862,s,heart_rate,66,bpm,smo2,69.5,percent,power,0,watts
Data,2,record,timestamp,1453706863,s,heart_rate,66,bpm,smo2,69.4,percent,power,0,watts
Data,2,record,timestamp,1453706864,s,heart_rate,64,bpm,smo2,68.9,percent,power,0,watts
Data,2,record,timestamp,1453706865,s,heart_rate,63,bpm,smo2,68.8,percent,power,0,watts
Data,2,record,timestamp,1453706866,s,heart_rate,63,bpm,smo2,69.1,percent,power,0,watts
Data,2,record,timestamp,1453706867,s,heart_rate,61,bpm,smo2,69.6,percent,power,0,watts
Data,2,record,timestamp,1453706868,s,heart_rate,61,bpm,smo2,69.6,percent,power,0,watts
Data,2,record,timestamp,1453706869,s,heart_rate,61,bpm,smo2,69.8,percent,power,0,watts
