,molecule_chembl_id,IC50,units,smiles,pIC50
0,CHEMBL2347725,0.015,nM,COc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCN(C)CC3)sc2c1,10.823908740944319
1,CHEMBL2347722,0.021,nM,COc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCOCC3)sc2c1,10.67778070526608
2,CHEMBL2347711,0.064,nM,CCNC(=O)Nc1nc2ccc(-c3ccccc3OCC)cc2s1,10.193820026016112
3,CHEMBL2347723,0.064,nM,COc1ccccc1-c1ccc2nc(NC(=O)NCCO)sc2c1,10.193820026016112
4,CHEMBL2347719,0.11,nM,CCNC(=O)Nc1nc2ccc(-c3ccc(N)cc3OC)cc2s1,9.958607314841775
5,CHEMBL2347710,0.11,nM,CCNC(=O)Nc1nc2ccc(-c3ccccc3OC)cc2s1,9.958607314841775
6,CHEMBL2347729,0.12,nM,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCNCC3)sc2c1,9.920818753952375
7,CHEMBL2347728,0.13,nM,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCCO)sc2c1,9.886056647693163
8,CHEMBL2347724,0.16,nM,COc1ccccc1-c1ccc2nc(NC(=O)NCCCO)sc2c1,9.795880017344075
9,CHEMBL2316583,0.17,nM,CN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,9.769551078621726
10,CHEMBL2347727,0.18,nM,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCO)sc2c1,9.744727494896694
11,CHEMBL3967070,0.2,nM,CC1(O)CN(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2ncc[nH]2)C1,9.698970004336019
12,CHEMBL3939040,0.2,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](CO)C2)c(-c2cncnc2)c1,9.698970004336019
13,CHEMBL4112072,0.2,nM,Cc1ccncc1-c1cc(C(=O)Nc2ccc(OC(F)(F)Cl)cc2)cnc1N1CC[C@@H](O)C1,9.698970004336019
14,CHEMBL4109082,0.2,nM,N[C@]1(C(F)(F)F)CCN(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2cncnc2)C1,9.698970004336019
15,CHEMBL4107478,0.2,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccccn2)c1,9.698970004336019
16,CHEMBL2347726,0.23,nM,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCOCC3)sc2c1,9.638272163982407
17,CHEMBL4632471,0.3,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C3CC3)c2)cc1C#Cc1cnc2cccnn12,9.522878745280337
