,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL2347725,0.015,nM,COc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCN(C)CC3)sc2c1,10.82390874094432,425.18854610400007,6,2,3.3408000000000015,True
1,CHEMBL2347722,0.021,nM,COc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCOCC3)sc2c1,10.67778070526608,412.156911628,6,2,3.425600000000002,True
2,CHEMBL2347711,0.064,nM,CCNC(=O)Nc1nc2ccc(-c3ccccc3OCC)cc2s1,10.193820026016112,341.119797848,4,2,4.503400000000004,True
3,CHEMBL2347723,0.064,nM,COc1ccccc1-c1ccc2nc(NC(=O)NCCO)sc2c1,10.193820026016112,343.09906240400005,5,3,3.0857,True
4,CHEMBL2347719,0.11,nM,CCNC(=O)Nc1nc2ccc(-c3ccc(N)cc3OC)cc2s1,9.958607314841776,342.11504681599996,5,3,3.695500000000002,True
5,CHEMBL2347710,0.11,nM,CCNC(=O)Nc1nc2ccc(-c3ccccc3OC)cc2s1,9.958607314841776,327.104147784,4,2,4.113300000000002,True
6,CHEMBL2347729,0.12,nM,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCNCC3)sc2c1,9.920818753952377,425.18854610400007,6,3,3.388700000000001,True
7,CHEMBL2347728,0.13,nM,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCCO)sc2c1,9.886056647693165,371.13036253199994,5,3,3.8659000000000017,True
8,CHEMBL2347724,0.16,nM,COc1ccccc1-c1ccc2nc(NC(=O)NCCCO)sc2c1,9.795880017344077,357.11471246799994,5,3,3.4758000000000013,True
9,CHEMBL2316583,0.17,nM,CN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,9.769551078621726,518.2041940800001,5,2,4.3762000000000025,True
10,CHEMBL2347727,0.18,nM,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCO)sc2c1,9.744727494896694,357.11471246799994,5,3,3.4758000000000013,True
11,CHEMBL3967070,0.2,nM,CC1(O)CN(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2ncc[nH]2)C1,9.69897000433602,433.13617409600005,6,3,3.193600000000001,True
12,CHEMBL3939040,0.2,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](CO)C2)c(-c2cncnc2)c1,9.69897000433602,459.15182416000005,7,2,3.5081000000000016,True
13,CHEMBL4112072,0.2,nM,Cc1ccncc1-c1cc(C(=O)Nc2ccc(OC(F)(F)Cl)cc2)cnc1N1CC[C@@H](O)C1,9.69897000433602,474.12702465200005,6,2,4.443220000000005,True
14,CHEMBL4109082,0.2,nM,N[C@]1(C(F)(F)F)CCN(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2cncnc2)C1,9.69897000433602,512.139543136,7,2,4.159400000000003,True
15,CHEMBL4107478,0.2,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccccn2)c1,9.69897000433602,444.14092512800005,6,2,3.8655000000000026,True
16,CHEMBL2347726,0.23,nM,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCOCC3)sc2c1,9.638272163982409,426.172561692,6,2,3.8157000000000023,True
17,CHEMBL4632471,0.3,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C3CC3)c2)cc1C#Cc1cnc2cccnn12,9.522878745280336,534.274324328,7,2,3.677120000000003,True
18,CHEMBL4111085,0.3,nM,COc1ncc(-c2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cnc2N2CC[C@@H](O)C2)cc1C#N,9.522878745280336,515.1171882400001,8,2,4.015080000000003,True
19,CHEMBL3922791,0.3,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](CO)C2)c(-c2cnc(Cl)c(F)c2)c1,9.522878745280336,510.10818102800005,6,2,4.905600000000003,True
20,CHEMBL3901163,0.3,nM,NC[C@@H]1CCN(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2cncnc2)C1,9.522878745280336,458.16780857200007,7,2,3.4745000000000017,True
21,CHEMBL2324924,0.3,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,9.522878745280336,532.219844144,6,1,4.456020000000004,True
22,CHEMBL4108934,0.3,nM,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cccnc2F)c1,9.522878745280336,478.101952776,6,2,4.273900000000003,True
23,CHEMBL2347716,0.31,nM,CCNC(=O)Nc1nc2ccc(-c3ccccc3)cc2s1,9.508638306165729,297.0935831,3,2,4.104700000000003,True
24,CHEMBL2316582,0.35,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,9.455931955649724,532.219844144,5,2,4.684620000000004,True
25,CHEMBL4642144,0.39,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(Cl)c2)cc1C#Cc1cnc2cccnn12,9.4089353929735,528.2040518480001,7,2,3.453120000000002,True
26,CHEMBL4107740,0.4,nM,N#Cc1ccncc1-c1cc(C(=O)Nc2ccc(OC(F)(F)Cl)cc2)cnc1N1CC[C@@H](O)C1,9.397940008672036,485.106623556,7,2,4.0064800000000025,True
28,CHEMBL3891752,0.4,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2C[C@H](O)[C@@H](O)C2)c(-c2cccnc2)c1,9.397940008672036,460.135839748,7,3,2.8363000000000005,True
29,CHEMBL4114966,0.4,nM,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ncc[nH]2)c1,9.397940008672036,449.10662355600005,6,3,3.462900000000001,True
30,CHEMBL2324926,0.4,nM,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,9.397940008672036,537.2212411120001,8,2,3.272800000000002,True
