Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0BD6,,time_created,1449494024
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1449494024,s,sport,2,,total_elapsed_time,1449497490,s,total_timer_time,1449497490,s,start_time,1449494024,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1449494024,s,heart_rate,82,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494025,s,heart_rate,82,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494026,s,heart_rate,79,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494027,s,heart_rate,79,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494028,s,heart_rate,78,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494029,s,heart_rate,76,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494030,s,heart_rate,76,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494031,s,heart_rate,74,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494032,s,heart_rate,74,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494033,s,heart_rate,74,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494034,s,heart_rate,74,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494035,s,heart_rate,74,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494036,s,heart_rate,76,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494037,s,heart_rate,77,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494038,s,heart_rate,77,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449494039,s,heart_rate,78,bpm,smo2,62.2,percent,power,0,watts
Data,2,record,timestamp,1449494040,s,heart_rate,77,bpm,smo2,63.3,percent,power,0,watts
Data,2,record,timestamp,1449494041,s,heart_rate,77,bpm,smo2,62.6,percent,power,0,watts
Data,2,record,timestamp,1449494042,s,heart_rate,76,bpm,smo2,62.7,percent,power,0,watts
Data,2,record,timestamp,1449494043,s,heart_rate,76,bpm,smo2,63.0,percent,power,0,watts
Data,2,record,timestamp,1449494044,s,heart_rate,75,bpm,smo2,62.8,percent,power,0,watts
Data,2,record,timestamp,1449494045,s,heart_rate,74,bpm,smo2,62.9,percent,power,0,watts
Data,2,record,timestamp,1449494046,s,heart_rate,74,bpm,smo2,62.7,percent,power,0,watts
Data,2,record,timestamp,1449494047,s,heart_rate,73,bpm,smo2,63.2,percent,power,0,watts
Data,2,record,timestamp,1449494048,s,heart_rate,73,bpm,smo2,63.3,percent,power,0,watts
Data,2,record,timestamp,1449494049,s,heart_rate,73,bpm,smo2,63.5,percent,power,0,watts
Data,2,record,timestamp,1449494050,s,heart_rate,73,bpm,smo2,63.5,percent,power,0,watts
Data,2,record,timestamp,1449494051,s,heart_rate,73,bpm,smo2,63.6,percent,power,0,watts
Data,2,record,timestamp,1449494052,s,heart_rate,74,bpm,smo2,63.7,percent,power,0,watts
Data,2,record,timestamp,1449494053,s,heart_rate,76,bpm,smo2,63.8,percent,power,0,watts
Data,2,record,timestamp,1449494054,s,heart_rate,76,bpm,smo2,64.3,percent,power,0,watts
Data,2,record,timestamp,1449494055,s,heart_rate,77,bpm,smo2,65.0,percent,power,0,watts
Data,2,record,timestamp,1449494056,s,heart_rate,77,bpm,smo2,65.7,percent,power,0,watts
Data,2,record,timestamp,1449494057,s,heart_rate,77,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1449494058,s,heart_rate,76,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1449494059,s,heart_rate,76,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494060,s,heart_rate,75,bpm,smo2,66.6,percent,power,0,watts
Data,2,record,timestamp,1449494061,s,heart_rate,75,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494062,s,heart_rate,75,bpm,smo2,66.6,percent,power,0,watts
Data,2,record,timestamp,1449494063,s,heart_rate,75,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1449494064,s,heart_rate,76,bpm,smo2,66.0,percent,power,0,watts
Data,2,record,timestamp,1449494065,s,heart_rate,76,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1449494066,s,heart_rate,77,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1449494067,s,heart_rate,77,bpm,smo2,67.1,percent,power,0,watts
Data,2,record,timestamp,1449494068,s,heart_rate,75,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1449494069,s,heart_rate,76,bpm,smo2,67.2,percent,power,0,watts
Data,2,record,timestamp,1449494070,s,heart_rate,76,bpm,smo2,66.9,percent,power,0,watts
Data,2,record,timestamp,1449494071,s,heart_rate,76,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494072,s,heart_rate,78,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494073,s,heart_rate,78,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494074,s,heart_rate,78,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494075,s,heart_rate,78,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1449494076,s,heart_rate,79,bpm,smo2,66.6,percent,power,0,watts
Data,2,record,timestamp,1449494077,s,heart_rate,80,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494078,s,heart_rate,80,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1449494079,s,heart_rate,80,bpm,smo2,66.3,percent,power,0,watts
Data,2,record,timestamp,1449494080,s,heart_rate,81,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1449494081,s,heart_rate,81,bpm,smo2,66.1,percent,power,0,watts
Data,2,record,timestamp,1449494082,s,heart_rate,81,bpm,smo2,66.1,percent,power,0,watts
Data,2,record,timestamp,1449494083,s,heart_rate,81,bpm,smo2,66.1,percent,power,0,watts
Data,2,record,timestamp,1449494084,s,heart_rate,81,bpm,smo2,66.1,percent,power,0,watts
Data,2,record,timestamp,1449494085,s,heart_rate,80,bpm,smo2,66.2,percent,power,0,watts
Data,2,record,timestamp,1449494086,s,heart_rate,80,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1449494087,s,heart_rate,78,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494088,s,heart_rate,76,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1449494089,s,heart_rate,76,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494090,s,heart_rate,76,bpm,smo2,66.9,percent,power,0,watts
Data,2,record,timestamp,1449494091,s,heart_rate,76,bpm,smo2,66.9,percent,power,0,watts
Data,2,record,timestamp,1449494092,s,heart_rate,76,bpm,smo2,66.9,percent,power,0,watts
Data,2,record,timestamp,1449494093,s,heart_rate,78,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494094,s,heart_rate,78,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494095,s,heart_rate,78,bpm,smo2,66.6,percent,power,0,watts
Data,2,record,timestamp,1449494096,s,heart_rate,78,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494097,s,heart_rate,78,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494098,s,heart_rate,76,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1449494099,s,heart_rate,76,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1449494100,s,heart_rate,74,bpm,smo2,66.4,percent,power,0,watts
Data,2,record,timestamp,1449494101,s,heart_rate,74,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494102,s,heart_rate,74,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494103,s,heart_rate,71,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494104,s,heart_rate,70,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494105,s,heart_rate,70,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494106,s,heart_rate,70,bpm,smo2,66.5,percent,power,0,watts
Data,2,record,timestamp,1449494107,s,heart_rate,70,bpm,smo2,66.6,percent,power,0,watts
Data,2,record,timestamp,1449494108,s,heart_rate,69,bpm,smo2,66.7,percent,power,0,watts
Data,2,record,timestamp,1449494109,s,heart_rate,69,bpm,smo2,66.8,percent,power,0,watts
Data,2,record,timestamp,1449494110,s,heart_rate,69,bpm,smo2,66.9,percent,power,0,watts
Data,2,record,timestamp,1449494111,s,heart_rate,69,bpm,smo2,67.0,percent,power,0,watts
Data,2,record,timestamp,1449494112,s,heart_rate,69,bpm,smo2,67.0,percent,power,0,watts
Data,2,record,timestamp,1449494113,s,heart_rate,69,bpm,smo2,67.1,percent,power,0,watts
Data,2,record,timestamp,1449494114,s,heart_rate,68,bpm,smo2,67.2,percent,power,0,watts
Data,2,record,timestamp,1449494115,s,heart_rate,68,bpm,smo2,67.2,percent,power,0,watts
