Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0BD6,,time_created,1449664783
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1449664783,s,sport,2,,total_elapsed_time,1449672327,s,total_timer_time,1449672327,s,start_time,1449664783,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1449664783,s,heart_rate,73,bpm,smo2,100.0,percent,power,0,watts
Data,2,record,timestamp,1449664784,s,heart_rate,73,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664785,s,heart_rate,75,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664786,s,heart_rate,75,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664787,s,heart_rate,78,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664788,s,heart_rate,79,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664789,s,heart_rate,79,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664790,s,heart_rate,81,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664791,s,heart_rate,83,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664792,s,heart_rate,83,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664793,s,heart_rate,84,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664794,s,heart_rate,84,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664795,s,heart_rate,1,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664796,s,heart_rate,1,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449664797,s,heart_rate,1,bpm,smo2,67.5,percent,power,0,watts
Data,2,record,timestamp,1449664798,s,heart_rate,1,bpm,smo2,67.3,percent,power,0,watts
Data,2,record,timestamp,1449664799,s,heart_rate,82,bpm,smo2,67.4,percent,power,0,watts
Data,2,record,timestamp,1449664800,s,heart_rate,82,bpm,smo2,62.7,percent,power,0,watts
