Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,
Data,0,file_id,type,4,,manufacturer,98,,product,2,,serial_number,0BD6,,time_created,1449763965
Definition,1,session,timestamp,1,,sport,1,,total_elapsed_time,1,,total_timer_time,1,,start_time,1,
Data,1,session,timestamp,1449763965,s,sport,2,,total_elapsed_time,1449767342,s,total_timer_time,1449767342,s,start_time,1449763965,s
Definition,2,record,timestamp,1,,heart_rate,1,,smo2,1,,power,1,
Data,2,record,timestamp,1449763965,s,heart_rate,72,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763966,s,heart_rate,72,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763967,s,heart_rate,75,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763968,s,heart_rate,75,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763969,s,heart_rate,78,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763970,s,heart_rate,81,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763971,s,heart_rate,81,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763972,s,heart_rate,84,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763973,s,heart_rate,84,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763974,s,heart_rate,84,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763975,s,heart_rate,84,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763976,s,heart_rate,84,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763977,s,heart_rate,83,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763978,s,heart_rate,82,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763979,s,heart_rate,82,bpm,smo2,,percent,power,0,watts
Data,2,record,timestamp,1449763980,s,heart_rate,82,bpm,smo2,73.6,percent,power,0,watts
Data,2,record,timestamp,1449763981,s,heart_rate,83,bpm,smo2,73.6,percent,power,0,watts
Data,2,record,timestamp,1449763982,s,heart_rate,83,bpm,smo2,73.7,percent,power,0,watts
Data,2,record,timestamp,1449763983,s,heart_rate,83,bpm,smo2,73.6,percent,power,0,watts
Data,2,record,timestamp,1449763984,s,heart_rate,83,bpm,smo2,73.7,percent,power,0,watts
Data,2,record,timestamp,1449763985,s,heart_rate,80,bpm,smo2,73.9,percent,power,0,watts
Data,2,record,timestamp,1449763986,s,heart_rate,79,bpm,smo2,74.0,percent,power,0,watts
Data,2,record,timestamp,1449763987,s,heart_rate,79,bpm,smo2,74.0,percent,power,0,watts
