Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-11-20,0.0,0.0,0.0,,,80.22,0.0,0.0
2013-11-21,0.0,0.0,0.0,,,79.78,0.0,0.0
2013-11-22,0.0,0.0,0.0,,,79.82,0.0,0.0
2013-11-25,0.0,0.0,0.0,,,80.22,0.0,0.0
2013-11-26,0.0,0.0,0.0,,,80.38,0.0,0.0
2013-11-27,0.0,0.0,0.0,,,80.22,0.0,0.0
2013-11-29,0.0,0.0,0.0,,,80.55,0.0,0.0
2013-12-02,0.0,0.0,0.0,,,80.66,0.0,0.0
2013-12-03,0.0,0.0,0.0,,,80.5,0.0,0.0
2013-12-04,0.0,0.0,0.0,,,80.35,0.0,0.0
2013-12-05,0.0,0.0,0.0,,,79.81,0.0,0.0
2013-12-06,0.0,0.0,0.0,,,80.04,0.0,0.0
2013-12-09,0.0,0.0,0.0,,,80.15,0.0,0.0
2013-12-10,0.0,0.0,0.0,,,79.99,0.0,0.0
2013-12-11,0.0,0.0,0.0,,,80.37,0.0,0.0
2013-12-12,0.0,0.0,0.0,,,80.11,0.0,0.0
2013-12-13,0.0,0.0,0.0,,,79.08,0.0,0.0
2013-12-16,0.0,0.0,0.0,,,79.43,0.0,0.0
2013-12-17,0.0,0.0,0.0,,,79.51,0.0,0.0
2013-12-18,0.0,0.0,0.0,,,78.86,0.0,0.0
2013-12-19,0.0,0.0,0.0,,,78.45,0.0,0.0
2013-12-20,0.0,0.0,0.0,,,78.19,0.0,0.0
2013-12-23,0.0,0.0,0.0,,,78.19,0.0,0.0
2013-12-24,0.0,0.0,0.0,,,78.12,0.0,0.0
2013-12-26,0.0,0.0,0.0,,,78.3,0.0,0.0
2013-12-27,0.0,0.0,0.0,,,78.43,0.0,0.0
2013-12-30,0.0,0.0,0.0,,,78.36,0.0,0.0
2013-12-31,0.0,0.0,0.0,,,78.13,0.0,0.0
2014-01-02,0.0,0.0,0.0,,,77.27,0.0,0.0
2014-01-03,0.0,0.0,0.0,,,77.0,0.0,0.0
2014-01-06,0.0,0.0,0.0,,,77.05,0.0,0.0
2014-01-07,0.0,0.0,0.0,,,76.13,0.0,0.0
2014-01-08,0.0,0.0,0.0,,,75.64,0.0,0.0
2014-01-09,0.0,0.0,0.0,,,75.94,0.0,0.0
2014-01-10,0.0,0.0,0.0,,,75.93,0.0,0.0
2014-01-13,0.0,0.0,0.0,,,75.85,0.0,0.0
2014-01-14,0.0,0.0,0.0,,,76.7,0.0,0.0
2014-01-15,0.0,0.0,0.0,,,77.08,0.0,0.0
2014-01-16,0.0,0.0,0.0,,,76.13,0.0,0.0
2014-01-17,0.0,0.0,0.0,,,76.06,0.0,0.0
2014-01-21,0.0,0.0,0.0,,,75.98,0.0,0.0
2014-01-22,0.0,0.0,0.0,,,75.86,0.0,0.0
2014-01-23,0.0,0.0,0.0,,,75.66,0.0,0.0
2014-01-24,0.0,0.0,0.0,,,76.05,0.0,0.0
2014-01-27,0.0,0.0,0.0,,,75.97,0.0,0.0
2014-01-28,0.0,0.0,0.0,,,76.2,0.0,0.0
2014-01-29,0.0,0.0,0.0,,,75.8,0.0,0.0
2014-01-30,0.0,0.0,0.0,,,75.59,0.0,0.0
2014-01-31,0.0,0.0,0.0,,,75.07,0.0,0.0
2014-02-03,0.0,0.0,0.0,,,75.42,0.0,0.0
2014-02-04,0.0,0.0,0.0,,,76.09,0.0,0.0
2014-02-05,0.0,0.0,0.0,,,77.3,0.0,0.0
2014-02-06,0.0,0.0,0.0,,,77.45,0.0,0.0
2014-02-07,0.0,0.0,0.0,,,77.86,0.0,0.0
2014-02-10,0.0,0.0,0.0,,,77.55,0.0,0.0
2014-02-11,0.0,0.0,0.0,,,78.09,0.0,0.0
2014-02-12,0.0,0.0,0.0,,,78.29,0.0,0.0
2014-02-13,0.0,0.0,0.0,,,78.48,0.0,0.0
2014-02-14,0.0,0.0,0.0,,,78.53,0.0,0.0
2014-02-18,0.0,0.0,0.0,,0.66,77.87,0.0,0.0
2014-02-19,0.0,0.0,0.0,,,77.65,,
2014-02-20,0.0,0.0,0.0,,0.34,77.99,0.0,0.0
2014-02-21,0.0,0.0,0.0,,0.17,78.16,0.0,0.0
2014-02-24,0.0,0.0,0.0,,22.0,78.38,0.0,0.0
2014-02-25,0.0,0.0,0.0,,0.31,78.07,0.0,0.0
2014-02-26,0.0,0.0,0.0,,0.11,78.18,0.0,0.0
2014-02-27,0.0,0.0,0.0,,0.33,78.51,0.0,0.0
2014-02-28,0.0,0.0,0.0,,0.25,78.76,0.0,0.0
2014-03-03,0.0,0.0,0.0,,,78.76,0.0,0.0
2014-03-04,0.0,0.0,0.0,,0.06,78.7,0.0,0.0
2014-03-05,0.0,0.0,0.0,,,79.36,,
2014-03-06,0.0,0.0,0.0,,0.5,79.86,0.0,0.0
2014-03-07,0.0,0.0,0.0,,0.07,79.93,0.0,0.0
2014-03-10,0.0,0.0,0.0,,0.24,79.69,0.0,0.0
2014-03-11,0.0,0.0,0.0,,0.35,80.04,0.0,0.0
2014-03-12,0.0,0.0,0.0,,0.08,79.96,0.0,0.0
2014-03-13,0.0,0.0,0.0,,0.37,80.33,0.0,0.0
2014-03-14,0.0,0.0,0.0,,0.14,80.47,0.0,0.0
2014-03-17,0.0,0.0,0.0,,0.46,80.01,0.0,0.0
2014-03-18,0.0,0.0,0.0,,0.07,79.94,0.0,0.0
2014-03-19,0.0,0.0,0.0,,0.14,79.8,0.0,0.0
2014-03-20,0.0,0.0,0.0,,0.21,80.01,0.0,0.0
2014-03-21,0.0,0.0,0.0,,0.09,80.1,0.0,0.0
2014-03-24,0.0,0.0,0.0,,0.05,80.05,0.0,0.0
2014-03-25,0.0,0.0,0.0,,0.35,79.7,0.0,0.0
2014-03-26,0.0,0.0,0.0,,0.11,79.59,0.0,0.0
2014-03-27,0.0,0.0,0.0,,0.17,79.42,0.0,0.0
