Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-11-20,0.0,0.0,0.0,,,79.93,0.0,0.0
2013-11-21,0.0,0.0,0.0,,,79.49,0.0,0.0
2013-11-22,0.0,0.0,0.0,,,79.53,0.0,0.0
2013-11-25,0.0,0.0,0.0,,,79.93,0.0,0.0
2013-11-26,0.0,0.0,0.0,,,80.09,0.0,0.0
2013-11-27,0.0,0.0,0.0,,,79.93,0.0,0.0
2013-11-29,0.0,0.0,0.0,,,80.26,0.0,0.0
2013-12-02,0.0,0.0,0.0,,,80.37,0.0,0.0
2013-12-03,0.0,0.0,0.0,,,80.21,0.0,0.0
2013-12-04,0.0,0.0,0.0,,,80.06,0.0,0.0
2013-12-05,0.0,0.0,0.0,,,79.52,0.0,0.0
2013-12-06,0.0,0.0,0.0,,,79.77,0.0,0.0
2013-12-09,0.0,0.0,0.0,,,79.88,0.0,0.0
2013-12-10,0.0,0.0,0.0,,,79.72,0.0,0.0
2013-12-11,0.0,0.0,0.0,,,80.16,0.0,0.0
2013-12-12,0.0,0.0,0.0,,,79.9,0.0,0.0
2013-12-13,0.0,0.0,0.0,,,78.87,0.0,0.0
2013-12-16,0.0,0.0,0.0,,,79.22,0.0,0.0
2013-12-17,0.0,0.0,0.0,,,79.3,0.0,0.0
2013-12-18,0.0,0.0,0.0,,,78.66,0.0,0.0
2013-12-19,0.0,0.0,0.0,,,78.23,0.0,0.0
2013-12-20,0.0,0.0,0.0,,,77.97,0.0,0.0
2013-12-23,0.0,0.0,0.0,,,77.97,0.0,0.0
2013-12-24,0.0,0.0,0.0,,,77.9,0.0,0.0
2013-12-26,0.0,0.0,0.0,,,78.08,0.0,0.0
2013-12-27,0.0,0.0,0.0,,,78.21,0.0,0.0
2013-12-30,0.0,0.0,0.0,,,78.14,0.0,0.0
2013-12-31,0.0,0.0,0.0,,,77.88,0.0,0.0
2014-01-02,0.0,0.0,0.0,,,77.04,0.0,0.0
2014-01-03,0.0,0.0,0.0,,,76.79,0.0,0.0
2014-01-06,0.0,0.0,0.0,,,76.84,0.0,0.0
2014-01-07,0.0,0.0,0.0,,,75.93,0.0,0.0
2014-01-08,0.0,0.0,0.0,,,75.47,0.0,0.0
2014-01-09,0.0,0.0,0.0,,,75.75,0.0,0.0
2014-01-10,0.0,0.0,0.0,,,75.73,0.0,0.0
2014-01-13,0.0,0.0,0.0,,,75.65,0.0,0.0
2014-01-14,0.0,0.0,0.0,,,76.47,0.0,0.0
2014-01-15,0.0,0.0,0.0,,,76.85,0.0,0.0
2014-01-16,0.0,0.0,0.0,,,75.87,0.0,0.0
2014-01-17,0.0,0.0,0.0,,,75.78,0.0,0.0
2014-01-21,0.0,0.0,0.0,,,75.7,0.0,0.0
2014-01-22,0.0,0.0,0.0,,,75.54,0.0,0.0
2014-01-23,0.0,0.0,0.0,,,75.34,0.0,0.0
2014-01-24,0.0,0.0,0.0,,,75.71,0.0,0.0
2014-01-27,0.0,0.0,0.0,,,75.61,0.0,0.0
2014-01-28,0.0,0.0,0.0,,,75.84,0.0,0.0
2014-01-29,0.0,0.0,0.0,,,75.42,0.0,0.0
2014-01-30,0.0,0.0,0.0,,,75.2,0.0,0.0
2014-01-31,0.0,0.0,0.0,,,74.63,0.0,0.0
2014-02-03,0.0,0.0,0.0,,,74.98,0.0,0.0
2014-02-04,0.0,0.0,0.0,,,75.65,0.0,0.0
2014-02-05,0.0,0.0,0.0,,,76.86,0.0,0.0
2014-02-06,0.0,0.0,0.0,,,77.01,0.0,0.0
2014-02-07,0.0,0.0,0.0,,,77.42,0.0,0.0
2014-02-10,0.0,0.0,0.0,,,77.11,0.0,0.0
2014-02-11,0.0,0.0,0.0,,,77.65,0.0,0.0
2014-02-12,0.0,0.0,0.0,,,77.85,0.0,0.0
2014-02-13,0.0,0.0,0.0,,,78.04,0.0,0.0
2014-02-14,0.0,0.0,0.0,,,78.09,0.0,0.0
2014-02-18,0.0,0.0,0.0,,0.66,77.43,0.0,0.0
2014-02-19,0.0,0.0,0.0,,,77.21,,
2014-02-20,0.0,0.0,0.0,,0.34,77.55,0.0,0.0
2014-02-21,0.0,0.0,0.0,,0.17,77.72,0.0,0.0
2014-02-24,0.0,0.0,0.0,,22.0,77.94,0.0,0.0
2014-02-25,0.0,0.0,0.0,,0.31,77.63,0.0,0.0
2014-02-26,0.0,0.0,0.0,,0.11,77.74,0.0,0.0
2014-02-27,0.0,0.0,0.0,,0.33,78.07,0.0,0.0
2014-02-28,0.0,0.0,0.0,,0.25,78.32,0.0,0.0
2014-03-03,0.0,0.0,0.0,,,78.32,0.0,0.0
2014-03-04,0.0,0.0,0.0,,0.02,78.3,0.0,0.0
2014-03-05,0.0,0.0,0.0,,,78.98,,
2014-03-06,0.0,0.0,0.0,,0.5,79.48,0.0,0.0
2014-03-07,0.0,0.0,0.0,,0.07,79.55,0.0,0.0
2014-03-10,0.0,0.0,0.0,,0.2,79.35,0.0,0.0
2014-03-11,0.0,0.0,0.0,,0.35,79.7,0.0,0.0
2014-03-12,0.0,0.0,0.0,,0.08,79.62,0.0,0.0
2014-03-13,0.0,0.0,0.0,,0.37,79.99,0.0,0.0
2014-03-14,0.0,0.0,0.0,,0.14,80.13,0.0,0.0
2014-03-17,0.0,0.0,0.0,,0.46,79.67,0.0,0.0
2014-03-18,0.0,0.0,0.0,,0.07,79.6,0.0,0.0
2014-03-19,0.0,0.0,0.0,,0.14,79.46,0.0,0.0
2014-03-20,0.0,0.0,0.0,,0.24,79.7,0.0,0.0
2014-03-21,0.0,0.0,0.0,,0.09,79.79,0.0,0.0
2014-03-24,0.0,0.0,0.0,,0.05,79.74,0.0,0.0
2014-03-25,0.0,0.0,0.0,,0.37,79.37,0.0,0.0
2014-03-26,0.0,0.0,0.0,,0.12,79.25,0.0,0.0
2014-03-27,0.0,0.0,0.0,,0.17,79.08,0.0,0.0
2014-03-28,0.0,0.0,0.0,,0.83,78.25,0.0,0.0
2014-03-31,0.0,0.0,0.0,,0.4,78.65,0.0,0.0
2014-04-01,0.0,0.0,0.0,,0.4,79.05,0.0,0.0
2014-04-02,0.0,0.0,0.0,,1.03,80.08,0.0,0.0
2014-04-03,0.0,0.0,0.0,,0.44,80.52,0.0,0.0
