Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1995-10-06,107.9375,107.9375,107.9375,,,107.9375,0.0,0.0
1995-10-10,107.875,107.875,107.875,,,107.875,6.0,0.0
1995-10-11,107.8125,107.8125,107.8125,,,107.8125,1.0,1.0
1995-10-12,107.921875,107.921875,107.921875,,,107.921875,0.0,0.0
1995-10-13,108.265625,108.265625,108.265625,,,108.265625,0.0,0.0
1995-10-16,108.265625,108.265625,108.265625,,,108.265625,0.0,0.0
1995-10-17,108.328125,108.328125,108.328125,,,108.328125,0.0,0.0
1995-10-18,108.140625,108.140625,108.140625,,,108.140625,0.0,0.0
1995-10-19,108.265625,108.265625,108.265625,,,108.265625,0.0,0.0
1995-10-20,107.984375,107.984375,107.984375,,,107.984375,0.0,0.0
1995-10-23,107.890625,107.890625,107.890625,,,107.890625,0.0,0.0
1995-10-24,108.171875,108.171875,108.171875,,,108.171875,0.0,0.0
1995-10-25,108.28125,108.28125,108.28125,,,108.28125,72.0,72.0
1995-10-26,108.25,108.25,108.25,,,108.25,149.0,212.0
1995-10-27,108.203125,108.203125,108.203125,,,108.203125,0.0,212.0
1995-10-30,108.28125,108.28125,108.28125,,,108.28125,0.0,212.0
1995-10-31,108.3125,108.3125,108.3125,,,108.3125,0.0,212.0
1995-11-01,108.609375,108.609375,108.609375,,,108.609375,0.0,212.0
1995-11-02,108.859375,108.859375,108.859375,,,108.859375,0.0,212.0
1995-11-03,108.8125,108.8125,108.8125,,,108.8125,0.0,212.0
1995-11-06,108.671875,108.671875,108.671875,,,108.671875,0.0,212.0
1995-11-07,108.515625,108.515625,108.515625,,,108.515625,0.0,212.0
1995-11-08,108.734375,108.734375,108.671875,,,108.671875,3403.0,2189.0
1995-11-09,108.6875,108.6875,108.53125,,,108.53125,203.0,2389.0
1995-11-10,108.359375,108.359375,108.359375,,,108.359375,0.0,2389.0
1995-11-13,108.53125,108.53125,108.53125,,,108.53125,0.0,2389.0
1995-11-14,108.578125,108.578125,108.578125,,,108.578125,0.0,2389.0
1995-11-15,108.390625,108.390625,108.390625,,,108.390625,86.0,2389.0
1995-11-16,108.671875,108.671875,108.671875,,,108.671875,0.0,2389.0
1995-11-17,108.78125,108.78125,108.78125,,,108.78125,0.0,2389.0
1995-11-20,108.765625,108.765625,108.765625,,,108.765625,75.0,2389.0
1995-11-21,108.609375,108.609375,108.609375,,,108.609375,0.0,2389.0
1995-11-22,108.53125,108.53125,108.53125,,,108.53125,0.0,2389.0
1995-11-24,108.65625,108.65625,108.65625,,,108.65625,0.0,2389.0
1995-11-27,108.84375,108.84375,108.84375,,,108.84375,0.0,2389.0
1995-11-28,108.78125,108.796875,108.78125,,,108.796875,9.0,2398.0
1995-11-29,108.875,109.046875,108.875,,,109.046875,9.0,2398.0
1995-11-30,109.375,109.375,109.375,,,109.375,0.0,2398.0
1995-12-01,109.4375,109.59375,109.4375,,,109.546875,86.0,2402.0
1995-12-04,109.8125,109.828125,109.8125,,,109.828125,135.0,2529.0
1995-12-05,109.671875,109.671875,109.671875,,,109.671875,62.0,2587.0
1995-12-06,109.515625,109.515625,109.515625,,,109.515625,50.0,2635.0
1995-12-07,109.25,109.328125,109.25,,,109.328125,432.0,2695.0
1995-12-08,109.21875,109.21875,109.21875,,,109.21875,0.0,2701.0
1995-12-11,109.40625,109.4375,109.359375,,,109.390625,185.0,2707.0
1995-12-12,109.3125,109.34375,109.3125,,,109.34375,90.0,2788.0
1995-12-13,109.34375,109.359375,109.328125,,,109.359375,1205.0,3417.0
1995-12-14,109.4375,109.4375,109.390625,,,109.390625,715.0,3994.0
1995-12-15,109.453125,109.453125,109.34375,,,109.390625,8468.0,6975.0
