Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1990-03-21,97.390625,97.4375,97.390625,,,97.421875,1.0,1.0
1990-03-22,97.328125,97.859375,97.328125,,,97.609375,0.0,1.0
1990-03-23,97.75,97.75,97.75,,,97.75,0.0,1.0
1990-03-26,97.78125,97.78125,97.78125,,,97.78125,0.0,1.0
1990-03-27,97.6875,97.6875,97.6875,,,97.6875,0.0,1.0
1990-03-28,97.765625,97.765625,97.765625,,,97.765625,0.0,1.0
1990-03-29,97.453125,97.453125,97.453125,,,97.453125,0.0,1.0
1990-03-30,97.171875,97.171875,97.171875,,,97.171875,0.0,1.0
1990-04-02,97.25,97.25,97.25,,,97.25,0.0,1.0
1990-04-03,97.3125,97.3125,97.3125,,,97.3125,0.0,1.0
1990-04-04,97.375,97.8125,97.3125,,,97.71875,117.0,96.0
1990-04-05,97.65625,97.65625,97.65625,,,97.65625,0.0,96.0
1990-04-06,97.6875,97.6875,97.6875,,,97.6875,0.0,96.0
1990-04-09,97.5625,97.5625,97.5625,,,97.5625,0.0,96.0
1990-04-10,97.53125,97.53125,97.53125,,,97.53125,215.0,311.0
1990-04-11,97.5625,97.5625,97.40625,,,97.453125,2.0,311.0
1990-04-12,97.34375,97.34375,97.34375,,,97.34375,0.0,311.0
1990-04-16,97.28125,97.3125,97.265625,,,97.3125,20.0,311.0
1990-04-17,96.984375,96.984375,96.984375,,,96.984375,0.0,311.0
1990-04-18,97.0,97.0,96.5625,,,96.609375,11.0,311.0
1990-04-19,96.546875,96.65625,96.5,,,96.625,2.0,312.0
1990-04-20,96.484375,96.484375,96.484375,,,96.484375,0.0,312.0
1990-04-23,96.375,96.375,96.375,,,96.375,0.0,312.0
1990-04-24,96.1875,96.1875,96.1875,,,96.1875,0.0,312.0
1990-04-25,96.03125,96.03125,96.03125,,,96.03125,0.0,312.0
1990-04-26,96.0625,96.0625,95.640625,,,95.703125,165.0,322.0
1990-04-27,95.796875,96.0625,95.625,,,95.8125,36.0,335.0
1990-04-30,95.890625,95.890625,95.890625,,,95.890625,495.0,829.0
1990-05-01,95.6875,95.734375,95.6875,,,95.734375,38.0,860.0
1990-05-02,95.5625,95.703125,95.515625,,,95.671875,10.0,867.0
1990-05-03,95.875,95.921875,95.828125,,,95.890625,477.0,1196.0
1990-05-04,95.96875,96.875,95.9375,,,96.8125,540.0,1176.0
1990-05-07,96.703125,96.71875,96.65625,,,96.6875,539.0,1544.0
1990-05-08,96.84375,96.90625,96.734375,,,96.875,3068.0,3655.0
1990-05-09,96.65625,96.6875,96.578125,,,96.59375,7764.0,8681.0
1990-05-10,96.703125,96.875,96.703125,,,96.875,4719.0,10541.0
1990-05-11,97.015625,97.53125,96.984375,,,97.484375,5658.0,13005.0
1990-05-14,97.40625,97.671875,97.390625,,,97.671875,3438.0,15363.0
1990-05-15,97.46875,97.5625,97.421875,,,97.5,5085.0,18160.0
