Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1981-02-27,1.12,1.12,1.12,1.12,,1.12,0.0,8.0
1981-03-04,1.13,1.13,1.13,1.13,,1.13,0.0,2.0
1981-03-05,1.125,1.125,1.125,1.125,,1.125,3.0,3.0
1981-03-06,1.115,1.115,1.115,1.115,,1.115,0.0,3.0
1981-03-09,1.115,1.115,1.115,1.115,,1.115,0.0,3.0
1981-03-10,1.115,1.115,1.115,1.115,,1.115,0.0,3.0
1981-03-11,1.115,1.115,1.1125,1.1145,,1.1145,3.0,4.0
1981-03-12,1.1145,1.1145,1.1145,1.1145,,1.1145,0.0,4.0
1981-03-13,1.1098,1.1098,1.1098,1.1098,,1.1098,1.0,5.0
1981-03-16,1.101,1.1015,1.101,1.1015,,1.1015,1.0,6.0
1981-03-17,1.1125,1.1125,1.1125,1.1125,,1.1125,4.0,10.0
1981-03-18,1.12,1.12,1.12,1.12,,1.12,0.0,10.0
1981-03-19,1.1125,1.1125,1.1125,1.1125,,1.1125,1.0,11.0
1981-03-20,1.1075,1.1075,1.1075,1.1075,,1.1075,5.0,16.0
1981-03-23,1.1025,1.105,1.1,1.1,,1.1,10.0,26.0
1981-03-24,1.095,1.095,1.095,1.095,,1.095,1.0,26.0
1981-03-25,1.1,1.1,1.1,1.1,,1.1,1.0,27.0
1981-03-26,1.095,1.095,1.095,1.095,,1.095,0.0,27.0
1981-03-27,1.095,1.095,1.095,1.095,,1.095,0.0,27.0
1981-03-30,1.097,1.0985,1.097,1.0985,,1.0985,1.0,28.0
1981-03-31,1.096,1.096,1.095,1.095,,1.095,2.0,30.0
1981-04-01,1.115,1.115,1.115,1.115,,1.115,0.0,12.0
1981-04-02,1.115,1.115,1.115,1.115,,1.115,0.0,12.0
1981-04-03,1.12,1.127,1.12,1.127,,1.127,5.0,17.0
1981-04-06,1.126,1.147,1.126,1.147,,1.147,3.0,17.0
1981-04-07,1.135,1.135,1.135,1.135,,1.135,0.0,17.0
1981-04-08,1.1385,1.1385,1.1385,1.1385,,1.1385,5.0,12.0
1981-04-09,1.129,1.129,1.129,1.129,,1.129,0.0,12.0
1981-04-10,1.121,1.121,1.121,1.121,,1.121,0.0,12.0
1981-04-13,1.121,1.121,1.121,1.121,,1.121,0.0,12.0
1981-04-14,1.1175,1.1175,1.1175,1.1175,,1.1175,0.0,12.0
1981-04-15,1.1175,1.1175,1.1175,1.1175,,1.1175,0.0,12.0
