Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2002-07-01,0.6845,0.6845,0.6845,,,0.6845,0.0,0.0
2002-07-02,0.6885,0.6885,0.6885,,,0.6885,0.0,0.0
2002-07-03,0.6873,0.6873,0.6873,,,0.6873,50.0,0.0
2002-07-08,0.681,0.681,0.681,,,0.6733,4.0,50.0
2002-07-09,0.6778,0.6778,0.6778,,,0.6778,0.0,54.0
2002-07-10,0.6878,0.6878,0.6878,,,0.6878,0.0,54.0
2002-07-11,0.6889,0.6889,0.6889,,,0.6889,0.0,54.0
2002-07-12,0.7,0.7,0.7,,,0.7008,1.0,54.0
2002-07-15,0.6907,0.6907,0.6907,,,0.6907,0.0,55.0
2002-07-16,0.7048,0.7048,0.7048,,,0.7048,0.0,55.0
2002-07-17,0.7011,0.7011,0.7011,,,0.7011,0.0,55.0
2002-07-18,0.6954,0.6954,0.6954,,,0.6954,0.0,55.0
2002-07-19,0.6961,0.6961,0.6961,,,0.6961,0.0,55.0
2002-07-22,0.6787,0.6787,0.6787,,,0.6787,0.0,55.0
2002-07-23,0.675,0.675,0.675,,,0.675,0.0,55.0
2002-07-24,0.6825,0.6825,0.6825,,,0.6852,7.0,55.0
2002-07-25,0.6852,0.6852,0.6852,,,0.6852,0.0,60.0
2002-07-26,0.6819,0.6819,0.6819,,,0.6819,0.0,60.0
2002-07-29,0.6816,0.6816,0.6816,,,0.6816,0.0,60.0
2002-07-30,0.695,0.695,0.695,,,0.695,0.0,60.0
2002-07-31,0.6857,0.6857,0.6857,,,0.6857,15.0,60.0
2002-08-01,0.6803,0.6803,0.6803,,,0.6803,5.0,75.0
2002-08-02,0.6882,0.6882,0.6882,,,0.6882,0.0,75.0
2002-08-05,0.6847,0.6847,0.6847,,,0.6847,0.0,75.0
2002-08-06,0.6917,0.6917,0.6917,,,0.6917,0.0,75.0
2002-08-07,0.6841,0.6841,0.6841,,,0.6841,0.0,75.0
2002-08-08,0.688,0.688,0.688,,,0.688,0.0,75.0
2002-08-09,0.6862,0.6862,0.6862,,,0.6862,0.0,75.0
2002-08-12,0.7012,0.7012,0.7012,,,0.7012,0.0,75.0
2002-08-13,0.6958,0.6958,0.6958,,,0.6958,25.0,75.0
2002-08-14,0.6966,0.6966,0.6966,,,0.6966,0.0,90.0
2002-08-15,0.715,0.715,0.715,,,0.715,50.0,90.0
2002-08-16,0.7107,0.7107,0.7107,,,0.7107,5.0,120.0
2002-08-19,0.708,0.708,0.708,,,0.708,12.0,120.0
2002-08-20,0.7089,0.7089,0.7089,,,0.7089,0.0,128.0
2002-08-21,0.7098,0.7098,0.7098,,,0.7098,30.0,128.0
2002-08-22,0.7045,0.7045,0.7045,,,0.7045,10.0,153.0
2002-08-23,0.7039,0.7039,0.7039,,,0.7039,0.0,163.0
2002-08-26,0.7098,0.7098,0.7098,,,0.7098,0.0,163.0
2002-08-27,0.7067,0.7067,0.7067,,,0.7067,0.0,163.0
2002-08-28,0.7065,0.7065,0.7065,,,0.7065,0.0,163.0
