Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-01,,,,,0.0,1.9081,0.0,0.0
2016-12-02,,,,,0.021,1.9291,0.0,0.0
2016-12-05,,,,,0.0083,1.9208,0.0,0.0
2016-12-06,,,,,0.0374,1.8834,0.0,0.0
2016-12-07,,,,,0.0212,1.8622,0.0,0.0
2016-12-08,,,,,0.0088,1.8534,0.0,0.0
2016-12-09,,,,,0.0001,1.8535,0.0,0.0
2016-12-12,,,,,0.0117,1.8652,0.0,0.0
2016-12-13,,,,,,1.8652,0.0,0.0
2016-12-14,,,,,0.0233,1.8419,0.0,0.0
2016-12-15,,,,,0.0029,1.8448,0.0,0.0
2016-12-16,,,,,0.0193,1.8641,0.0,0.0
2016-12-19,,,,,0.0003,1.8638,0.0,0.0
2016-12-20,,,,,0.0121,1.8759,0.0,0.0
2016-12-21,,,,,0.0184,1.8575,0.0,0.0
2016-12-22,,,,,0.0026,1.8601,0.0,0.0
2016-12-23,,,,,0.0019,1.862,0.0,0.0
2016-12-27,,,,,0.0174,1.8794,0.0,0.0
2016-12-28,,,,,0.0088,1.8882,0.0,0.0
2016-12-29,,,,,0.0088,1.897,0.0,0.0
2016-12-30,,,,,0.0037,1.9007,0.0,0.0
2017-01-03,,,,,0.0319,1.8688,0.0,0.0
2017-01-04,,,,,0.0289,1.8977,0.0,0.0
2017-01-05,,,,,0.0048,1.9025,0.0,0.0
2017-01-06,,,,,0.0044,1.9069,0.0,0.0
2017-01-09,,,,,0.0444,1.8625,0.0,0.0
2017-01-10,,,,,0.028,1.8345,0.0,0.0
2017-01-11,,,,,0.0244,1.8589,0.0,0.0
2017-01-12,,,,,0.0044,1.8633,0.0,0.0
2017-01-13,,,,,0.0181,1.8452,0.0,0.0
2017-01-17,,,,,0.0033,1.8485,0.0,0.0
2017-01-18,,,,,0.0235,1.825,0.0,0.0
2017-01-19,,,,,0.0057,1.8307,0.0,0.0
2017-01-20,,,,,0.026,1.8567,0.0,0.0
2017-01-23,,,,,0.0116,1.8451,0.0,0.0
2017-01-24,,,,,0.0026,1.8477,0.0,0.0
2017-01-25,,,,,0.0263,1.8214,0.0,0.0
2017-01-26,,,,,0.0117,1.8331,0.0,0.0
2017-01-27,,,,,0.0246,1.8085,0.0,0.0
2017-01-30,,,,,0.0078,1.8007,0.0,0.0
2017-01-31,,,,,0.0042,1.8049,0.0,0.0
2017-02-01,,,,,0.025,1.8299,0.0,0.0
2017-02-02,,,,,0.015,1.8149,0.0,0.0
2017-02-03,,,,,0.0137,1.8286,0.0,0.0
2017-02-06,,,,,0.0207,1.8079,0.0,0.0
2017-02-07,,,,,0.0106,1.7973,0.0,0.0
2017-02-08,,,,,0.0085,1.8058,0.0,0.0
2017-02-09,,,,,0.0085,1.8143,0.0,0.0
2017-02-10,,,,,0.0065,1.8208,0.0,0.0
2017-02-13,,,,,0.0276,1.7932,0.0,0.0
2017-02-14,,,,,0.0056,1.7988,0.0,0.0
2017-02-15,,,,,0.005,1.7938,0.0,0.0
2017-02-16,,,,,0.0037,1.7901,0.0,0.0
2017-02-17,,,,,0.0022,1.7923,0.0,0.0
2017-02-21,,,,,0.0177,1.7746,0.0,0.0
2017-02-22,,,,,0.0149,1.7597,0.0,0.0
2017-02-23,,,,,0.0155,1.7752,0.0,0.0
2017-02-24,,,,,0.0105,1.7647,0.0,0.0
2017-02-27,,,,,0.006,1.7707,0.0,0.0
2017-02-28,,,,,0.0014,1.7721,0.0,0.0
2017-03-01,,,,,0.0087,1.7634,0.0,0.0
2017-03-02,,,,,0.0295,1.7339,0.0,0.0
2017-03-03,,,,,0.0119,1.7458,0.0,0.0
2017-03-06,,,,,0.0049,1.7507,0.0,0.0
2017-03-07,,,,,0.0143,1.765,0.0,0.0
2017-03-08,,,,,0.0448,1.7202,0.0,0.0
2017-03-09,,,,,0.0157,1.7045,0.0,0.0
2017-03-10,,,,,0.0257,1.6788,0.0,0.0
2017-03-13,,,,,0.0007,1.6795,0.0,0.0
2017-03-14,,,,,0.0016,1.6779,0.0,0.0
2017-03-15,,,,,0.0074,1.6853,0.0,0.0
2017-03-16,,,,,0.0067,1.6786,0.0,0.0
2017-03-17,,,,,0.002,1.6806,0.0,0.0
2017-03-20,,,,,0.0069,1.6875,0.0,0.0
2017-03-21,,,,,0.0063,1.6812,0.0,0.0
2017-03-22,,,,,0.0006,1.6806,0.0,0.0
2017-03-23,,,,,0.0073,1.6733,0.0,0.0
2017-03-24,,,,,0.0024,1.6757,0.0,0.0
2017-03-27,,,,,0.007,1.6827,0.0,0.0
2017-03-28,,,,,0.0016,1.6811,0.0,0.0
2017-03-29,,,,,0.0184,1.6995,0.0,0.0
2017-03-30,,,,,0.0127,1.7122,0.0,0.0
2017-03-31,,,,,0.0117,1.7239,0.0,0.0
2017-04-03,,,,,0.0021,1.7218,0.0,0.0
2017-04-04,,,,,0.023,1.7448,0.0,0.0
2017-04-05,,,,,0.0047,1.7495,0.0,0.0
