Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1985-02-20,0.74,0.74,0.74,,,0.74,3.0,3.0
1985-02-21,0.74,0.74,0.74,,,0.74,0.0,3.0
1985-02-22,0.73,0.73,0.73,,,0.73,0.0,3.0
1985-02-25,0.72,0.72,0.72,,,0.72,0.0,3.0
1985-02-26,0.73,0.73,0.73,,,0.73,0.0,3.0
1985-02-27,0.725,0.725,0.725,,,0.725,0.0,3.0
1985-02-28,0.7265,0.7265,0.7265,,,0.7265,0.0,3.0
1985-03-01,0.73,0.73,0.73,,,0.73,0.0,3.0
1985-03-04,0.735,0.735,0.735,,,0.735,0.0,3.0
1985-03-05,0.735,0.735,0.735,,,0.735,0.0,3.0
1985-03-06,0.745,0.745,0.745,,,0.745,0.0,3.0
1985-03-07,0.76,0.76,0.76,,,0.76,0.0,3.0
1985-03-08,0.748,0.748,0.748,,,0.748,0.0,3.0
1985-03-11,0.743,0.743,0.743,,,0.743,0.0,3.0
1985-03-12,0.753,0.753,0.753,,,0.753,0.0,3.0
1985-03-13,0.753,0.753,0.753,,,0.753,0.0,3.0
1985-03-14,0.753,0.753,0.753,,,0.753,0.0,3.0
1985-03-15,0.756,0.756,0.756,,,0.756,0.0,3.0
1985-03-18,0.7605,0.7605,0.7605,,,0.7605,0.0,3.0
1985-03-19,0.7605,0.7605,0.7605,,,0.7605,0.0,3.0
1985-03-20,0.7525,0.7525,0.7525,,,0.7525,0.0,3.0
1985-03-21,0.7695,0.7695,0.7695,,,0.7695,0.0,3.0
1985-03-22,0.7655,0.7655,0.7655,,,0.7655,0.0,3.0
1985-03-25,0.7725,0.7725,0.7725,,,0.7725,0.0,3.0
1985-03-26,0.7755,0.7755,0.7755,,,0.7755,0.0,3.0
1985-03-27,0.7755,0.7755,0.7755,,,0.7755,0.0,3.0
1985-03-28,0.7755,0.7755,0.7755,,,0.7755,0.0,3.0
1985-03-29,0.7675,0.7675,0.7675,,,0.7675,0.0,3.0
1985-04-01,0.7775,0.7775,0.7775,,,0.7775,0.0,3.0
1985-04-02,0.7775,0.7775,0.7775,,,0.7775,0.0,3.0
1985-04-03,0.78,0.78,0.78,,,0.78,0.0,3.0
1985-04-04,0.782,0.782,0.782,,,0.782,0.0,3.0
1985-04-08,0.7975,0.7975,0.7975,,,0.7975,0.0,3.0
1985-04-09,0.7975,0.7975,0.7975,,,0.7975,0.0,3.0
1985-04-10,0.7975,0.7975,0.7975,,,0.7975,0.0,3.0
1985-04-11,0.78,0.78,0.78,,,0.78,0.0,3.0
1985-04-12,0.7675,0.7675,0.7675,,,0.7675,0.0,3.0
1985-04-15,0.78,0.78,0.78,,,0.78,0.0,3.0
1985-04-16,0.7725,0.7725,0.7725,,,0.7725,0.0,3.0
1985-04-17,0.765,0.765,0.765,,,0.765,0.0,3.0
1985-04-18,0.761,0.761,0.761,,,0.761,0.0,3.0
1985-04-19,0.766,0.766,0.766,,,0.766,0.0,3.0
1985-04-22,0.775,0.775,0.775,,,0.775,0.0,3.0
1985-04-23,0.77,0.77,0.77,,,0.77,0.0,3.0
1985-04-24,0.766,0.766,0.766,,,0.766,0.0,3.0
1985-04-25,0.766,0.766,0.766,,,0.766,0.0,3.0
1985-04-26,0.768,0.768,0.768,,,0.768,0.0,3.0
1985-04-29,0.765,0.765,0.765,,,0.765,0.0,3.0
1985-04-30,0.765,0.765,0.765,,,0.765,0.0,3.0
1985-05-01,0.764,0.764,0.764,,,0.764,0.0,3.0
1985-05-02,0.76,0.76,0.76,,,0.76,0.0,3.0
1985-05-03,0.755,0.755,0.755,,,0.755,0.0,3.0
1985-05-06,0.75,0.75,0.75,,,0.75,0.0,3.0
1985-05-07,0.75,0.75,0.75,,,0.75,0.0,3.0
1985-05-08,0.746,0.746,0.746,,,0.746,0.0,3.0
1985-05-09,0.75,0.75,0.75,,,0.75,0.0,3.0
1985-05-10,0.747,0.747,0.747,,,0.747,0.0,3.0
1985-05-13,0.749,0.749,0.749,,,0.749,0.0,3.0
1985-05-14,0.747,0.747,0.747,,,0.747,0.0,3.0
1985-05-15,0.749,0.749,0.749,,,0.749,0.0,3.0
1985-05-16,0.749,0.749,0.749,,,0.749,0.0,3.0
1985-05-17,0.745,0.745,0.745,,,0.745,0.0,3.0
1985-05-20,0.7485,0.7485,0.7485,,,0.7485,0.0,3.0
1985-05-21,0.751,0.751,0.751,,,0.751,0.0,3.0
1985-05-22,0.746,0.746,0.746,,,0.746,0.0,3.0
1985-05-23,0.755,0.755,0.755,,,0.755,0.0,3.0
1985-05-24,0.768,0.768,0.768,,,0.768,0.0,3.0
1985-05-28,0.7595,0.7595,0.7595,,,0.7595,0.0,3.0
1985-05-29,0.763,0.763,0.763,,,0.763,0.0,3.0
1985-05-30,0.7655,0.7655,0.7655,,,0.7655,0.0,3.0
1985-05-31,0.7655,0.7655,0.7655,,,0.7655,0.0,3.0
1985-06-03,0.758,0.758,0.758,,,0.758,0.0,3.0
1985-06-04,0.744,0.744,0.744,,,0.744,0.0,3.0
1985-06-05,0.739,0.739,0.725,,,0.725,1.0,4.0
1985-06-06,0.7275,0.7275,0.7275,,,0.7275,1.0,5.0
1985-06-07,0.7205,0.7205,0.7205,,,0.7205,0.0,5.0
1985-06-10,0.7065,0.7065,0.7065,,,0.7065,0.0,5.0
1985-06-11,0.709,0.709,0.709,,,0.709,0.0,5.0
1985-06-12,0.715,0.715,0.715,,,0.715,0.0,5.0
1985-06-13,0.7205,0.7205,0.7205,,,0.7205,0.0,5.0
1985-06-14,0.7135,0.7135,0.7135,,,0.7135,0.0,5.0
1985-06-17,0.706,0.706,0.706,,,0.706,0.0,5.0
1985-06-18,0.7035,0.7035,0.7035,,,0.7035,0.0,5.0
1985-06-19,0.7075,0.7075,0.7075,,,0.7075,0.0,5.0
1985-06-20,0.7175,0.7175,0.7175,,,0.7175,0.0,5.0
1985-06-21,0.7195,0.7195,0.7195,,,0.7195,0.0,5.0
1985-06-24,0.716,0.7185,0.716,,,0.7185,1.0,6.0
1985-06-25,0.7085,0.7085,0.7085,,,0.7085,0.0,5.0
1985-06-26,0.71,0.7165,0.71,,,0.7165,28.0,30.0
1985-06-27,0.7195,0.7195,0.7195,,,0.7195,0.0,30.0
1985-06-28,0.7155,0.7155,0.7155,,,0.7155,0.0,30.0
1985-07-01,0.71,0.71,0.705,,,0.705,26.0,56.0
1985-07-02,0.7025,0.7035,0.7,,,0.7035,17.0,58.0
1985-07-03,0.7065,0.7065,0.7065,,,0.7065,0.0,58.0
1985-07-08,0.7015,0.705,0.7015,,,0.705,2.0,59.0
1985-07-09,0.712,0.722,0.712,,,0.722,4.0,59.0
1985-07-10,0.7175,0.727,0.7175,,,0.727,20.0,79.0
1985-07-11,0.72,0.7235,0.719,,,0.7235,32.0,87.0
1985-07-12,0.7136,0.7165,0.7136,,,0.7165,32.0,104.0
1985-07-15,0.7165,0.7165,0.7165,,,0.7165,0.0,88.0
1985-07-16,0.7175,0.7175,0.7175,,,0.7175,0.0,88.0
1985-07-17,0.72,0.72,0.7125,,,0.7125,94.0,137.0
1985-07-18,0.718,0.718,0.71,,,0.7115,247.0,272.0
1985-07-19,0.711,0.711,0.706,,,0.7073,126.0,297.0
1985-07-22,0.7035,0.7113,0.7035,,,0.7113,25.0,269.0
1985-07-23,0.7175,0.7178,0.7175,,,0.7178,5.0,266.0
1985-07-24,0.725,0.7268,0.725,,,0.7268,6.0,271.0
1985-07-25,0.729,0.7335,0.728,,,0.733,50.0,319.0
1985-07-26,0.735,0.738,0.735,,,0.738,1.0,319.0
1985-07-29,0.74,0.741,0.736,,,0.736,22.0,329.0
1985-07-30,0.73,0.7335,0.73,,,0.733,58.0,375.0
1985-07-31,0.7275,0.7285,0.726,,,0.726,27.0,375.0
1985-08-01,0.7245,0.727,0.723,,,0.725,54.0,391.0
1985-08-02,0.7275,0.7325,0.7275,,,0.731,48.0,411.0
1985-08-05,0.734,0.734,0.7325,,,0.7325,2.0,409.0
1985-08-06,0.731,0.731,0.731,,,0.731,0.0,406.0
1985-08-07,0.738,0.74,0.7375,,,0.739,138.0,466.0
1985-08-08,0.7425,0.7445,0.7425,,,0.7445,232.0,645.0
1985-08-09,0.7445,0.7465,0.7445,,,0.7465,303.0,896.0
1985-08-12,0.748,0.755,0.747,,,0.755,118.0,925.0
1985-08-13,0.75,0.7525,0.75,,,0.7525,3.0,927.0
1985-08-14,0.75,0.755,0.75,,,0.755,203.0,1039.0
1985-08-15,0.755,0.7595,0.7545,,,0.759,106.0,1021.0
1985-08-16,0.7571,0.758,0.7571,,,0.7575,105.0,1078.0
1985-08-19,0.7515,0.754,0.75,,,0.7517,48.0,1103.0
1985-08-20,0.746,0.761,0.746,,,0.7607,167.0,1095.0
1985-08-21,0.76,0.7665,0.76,,,0.7665,113.0,1129.0
1985-08-22,0.77,0.771,0.765,,,0.7665,220.0,1212.0
1985-08-23,0.7655,0.7685,0.765,,,0.7685,31.0,1125.0
1985-08-26,0.7685,0.7745,0.7685,,,0.7745,120.0,1130.0
1985-08-27,0.78,0.7815,0.775,,,0.777,93.0,1158.0
1985-08-28,0.777,0.781,0.774,,,0.779,192.0,1258.0
1985-08-29,0.774,0.7755,0.7735,,,0.7755,91.0,1279.0
1985-08-30,0.7775,0.7845,0.7775,,,0.7845,44.0,1297.0
1985-09-03,0.79,0.7925,0.787,,,0.791,488.0,1441.0
1985-09-04,0.785,0.7865,0.7825,,,0.784,142.0,1509.0
1985-09-05,0.7815,0.7815,0.774,,,0.775,170.0,1581.0
1985-09-06,0.7755,0.777,0.77,,,0.7734,456.0,1753.0
1985-09-09,0.763,0.763,0.7555,,,0.763,100.0,1709.0
1985-09-10,0.765,0.772,0.765,,,0.77,759.0,2204.0
1985-09-11,0.769,0.769,0.7555,,,0.7608,430.0,2320.0
1985-09-12,0.7625,0.765,0.756,,,0.764,204.0,2268.0
1985-09-13,0.769,0.769,0.758,,,0.7584,151.0,2243.0
1985-09-16,0.7565,0.757,0.754,,,0.757,88.0,2303.0
1985-09-17,0.755,0.766,0.755,,,0.766,181.0,2347.0
1985-09-18,0.769,0.77,0.765,,,0.7665,286.0,2429.0
1985-09-19,0.7635,0.7715,0.7635,,,0.7705,255.0,2492.0
1985-09-20,0.775,0.7835,0.7745,,,0.7825,258.0,2445.0
1985-09-23,0.791,0.792,0.7835,,,0.7865,522.0,2648.0
1985-09-24,0.786,0.792,0.786,,,0.792,178.0,2622.0
1985-09-25,0.7995,0.8035,0.798,,,0.8025,636.0,2787.0
1985-09-26,0.8085,0.8175,0.8052,,,0.8152,1224.0,2881.0
1985-09-27,0.82,0.8235,0.8175,,,0.8185,244.0,3030.0
1985-09-30,0.812,0.8155,0.809,,,0.815,673.0,2962.0
1985-10-01,0.814,0.816,0.807,,,0.8126,106.0,3060.0
1985-10-02,0.8175,0.82,0.816,,,0.8187,522.0,3155.0
1985-10-03,0.8255,0.8255,0.8165,,,0.8189,754.0,3190.0
1985-10-04,0.8075,0.8165,0.806,,,0.8155,644.0,3343.0
1985-10-07,0.8105,0.812,0.8045,,,0.8118,441.0,3498.0
1985-10-08,0.8125,0.816,0.812,,,0.8125,321.0,3580.0
1985-10-09,0.813,0.816,0.804,,,0.8045,643.0,3799.0
1985-10-10,0.794,0.8,0.7915,,,0.792,860.0,3902.0
1985-10-11,0.792,0.798,0.792,,,0.7965,402.0,4037.0
1985-10-14,0.799,0.807,0.7965,,,0.8065,222.0,4064.0
1985-10-15,0.81,0.814,0.8091,,,0.8137,741.0,4097.0
1985-10-16,0.816,0.816,0.811,,,0.8123,485.0,4091.0
1985-10-17,0.814,0.8205,0.81,,,0.8185,1017.0,4125.0
1985-10-18,0.813,0.8205,0.8125,,,0.8186,502.0,4218.0
1985-10-21,0.8175,0.832,0.8165,,,0.829,1298.0,4456.0
1985-10-22,0.832,0.833,0.8215,,,0.8219,961.0,4646.0
1985-10-23,0.824,0.837,0.824,,,0.835,1622.0,4895.0
1985-10-24,0.8425,0.846,0.835,,,0.8386,1553.0,5034.0
1985-10-25,0.841,0.8465,0.841,,,0.8465,723.0,5040.0
1985-10-28,0.852,0.86,0.852,,,0.8595,1846.0,5320.0
