Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2006-08-01,2.3402,2.3402,2.3402,,,2.3402,0.0,0.0
2006-08-02,2.3498,2.3498,2.3498,,,2.3498,0.0,0.0
2006-08-03,2.341,2.341,2.341,,,2.341,0.0,0.0
2006-08-04,2.3238,2.3238,2.3238,,,2.3238,0.0,0.0
2006-08-07,2.3548,2.3548,2.3548,,,2.3548,0.0,0.0
2006-08-08,2.344,2.344,2.344,,,2.344,0.0,0.0
2006-08-09,2.359,2.359,2.3342,,,2.3342,4.0,3.0
2006-08-10,2.2982,2.2982,2.2982,,,2.2982,0.0,3.0
2006-08-11,2.3127,2.3127,2.3127,,,2.3127,0.0,3.0
2006-08-14,2.2992,2.2992,2.2992,,,2.2992,101.0,103.0
2006-08-15,2.2857,2.2857,2.2857,,,2.2857,1.0,104.0
2006-08-16,2.2667,2.2667,2.2667,,,2.2667,1.0,104.0
2006-08-17,2.2259,2.2259,2.2259,,,2.2259,50.0,153.0
2006-08-18,2.245,2.245,2.2289,,,2.2289,103.0,256.0
2006-08-21,2.2631,2.2631,2.2631,,,2.2631,50.0,256.0
2006-08-22,2.2528,2.2528,2.2528,,,2.2528,103.0,256.0
2006-08-23,2.243,2.243,2.243,,,2.243,50.0,256.0
2006-08-24,2.2545,2.2545,2.2545,,,2.2545,491.0,610.0
2006-08-25,2.2468,2.2468,2.2468,,,2.2468,491.0,610.0
2006-08-28,2.2097,2.2097,2.2097,,,2.2097,491.0,610.0
2006-08-29,2.205,2.205,2.205,,,2.205,1.0,611.0
2006-08-30,2.2285,2.2285,2.2285,,,2.2285,26.0,611.0
2006-08-31,2.2506,2.2506,2.2506,,,2.2506,1.0,611.0
2006-09-01,2.2104,2.2104,2.2104,,,2.2104,1.0,611.0
2006-09-05,2.1927,2.1927,2.1927,,,2.1927,1.0,611.0
2006-09-06,2.1814,2.1814,2.1814,,,2.1814,1.0,611.0
2006-09-07,2.1735,2.1735,2.1704,,,2.1704,8.0,614.0
2006-09-08,2.1483,2.1483,2.1483,,,2.1483,8.0,614.0
2006-09-11,2.1139,2.1139,2.1139,,,2.1139,50.0,588.0
2006-09-12,2.0648,2.0648,2.0648,,,2.0648,8.0,588.0
2006-09-13,2.08,2.08,2.0775,,,2.0781,132.0,656.0
2006-09-14,2.07,2.08,2.07,,,2.0751,128.0,685.0
2006-09-15,2.058,2.058,2.0477,,,2.0477,26.0,709.0
2006-09-18,2.0475,2.0475,2.0457,,,2.0457,25.0,734.0
