Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-28,,,,,0.0,2.3114,0.0,0.0
2014-12-01,,,,,0.059,2.3704,0.0,0.0
2014-12-02,,,,,0.0305,2.3399,0.0,0.0
2014-12-03,,,,,0.0075,2.3474,0.0,0.0
2014-12-04,,,,,0.0227,2.3247,0.0,0.0
2014-12-05,,,,,0.0189,2.3058,0.0,0.0
2014-12-08,,,,,0.0547,2.2511,0.0,0.0
2014-12-09,,,,,0.006,2.2571,0.0,0.0
2014-12-10,,,,,0.0651,2.192,0.0,0.0
2014-12-11,,,,,0.0152,2.1768,0.0,0.0
2014-12-12,,,,,0.0409,2.1359,0.0,0.0
2014-12-15,,,,,0.021,2.1149,0.0,0.0
2014-12-16,,,,,0.0301,2.0848,0.0,0.0
2014-12-17,,,,,0.0186,2.1034,0.0,0.0
2014-12-18,,,,,0.0418,2.0616,0.0,0.0
2014-12-19,,,,,0.0495,2.1111,0.0,0.0
2014-12-22,,,,,0.0084,2.1195,0.0,0.0
2014-12-23,,,,,0.0434,2.1629,0.0,0.0
2014-12-24,,,,,0.0415,2.1214,0.0,0.0
2014-12-26,,,,,0.0021,2.1193,0.0,0.0
2014-12-29,,,,,0.0291,2.0902,0.0,0.0
2014-12-30,,,,,0.0112,2.1014,0.0,0.0
2014-12-31,,,,,0.0071,2.0943,0.0,0.0
2015-01-02,,,,,0.0174,2.0769,0.0,0.0
2015-01-05,,,,,0.0378,2.0391,0.0,0.0
2015-01-06,,,,,0.0453,1.9938,0.0,0.0
2015-01-07,,,,,0.0107,1.9831,0.0,0.0
2015-01-08,,,,,0.0001,1.983,0.0,0.0
2015-01-09,,,,,0.0065,1.9895,0.0,0.0
2015-01-12,,,,,0.0399,1.9496,0.0,0.0
2015-01-13,,,,,0.006,1.9556,0.0,0.0
2015-01-14,,,,,0.0344,1.99,0.0,0.0
2015-01-15,,,,,0.0573,1.9327,0.0,0.0
2015-01-16,,,,,0.0275,1.9602,0.0,0.0
2015-01-20,,,,,0.0527,1.9075,0.0,0.0
2015-01-21,,,,,0.0365,1.944,0.0,0.0
2015-01-22,,,,,0.0103,1.9337,0.0,0.0
2015-01-23,,,,,0.0136,1.9473,0.0,0.0
2015-01-26,,,,,0.0086,1.9387,0.0,0.0
2015-01-27,,,,,0.0303,1.969,0.0,0.0
2015-01-28,,,,,0.0189,1.9501,0.0,0.0
2015-01-29,,,,,0.0103,1.9604,0.0,0.0
2015-01-30,,,,,0.0728,2.0332,0.0,0.0
2015-02-02,,,,,0.0379,2.0711,0.0,0.0
2015-02-03,,,,,0.0441,2.1152,0.0,0.0
2015-02-04,,,,,0.0597,2.0555,0.0,0.0
2015-02-05,,,,,0.0341,2.0896,0.0,0.0
2015-02-06,,,,,0.0158,2.1054,0.0,0.0
2015-02-09,,,,,0.0254,2.1308,0.0,0.0
2015-02-10,,,,,0.0162,2.1146,0.0,0.0
2015-02-11,,,,,0.0212,2.0934,0.0,0.0
2015-02-12,,,,,0.0546,2.148,0.0,0.0
2015-02-13,,,,,0.0046,2.1526,0.0,0.0
2015-02-17,,,,,0.0018,2.1544,0.0,0.0
2015-02-18,,,,,0.0383,2.1161,0.0,0.0
2015-02-19,,,,,0.0112,2.1049,0.0,0.0
2015-02-20,,,,,0.0029,2.1078,0.0,0.0
2015-02-23,,,,,0.0067,2.1011,0.0,0.0
2015-02-24,,,,,0.0112,2.1123,0.0,0.0
2015-02-25,,,,,0.0482,2.1605,0.0,0.0
2015-02-26,,,,,0.0256,2.1349,0.0,0.0
2015-02-27,,,,,0.0424,2.1773,0.0,0.0
2015-03-02,,,,,0.0472,2.1301,0.0,0.0
2015-03-03,,,,,0.032,2.1621,0.0,0.0
2015-03-04,,,,,0.0246,2.1375,0.0,0.0
2015-03-05,,,,,0.0211,2.1164,0.0,0.0
2015-03-06,,,,,0.0129,2.1035,0.0,0.0
2015-03-09,,,,,0.0203,2.0832,0.0,0.0
2015-03-10,,,,,0.0268,2.0564,0.0,0.0
2015-03-11,,,,,0.0131,2.0695,0.0,0.0
2015-03-12,,,,,0.0149,2.0546,0.0,0.0
2015-03-13,,,,,0.0512,2.0034,0.0,0.0
2015-03-16,,,,,0.002,2.0014,0.0,0.0
2015-03-17,,,,,0.0059,1.9955,0.0,0.0
2015-03-18,,,,,0.0519,2.0474,0.0,0.0
2015-03-19,,,,,0.0367,2.0107,0.0,0.0
2015-03-20,,,,,0.0137,2.0244,0.0,0.0
2015-03-23,,,,,0.0131,2.0375,0.0,0.0
2015-03-24,,,,,0.0173,2.0202,0.0,0.0
2015-03-25,,,,,0.0079,2.0281,0.0,0.0
2015-03-26,,,,,0.0297,2.0578,0.0,0.0
2015-03-27,,,,,0.0479,2.0099,0.0,0.0
2015-03-30,2.0375,2.0375,2.0375,,0.0206,2.0305,4.0,0.0
2015-03-31,,,,,0.0089,2.0216,0.0,2.0
2015-04-01,,,,,0.0315,2.0531,0.0,2.0
2015-04-02,,,,,0.0449,2.0082,0.0,2.0
