Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-12-02,2.6701,2.6701,2.6701,,,2.6701,0.0,0.0
2013-12-03,2.6853,2.6853,2.6853,,,2.6853,0.0,0.0
2013-12-04,2.6868,2.6868,2.6868,,,2.6868,0.0,0.0
2013-12-05,2.6825,2.6825,2.6825,,,2.6825,0.0,0.0
2013-12-06,2.688,2.688,2.688,,,2.688,0.0,0.0
2013-12-09,2.6652,2.6652,2.6652,,,2.6652,0.0,0.0
2013-12-10,2.6733,2.6733,2.6733,,,2.6733,0.0,0.0
2013-12-11,2.6988,2.6988,2.6988,,,2.6988,0.0,0.0
2013-12-12,2.6682,2.6682,2.6682,,,2.6682,0.0,0.0
2013-12-13,2.6622,2.6622,2.6622,,,2.6622,0.0,0.0
2013-12-16,2.6664,2.6664,2.6664,,,2.6664,0.0,0.0
2013-12-17,2.6474,2.6474,2.6474,,,2.6474,0.0,0.0
2013-12-18,2.6712,2.6712,2.6712,,,2.6712,0.0,0.0
2013-12-19,2.6636,2.6636,2.6636,,,2.6636,0.0,0.0
2013-12-20,2.6793,2.6793,2.6793,,,2.6793,0.0,0.0
2013-12-23,2.6796,2.6796,2.6796,,,2.6796,0.0,0.0
2013-12-24,2.6938,2.6938,2.6938,,,2.6938,0.0,0.0
2013-12-26,2.6952,2.6952,2.6952,,,2.6952,0.0,0.0
2013-12-27,2.6943,2.6943,2.6943,,,2.6943,0.0,0.0
2013-12-30,2.6571,2.6571,2.6571,,,2.6571,0.0,0.0
2013-12-31,2.6489,2.6489,2.6489,,,2.6489,0.0,0.0
2014-01-02,2.6019,2.6019,2.6019,,,2.6019,0.0,0.0
2014-01-03,2.5851,2.5851,2.5851,,,2.5851,0.0,0.0
2014-01-06,2.6047,2.6047,2.6047,,,2.6047,0.0,0.0
2014-01-07,2.599,2.599,2.599,,,2.599,0.0,0.0
2014-01-08,2.5964,2.5964,2.5964,,,2.5964,0.0,0.0
2014-01-09,2.5907,2.5907,2.5907,,,2.5907,0.0,0.0
2014-01-10,2.6039,2.6039,2.6039,,,2.6039,0.0,0.0
2014-01-13,2.5868,2.5868,2.5868,,,2.5868,0.0,0.0
2014-01-14,2.5958,2.5958,2.5958,,,2.5958,0.0,0.0
2014-01-15,2.6143,2.6143,2.6143,,,2.6143,0.0,0.0
2014-01-16,2.5958,2.5958,2.5958,,,2.5958,0.0,0.0
2014-01-17,2.6035,2.6035,2.6035,,,2.6035,0.0,0.0
2014-01-21,2.6081,2.6081,2.6081,,,2.6081,0.0,0.0
2014-01-22,2.6326,2.6326,2.6326,,,2.6326,0.0,0.0
2014-01-23,2.6181,2.6181,2.6181,,,2.6181,0.0,0.0
2014-01-24,2.6209,2.6209,2.6209,,,2.6209,0.0,0.0
2014-01-27,2.6092,2.6092,2.6092,,,2.6092,0.0,0.0
2014-01-28,2.6264,2.6264,2.6264,,,2.6264,0.0,0.0
2014-01-29,2.6277,2.6277,2.6277,,,2.6277,0.0,0.0
2014-01-30,2.6267,2.6267,2.6267,,,2.6267,0.0,0.0
2014-01-31,2.5991,2.5991,2.5991,,,2.5991,0.0,0.0
2014-02-03,2.6063,2.6063,2.6063,,,2.6063,0.0,0.0
2014-02-04,2.597,2.597,2.597,,,2.597,0.0,0.0
2014-02-05,2.6209,2.6209,2.6209,,,2.6209,0.0,0.0
2014-02-06,2.6301,2.6301,2.6301,,,2.6301,0.0,0.0
2014-02-07,2.6593,2.6593,2.6593,,,2.6593,0.0,0.0
2014-02-10,2.6436,2.6436,2.6436,,,2.6436,0.0,0.0
2014-02-11,2.6538,2.6538,2.6538,,,2.6538,0.0,0.0
2014-02-12,2.654,2.654,2.654,,,2.654,0.0,0.0
2014-02-13,2.6531,2.6531,2.6531,,,2.6531,0.0,0.0
2014-02-14,0.0,0.0,0.0,,,2.6665,0.0,0.0
2014-02-18,0.0,0.0,0.0,,0.0088,2.6753,0.0,0.0
2014-02-19,,,,,0.0177,2.6576,0.0,0.0
2014-02-20,,,,,0.0033,2.6609,0.0,0.0
