Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2005-10-03,1.9628,1.9628,1.9628,,,1.9628,0.0,0.0
2005-10-04,1.949,1.949,1.949,,,1.949,0.0,0.0
2005-10-05,1.931,1.931,1.931,,,1.931,0.0,0.0
2005-10-06,1.889,1.889,1.889,,,1.889,0.0,0.0
2005-10-07,1.888,1.9092,1.888,,,1.9092,2.0,2.0
2005-10-10,1.9215,1.9215,1.9215,,,1.9215,0.0,2.0
2005-10-11,1.92,1.92,1.92,,,1.92,3.0,2.0
2005-10-12,1.9248,1.9248,1.9248,,,1.9248,3.0,2.0
2005-10-13,1.9103,1.9103,1.9103,,,1.9103,3.0,2.0
2005-10-14,1.8785,1.8785,1.8785,,,1.8785,2.0,3.0
2005-10-17,1.8835,1.8835,1.8835,,,1.8835,2.0,3.0
2005-10-18,1.8355,1.8355,1.8355,,,1.8355,2.0,3.0
2005-10-19,1.812,1.812,1.812,,,1.812,2.0,3.0
2005-10-20,1.782,1.782,1.782,,,1.782,2.0,3.0
2005-10-21,1.8003,1.8003,1.8003,,,1.8003,2.0,3.0
2005-10-24,1.769,1.769,1.769,,,1.769,2.0,3.0
2005-10-25,1.839,1.839,1.839,,,1.839,2.0,3.0
2005-10-26,1.796,1.796,1.796,,,1.796,2.0,3.0
2005-10-27,1.7968,1.7968,1.7968,,,1.7968,2.0,3.0
2005-10-28,1.807,1.807,1.807,,,1.807,2.0,3.0
2005-10-31,1.7695,1.7695,1.7695,,,1.7695,2.0,3.0
2005-11-01,1.771,1.771,1.771,,,1.771,2.0,3.0
2005-11-02,1.7655,1.7655,1.7655,,,1.7655,2.0,3.0
2005-11-03,1.8155,1.8155,1.8155,,,1.8155,2.0,3.0
2005-11-04,1.7885,1.7885,1.7885,,,1.7885,2.0,3.0
2005-11-07,1.785,1.785,1.785,,,1.785,2.0,3.0
2005-11-08,1.789,1.789,1.789,,,1.789,165.0,100.0
2005-11-09,1.805,1.805,1.7848,,,1.7848,3.0,103.0
2005-11-10,1.7515,1.7515,1.7515,,,1.7515,3.0,103.0
2005-11-11,1.7465,1.7465,1.7465,,,1.7465,3.0,103.0
2005-11-14,1.7568,1.7568,1.7568,,,1.7568,3.0,103.0
2005-11-15,1.734,1.734,1.726,,,1.726,1.0,104.0
2005-11-16,1.75,1.75,1.75,,,1.75,1.0,104.0
2005-11-17,1.7275,1.7275,1.7275,,,1.7275,1.0,105.0
