Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2012-12-03,0.0,0.0,0.0,,,2.8441,0.0,0.0
2012-12-04,0.0,0.0,0.0,,,2.8147,0.0,0.0
2012-12-05,0.0,0.0,0.0,,,2.7949,0.0,0.0
2012-12-06,0.0,0.0,0.0,,,2.7618,0.0,0.0
2012-12-07,0.0,0.0,0.0,,,2.7537,0.0,0.0
2012-12-10,0.0,0.0,0.0,,,2.7446,0.0,0.0
2012-12-11,0.0,0.0,0.0,,,2.7537,0.0,0.0
2012-12-12,0.0,0.0,0.0,,,2.7706,0.0,0.0
2012-12-13,0.0,0.0,0.0,,,2.7101,0.0,0.0
2012-12-14,0.0,0.0,0.0,,,2.7378,0.0,0.0
2012-12-17,0.0,0.0,0.0,,,2.7184,0.0,0.0
2012-12-18,0.0,0.0,0.0,,,2.7415,0.0,0.0
2012-12-19,0.0,0.0,0.0,,,2.7728,0.0,0.0
2012-12-20,0.0,0.0,0.0,,,2.7708,0.0,0.0
2012-12-21,0.0,0.0,0.0,,,2.7498,0.0,0.0
2012-12-24,0.0,0.0,0.0,,,2.7319,0.0,0.0
2012-12-26,0.0,0.0,0.0,,,2.7777,0.0,0.0
2012-12-27,0.0,0.0,0.0,,,2.7834,0.0,0.0
2012-12-28,0.0,0.0,0.0,,,2.7671,0.0,0.0
2012-12-31,0.0,0.0,0.0,,,2.7427,0.0,0.0
2013-01-02,0.0,0.0,0.0,,,2.7588,0.0,0.0
2013-01-03,0.0,0.0,0.0,,,2.7444,0.0,0.0
2013-01-04,0.0,0.0,0.0,,,2.7277,0.0,0.0
2013-01-07,0.0,0.0,0.0,,,2.7356,0.0,0.0
2013-01-08,0.0,0.0,0.0,,,2.7602,0.0,0.0
2013-01-09,0.0,0.0,0.0,,,2.7641,0.0,0.0
2013-01-10,0.0,0.0,0.0,,,2.7669,0.0,0.0
2013-01-11,0.0,0.0,0.0,,,2.7429,0.0,0.0
2013-01-14,0.0,0.0,0.0,,,2.7663,0.0,0.0
2013-01-15,0.0,0.0,0.0,,,2.7262,0.0,0.0
2013-01-16,0.0,0.0,0.0,,,2.7283,0.0,0.0
2013-01-17,0.0,0.0,0.0,,,2.7445,0.0,0.0
2013-01-18,0.0,0.0,0.0,,,2.7574,0.0,0.0
2013-01-22,0.0,0.0,0.0,,,2.7613,0.0,0.0
2013-01-23,0.0,0.0,0.0,,,2.7601,0.0,0.0
2013-01-24,0.0,0.0,0.0,,,2.7719,0.0,0.0
2013-01-25,0.0,0.0,0.0,,,2.7574,0.0,0.0
2013-01-28,0.0,0.0,0.0,,,2.7669,0.0,0.0
2013-01-29,0.0,0.0,0.0,,,2.7838,0.0,0.0
2013-01-30,0.0,0.0,0.0,,,2.7917,0.0,0.0
2013-01-31,0.0,0.0,0.0,,,2.8039,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,2.8176,0.0,0.0
2013-02-04,0.0,0.0,0.0,,,2.7916,0.0,0.0
2013-02-05,0.0,0.0,0.0,,,2.7993,0.0,0.0
2013-02-06,0.0,0.0,0.0,,,2.8163,0.0,0.0
2013-02-07,0.0,0.0,0.0,,,2.8225,0.0,0.0
2013-02-08,0.0,0.0,0.0,,,2.8448,0.0,0.0
2013-02-11,0.0,0.0,0.0,,,2.8438,0.0,0.0
2013-02-12,0.0,0.0,0.0,,,2.8563,0.0,0.0
2013-02-13,0.0,0.0,0.0,,,2.8505,0.0,0.0
2013-02-14,0.0,0.0,0.0,,,2.8533,0.0,0.0
2013-02-15,0.0,0.0,0.0,,,2.8537,0.0,0.0
2013-02-19,0.0,0.0,0.0,,,2.8524,0.0,0.0
2013-02-20,0.0,0.0,0.0,,,2.8243,0.0,0.0
2013-02-21,0.0,0.0,0.0,,,2.782,0.0,0.0
2013-02-22,0.0,0.0,0.0,,,2.7899,0.0,0.0
2013-02-25,0.0,0.0,0.0,,,2.7953,0.0,0.0
2013-02-26,0.0,0.0,0.0,,,2.7603,0.0,0.0
2013-02-27,0.0,0.0,0.0,,,2.7317,0.0,0.0
2013-02-28,0.0,0.0,0.0,,,2.7137,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,2.7053,0.0,0.0
2013-03-04,0.0,0.0,0.0,,,2.7101,0.0,0.0
2013-03-05,0.0,0.0,0.0,,,2.7362,0.0,0.0
2013-03-06,0.0,0.0,0.0,,,2.732,0.0,0.0
2013-03-07,0.0,0.0,0.0,,,2.7463,0.0,0.0
2013-03-08,0.0,0.0,0.0,,,2.749,0.0,0.0
2013-03-11,0.0,0.0,0.0,,,2.7478,0.0,0.0
2013-03-12,0.0,0.0,0.0,,,2.7372,0.0,0.0
2013-03-13,0.0,0.0,0.0,,,2.7278,0.0,0.0
2013-03-14,0.0,0.0,0.0,,,2.7427,0.0,0.0
2013-03-15,0.0,0.0,0.0,,,2.7562,0.0,0.0
2013-03-18,0.0,0.0,0.0,,,2.7588,0.0,0.0
2013-03-19,0.0,0.0,0.0,,,2.7194,0.0,0.0
2013-03-20,0.0,0.0,0.0,,,2.7497,0.0,0.0
2013-03-21,0.0,0.0,0.0,,,2.727,0.0,0.0
2013-03-22,0.0,0.0,0.0,,,2.7288,0.0,0.0
2013-03-25,0.0,0.0,0.0,,,2.7474,0.0,0.0
2013-03-26,0.0,0.0,0.0,,,2.7705,0.0,0.0
2013-03-27,0.0,0.0,0.0,,,2.7853,0.0,0.0
2013-03-28,0.0,0.0,0.0,,,2.7882,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,2.8036,0.0,0.0
2013-04-02,0.0,0.0,0.0,,,2.8068,0.0,0.0
2013-04-03,0.0,0.0,0.0,,,2.7468,0.0,0.0
2013-04-04,0.0,0.0,0.0,,,2.7418,0.0,0.0
2013-04-05,0.0,0.0,0.0,,,2.7165,0.0,0.0
2013-04-08,0.0,0.0,0.0,,,2.7421,0.0,0.0
2013-04-09,0.0,0.0,0.0,,,2.7534,0.0,0.0
2013-04-10,0.0,0.0,0.0,,,2.7506,0.0,0.0
2013-04-11,0.0,0.0,0.0,,,2.7323,0.0,0.0
2013-04-12,0.0,0.0,0.0,,,2.7107,0.0,0.0
2013-04-15,0.0,0.0,0.0,,,2.6848,0.0,0.0
2013-04-16,0.0,0.0,0.0,,,2.7016,0.0,0.0
2013-04-17,0.0,0.0,0.0,,,2.6518,0.0,0.0
