Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-28,,,,,0.0,2.3039,0.0,0.0
2014-12-01,,,,,0.059,2.3629,0.0,0.0
2014-12-02,,,,,0.031,2.3319,0.0,0.0
2014-12-03,,,,,0.0075,2.3394,0.0,0.0
2014-12-04,,,,,0.0227,2.3167,0.0,0.0
2014-12-05,,,,,0.0189,2.2978,0.0,0.0
2014-12-08,,,,,0.0547,2.2431,0.0,0.0
2014-12-09,,,,,0.006,2.2491,0.0,0.0
2014-12-10,,,,,0.0651,2.184,0.0,0.0
2014-12-11,,,,,0.0152,2.1688,0.0,0.0
2014-12-12,,,,,0.0409,2.1279,0.0,0.0
2014-12-15,,,,,0.021,2.1069,0.0,0.0
2014-12-16,,,,,0.0301,2.0768,0.0,0.0
2014-12-17,,,,,0.0186,2.0954,0.0,0.0
2014-12-18,,,,,0.0418,2.0536,0.0,0.0
2014-12-19,,,,,0.0495,2.1031,0.0,0.0
2014-12-22,,,,,0.0084,2.1115,0.0,0.0
2014-12-23,,,,,0.0434,2.1549,0.0,0.0
2014-12-24,,,,,0.0415,2.1134,0.0,0.0
2014-12-26,,,,,0.0021,2.1113,0.0,0.0
2014-12-29,,,,,0.0291,2.0822,0.0,0.0
2014-12-30,,,,,0.0112,2.0934,0.0,0.0
2014-12-31,,,,,0.0071,2.0863,0.0,0.0
2015-01-02,,,,,0.0174,2.0689,0.0,0.0
2015-01-05,,,,,0.0378,2.0311,0.0,0.0
2015-01-06,,,,,0.0453,1.9858,0.0,0.0
2015-01-07,,,,,0.0107,1.9751,0.0,0.0
2015-01-08,,,,,0.0001,1.975,0.0,0.0
2015-01-09,,,,,0.0065,1.9815,0.0,0.0
2015-01-12,,,,,0.0399,1.9416,0.0,0.0
2015-01-13,,,,,0.006,1.9476,0.0,0.0
2015-01-14,,,,,0.0344,1.982,0.0,0.0
2015-01-15,,,,,0.0573,1.9247,0.0,0.0
2015-01-16,,,,,0.0275,1.9522,0.0,0.0
2015-01-20,,,,,0.0527,1.8995,0.0,0.0
2015-01-21,,,,,0.0365,1.936,0.0,0.0
2015-01-22,,,,,0.0103,1.9257,0.0,0.0
2015-01-23,,,,,0.0136,1.9393,0.0,0.0
2015-01-26,,,,,0.0086,1.9307,0.0,0.0
2015-01-27,,,,,0.0303,1.961,0.0,0.0
2015-01-28,,,,,0.0189,1.9421,0.0,0.0
2015-01-29,,,,,0.0103,1.9524,0.0,0.0
2015-01-30,,,,,0.0728,2.0252,0.0,0.0
2015-02-02,,,,,0.0379,2.0631,0.0,0.0
2015-02-03,,,,,0.0441,2.1072,0.0,0.0
2015-02-04,,,,,0.0597,2.0475,0.0,0.0
2015-02-05,,,,,0.0341,2.0816,0.0,0.0
2015-02-06,,,,,0.0158,2.0974,0.0,0.0
2015-02-09,,,,,0.0254,2.1228,0.0,0.0
2015-02-10,,,,,0.0162,2.1066,0.0,0.0
2015-02-11,,,,,0.0212,2.0854,0.0,0.0
2015-02-12,,,,,0.0546,2.14,0.0,0.0
2015-02-13,,,,,0.0046,2.1446,0.0,0.0
2015-02-17,,,,,0.0018,2.1464,0.0,0.0
2015-02-18,,,,,0.0383,2.1081,0.0,0.0
2015-02-19,,,,,0.0112,2.0969,0.0,0.0
2015-02-20,,,,,0.0029,2.0998,0.0,0.0
2015-02-23,,,,,0.0067,2.0931,0.0,0.0
2015-02-24,,,,,0.0112,2.1043,0.0,0.0
2015-02-25,,,,,0.0482,2.1525,0.0,0.0
2015-02-26,,,,,0.0256,2.1269,0.0,0.0
2015-02-27,,,,,0.0424,2.1693,0.0,0.0
2015-03-02,,,,,0.0472,2.1221,0.0,0.0
2015-03-03,,,,,0.032,2.1541,0.0,0.0
2015-03-04,,,,,0.0246,2.1295,0.0,0.0
2015-03-05,,,,,0.0211,2.1084,0.0,0.0
2015-03-06,,,,,0.0129,2.0955,0.0,0.0
2015-03-09,,,,,0.0203,2.0752,0.0,0.0
2015-03-10,,,,,0.0268,2.0484,0.0,0.0
2015-03-11,,,,,0.0131,2.0615,0.0,0.0
2015-03-12,,,,,0.0149,2.0466,0.0,0.0
2015-03-13,,,,,0.0512,1.9954,0.0,0.0
2015-03-16,,,,,0.002,1.9934,0.0,0.0
2015-03-17,,,,,0.0059,1.9875,0.0,0.0
2015-03-18,,,,,0.0519,2.0394,0.0,0.0
2015-03-19,,,,,0.0367,2.0027,0.0,0.0
2015-03-20,,,,,0.0137,2.0164,0.0,0.0
2015-03-23,,,,,0.0131,2.0295,0.0,0.0
2015-03-24,,,,,0.0173,2.0122,0.0,0.0
2015-03-25,,,,,0.0079,2.0201,0.0,0.0
2015-03-26,,,,,0.0297,2.0498,0.0,0.0
