Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2004-11-01,1.165,1.165,1.165,,,1.165,0.0,0.0
2004-11-02,1.165,1.165,1.165,,,1.165,0.0,0.0
2004-11-03,1.185,1.185,1.185,,,1.185,0.0,0.0
2004-11-04,1.145,1.145,1.145,,,1.145,0.0,0.0
2004-11-05,1.16,1.16,1.16,,,1.16,0.0,0.0
2004-11-08,1.155,1.155,1.155,,,1.155,0.0,0.0
2004-11-09,1.13,1.13,1.13,,,1.13,0.0,0.0
2004-11-10,1.16,1.16,1.16,,,1.16,0.0,0.0
2004-11-11,1.135,1.135,1.135,,,1.135,0.0,0.0
2004-11-12,1.14,1.14,1.14,,,1.14,155.0,155.0
2004-11-15,1.13,1.13,1.13,,,1.13,155.0,155.0
2004-11-16,1.11,1.11,1.11,,,1.11,155.0,155.0
2004-11-17,1.135,1.135,1.135,,,1.135,0.0,155.0
2004-11-18,1.13,1.13,1.13,,,1.13,0.0,155.0
2004-11-19,1.13,1.165,1.13,,,1.165,1.0,156.0
2004-11-22,1.155,1.155,1.155,,,1.155,0.0,156.0
2004-11-23,1.165,1.165,1.165,,,1.165,0.0,156.0
2004-11-24,1.165,1.175,1.165,,,1.175,2.0,158.0
2004-11-29,1.185,1.185,1.185,,,1.185,0.0,158.0
2004-11-30,1.175,1.175,1.175,,,1.175,0.0,158.0
2004-12-01,1.175,1.175,1.125,,,1.125,1.0,159.0
2004-12-02,1.13,1.13,1.08,,,1.08,1.0,160.0
2004-12-03,1.09,1.09,1.07,,,1.07,2.0,162.0
2004-12-06,1.08,1.08,1.08,,,1.08,0.0,162.0
2004-12-07,1.08,1.08,1.065,,,1.065,82.0,241.0
2004-12-08,1.075,1.075,1.075,,,1.075,82.0,216.0
2004-12-09,1.085,1.085,1.085,,,1.085,100.0,266.0
2004-12-10,1.05,1.05,1.05,,,1.05,200.0,361.0
2004-12-13,1.08,1.08,1.07,,,1.07,101.0,411.0
2004-12-14,1.08,1.08,1.08,,,1.08,0.0,411.0
2004-12-15,1.12,1.12,1.12,,,1.12,101.0,411.0
2004-12-16,1.1,1.1,1.1,,,1.1,0.0,411.0
2004-12-17,1.135,1.135,1.135,,,1.135,101.0,411.0
2004-12-20,1.12,1.12,1.12,,,1.12,0.0,411.0
2004-12-21,1.12,1.12,1.12,,,1.12,0.0,411.0
2004-12-22,1.095,1.095,1.095,,,1.095,0.0,411.0
2004-12-23,1.09,1.09,1.09,,,1.09,0.0,411.0
2004-12-27,1.07,1.07,1.035,,,1.035,1.0,411.0
2004-12-28,1.05,1.05,1.05,,,1.05,0.0,411.0
2004-12-29,1.095,1.095,1.095,,,1.095,0.0,411.0
2004-12-30,1.08,1.08,1.08,,,1.08,0.0,411.0
2005-01-03,1.06,1.0675,1.06,,,1.0675,1.0,411.0
2005-01-04,1.101,1.101,1.101,,,1.101,1.0,411.0
2005-01-05,1.0882,1.0882,1.0882,,,1.0882,0.0,411.0
2005-01-06,1.1198,1.1198,1.1198,,,1.1198,0.0,411.0
2005-01-07,1.1102,1.1102,1.1102,,,1.1102,0.0,411.0
2005-01-10,1.145,1.145,1.099,,,1.099,1.0,412.0
