Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-28,,,,,0.0,2.3004,0.0,0.0
2014-12-01,,,,,0.059,2.3594,0.0,0.0
2014-12-02,,,,,0.031,2.3284,0.0,0.0
2014-12-03,,,,,0.0075,2.3359,0.0,0.0
2014-12-04,,,,,0.0227,2.3132,0.0,0.0
2014-12-05,,,,,0.0189,2.2943,0.0,0.0
2014-12-08,,,,,0.0547,2.2396,0.0,0.0
2014-12-09,,,,,0.006,2.2456,0.0,0.0
2014-12-10,,,,,0.0651,2.1805,0.0,0.0
2014-12-11,,,,,0.0152,2.1653,0.0,0.0
2014-12-12,,,,,0.0409,2.1244,0.0,0.0
2014-12-15,,,,,0.021,2.1034,0.0,0.0
2014-12-16,,,,,0.0301,2.0733,0.0,0.0
2014-12-17,,,,,0.0186,2.0919,0.0,0.0
2014-12-18,,,,,0.0418,2.0501,0.0,0.0
2014-12-19,,,,,0.0495,2.0996,0.0,0.0
2014-12-22,,,,,0.0084,2.108,0.0,0.0
2014-12-23,,,,,0.0434,2.1514,0.0,0.0
2014-12-24,,,,,0.0415,2.1099,0.0,0.0
2014-12-26,,,,,0.0021,2.1078,0.0,0.0
2014-12-29,,,,,0.0291,2.0787,0.0,0.0
2014-12-30,,,,,0.0112,2.0899,0.0,0.0
2014-12-31,,,,,0.0071,2.0828,0.0,0.0
2015-01-02,,,,,0.0174,2.0654,0.0,0.0
2015-01-05,,,,,0.0378,2.0276,0.0,0.0
2015-01-06,,,,,0.0453,1.9823,0.0,0.0
2015-01-07,,,,,0.0107,1.9716,0.0,0.0
2015-01-08,,,,,0.0001,1.9715,0.0,0.0
2015-01-09,,,,,0.0065,1.978,0.0,0.0
2015-01-12,,,,,0.0399,1.9381,0.0,0.0
2015-01-13,,,,,0.006,1.9441,0.0,0.0
2015-01-14,,,,,0.0344,1.9785,0.0,0.0
2015-01-15,,,,,0.0573,1.9212,0.0,0.0
2015-01-16,,,,,0.0275,1.9487,0.0,0.0
2015-01-20,,,,,0.0527,1.896,0.0,0.0
2015-01-21,,,,,0.0365,1.9325,0.0,0.0
2015-01-22,,,,,0.0103,1.9222,0.0,0.0
2015-01-23,,,,,0.0136,1.9358,0.0,0.0
2015-01-26,,,,,0.0086,1.9272,0.0,0.0
2015-01-27,,,,,0.0303,1.9575,0.0,0.0
2015-01-28,,,,,0.0189,1.9386,0.0,0.0
2015-01-29,,,,,0.0103,1.9489,0.0,0.0
2015-01-30,,,,,0.0728,2.0217,0.0,0.0
2015-02-02,,,,,0.0379,2.0596,0.0,0.0
2015-02-03,,,,,0.0441,2.1037,0.0,0.0
2015-02-04,,,,,0.0597,2.044,0.0,0.0
2015-02-05,,,,,0.0341,2.0781,0.0,0.0
2015-02-06,,,,,0.0158,2.0939,0.0,0.0
2015-02-09,,,,,0.0254,2.1193,0.0,0.0
2015-02-10,,,,,0.0162,2.1031,0.0,0.0
2015-02-11,,,,,0.0212,2.0819,0.0,0.0
2015-02-12,,,,,0.0546,2.1365,0.0,0.0
2015-02-13,,,,,0.0046,2.1411,0.0,0.0
2015-02-17,,,,,0.0018,2.1429,0.0,0.0
2015-02-18,,,,,0.0383,2.1046,0.0,0.0
2015-02-19,,,,,0.0112,2.0934,0.0,0.0
2015-02-20,,,,,0.0029,2.0963,0.0,0.0
2015-02-23,,,,,0.0067,2.0896,0.0,0.0
2015-02-24,,,,,0.0112,2.1008,0.0,0.0
2015-02-25,,,,,0.0482,2.149,0.0,0.0
2015-02-26,,,,,0.0256,2.1234,0.0,0.0
2015-02-27,,,,,0.0424,2.1658,0.0,0.0
2015-03-02,,,,,0.0472,2.1186,0.0,0.0
2015-03-03,,,,,0.032,2.1506,0.0,0.0
2015-03-04,,,,,0.0246,2.126,0.0,0.0
2015-03-05,,,,,0.0211,2.1049,0.0,0.0
2015-03-06,,,,,0.0129,2.092,0.0,0.0
2015-03-09,,,,,0.0203,2.0717,0.0,0.0
2015-03-10,,,,,0.0268,2.0449,0.0,0.0
2015-03-11,,,,,0.0131,2.058,0.0,0.0
2015-03-12,,,,,0.0149,2.0431,0.0,0.0
2015-03-13,,,,,0.0512,1.9919,0.0,0.0
2015-03-16,,,,,0.002,1.9899,0.0,0.0
2015-03-17,,,,,0.0059,1.984,0.0,0.0
2015-03-18,,,,,0.0519,2.0359,0.0,0.0
2015-03-19,,,,,0.0367,1.9992,0.0,0.0
2015-03-20,,,,,0.0137,2.0129,0.0,0.0
2015-03-23,,,,,0.0131,2.026,0.0,0.0
2015-03-24,,,,,0.0173,2.0087,0.0,0.0
2015-03-25,,,,,0.0079,2.0166,0.0,0.0
2015-03-26,,,,,0.0297,2.0463,0.0,0.0
2015-03-27,,,,,0.0479,1.9984,0.0,0.0
2015-03-30,,,,,0.0206,2.019,0.0,0.0
2015-03-31,,,,,0.0089,2.0101,0.0,0.0
2015-04-01,,,,,0.0315,2.0416,0.0,0.0
2015-04-02,,,,,0.0449,1.9967,0.0,0.0
2015-04-06,,,,,0.0411,2.0378,0.0,0.0
2015-04-07,,,,,0.0069,2.0309,0.0,0.0
2015-04-08,,,,,0.0482,1.9827,0.0,0.0
2015-04-09,,,,,0.0244,2.0071,0.0,0.0
2015-04-10,,,,,0.0156,2.0227,0.0,0.0
2015-04-13,,,,,0.0015,2.0212,0.0,0.0
2015-04-14,,,,,0.0173,2.0385,0.0,0.0
2015-04-15,,,,,0.0676,2.1061,0.0,0.0
2015-04-16,,,,,0.0099,2.0962,0.0,0.0
2015-04-17,,,,,0.0094,2.0868,0.0,0.0
2015-04-20,,,,,0.0035,2.0903,0.0,0.0
2015-04-21,,,,,0.0155,2.0748,0.0,0.0
2015-04-22,,,,,0.0141,2.0889,0.0,0.0
2015-04-23,,,,,0.0367,2.1256,0.0,0.0
2015-04-24,,,,,0.0039,2.1295,0.0,0.0
2015-04-27,,,,,0.0056,2.1239,0.0,0.0
2015-04-28,,,,,0.0089,2.115,0.0,0.0
2015-04-29,,,,,0.0116,2.1266,0.0,0.0
2015-04-30,,,,,0.0053,2.1319,0.0,0.0
2015-05-01,,,,,0.0022,2.1341,0.0,0.0
2015-05-04,,,,,0.005,2.1391,0.0,0.0
2015-05-05,,,,,0.0205,2.1596,0.0,0.0
2015-05-06,,,,,0.0026,2.1622,0.0,0.0
2015-05-07,,,,,0.0333,2.1289,0.0,0.0
2015-05-08,,,,,0.0051,2.134,0.0,0.0
2015-05-11,,,,,0.0054,2.1286,0.0,0.0
2015-05-12,,,,,0.0249,2.1535,0.0,0.0
2015-05-13,,,,,0.0019,2.1516,0.0,0.0
2015-05-14,,,,,0.0026,2.149,0.0,0.0
2015-05-15,,,,,0.0035,2.1525,0.0,0.0
2015-05-18,,,,,0.0138,2.1387,0.0,0.0
2015-05-19,,,,,0.045,2.0937,0.0,0.0
2015-05-20,,,,,0.0181,2.1118,0.0,0.0
2015-05-21,,,,,0.0215,2.1333,0.0,0.0
2015-05-22,,,,,0.0204,2.1129,0.0,0.0
2015-05-26,,,,,0.0399,2.073,0.0,0.0
2015-05-27,,,,,0.0321,2.0409,0.0,0.0
2015-05-28,,,,,0.0075,2.0484,0.0,0.0
2015-05-29,,,,,0.0631,2.1115,0.0,0.0
2015-06-01,,,,,0.0173,2.0942,0.0,0.0
2015-06-02,,,,,0.023,2.1172,0.0,0.0
2015-06-03,,,,,0.0393,2.0779,0.0,0.0
2015-06-04,,,,,0.0438,2.0341,0.0,0.0
2015-06-05,,,,,0.0285,2.0626,0.0,0.0
2015-06-08,,,,,0.0152,2.0474,0.0,0.0
2015-06-09,,,,,0.0503,2.0977,0.0,0.0
2015-06-10,,,,,0.0201,2.1178,0.0,0.0
2015-06-11,,,,,0.0189,2.0989,0.0,0.0
2015-06-12,,,,,0.0285,2.0704,0.0,0.0
2015-06-15,,,,,0.0115,2.0589,0.0,0.0
2015-06-16,,,,,0.007,2.0659,0.0,0.0
2015-06-17,,,,,0.0145,2.0804,0.0,0.0
2015-06-18,,,,,0.0044,2.0848,0.0,0.0
2015-06-19,,,,,0.0306,2.0542,0.0,0.0
2015-06-22,,,,,0.0111,2.0653,0.0,0.0
2015-06-23,,,,,0.0248,2.0901,0.0,0.0
2015-06-24,,,,,0.0279,2.0622,0.0,0.0
2015-06-25,,,,,0.0186,2.0436,0.0,0.0
2015-06-26,,,,,0.0017,2.0453,0.0,0.0
2015-06-29,,,,,0.0188,2.0265,0.0,0.0
2015-06-30,,2.035,,,0.033,2.0595,0.0,0.0
2015-07-01,,,,,0.038,2.0215,0.0,0.0
2015-07-02,,,,,0.0003,2.0212,0.0,0.0
2015-07-06,2.035,2.035,2.035,2.035,0.0998,1.9214,1.0,0.0
2015-07-07,,,,,0.0076,1.929,0.0,1.0
2015-07-08,,,,,0.0141,1.9431,0.0,1.0
2015-07-09,,,,,0.0236,1.9667,0.0,1.0
2015-07-10,,,,,0.0103,1.977,0.0,1.0
2015-07-13,,,,,0.0128,1.9642,0.0,1.0
2015-07-14,,,,,0.0099,1.9741,0.0,1.0
2015-07-15,,,,,0.0341,1.94,0.0,1.0
2015-07-16,,,,,0.0093,1.9307,0.0,1.0
2015-07-17,,,,,0.006,1.9247,0.0,1.0
2015-07-20,,,,,0.0097,1.915,0.0,1.0
2015-07-21,,1.925,,1.925,0.0216,1.9366,0.0,1.0
2015-07-22,1.925,1.925,1.925,1.925,0.0169,1.9197,1.0,1.0
2015-07-23,,1.921,,1.921,0.0145,1.9052,0.0,2.0
2015-07-24,1.921,1.921,1.921,1.921,0.0212,1.884,1.0,2.0
2015-07-27,,,,,0.0061,1.8779,0.0,3.0
2015-07-28,,,,,0.008,1.8859,0.0,3.0
2015-07-29,,1.89,,1.89,0.0007,1.8866,0.0,3.0
2015-07-30,,,,1.89,0.0014,1.888,0.0,3.0
2015-07-31,1.89,1.89,1.89,1.89,0.0191,1.8689,1.0,3.0
2015-08-03,1.8745,1.8745,1.869,1.869,0.0447,1.8242,2.0,4.0
2015-08-04,,,,,0.0113,1.8355,0.0,6.0
2015-08-05,,,,,0.0129,1.8226,0.0,6.0
2015-08-06,,,,,0.0051,1.8277,0.0,6.0
2015-08-07,,,,,0.012,1.8157,0.0,6.0
2015-08-10,,,,,0.0297,1.8454,0.0,6.0
2015-08-11,,,,,0.0266,1.8188,0.0,6.0
2015-08-12,,,,,0.0221,1.8409,0.0,6.0
2015-08-13,,,,,0.0011,1.8398,0.0,6.0
2015-08-14,,,,,0.0086,1.8312,0.0,6.0
2015-08-17,,,,,0.008,1.8232,0.0,6.0
2015-08-18,,1.8275,,1.8275,0.0011,1.8243,0.0,6.0
2015-08-19,1.8275,1.8275,1.8275,1.8275,0.0246,1.7997,1.0,6.0
2015-08-20,,,,,0.0198,1.7799,0.0,7.0
2015-08-21,1.79,1.79,1.79,1.79,0.029,1.7509,1.0,7.0
2015-08-24,,,,,0.054,1.6969,0.0,8.0
2015-08-25,,1.717,,1.717,0.0154,1.7123,0.0,8.0
2015-08-26,,,,1.717,0.0038,1.7085,0.0,8.0
2015-08-27,,,,1.717,0.0938,1.8023,1.0,8.0
2015-08-28,,,,,0.0632,1.8655,0.0,8.0
2015-08-31,,,,,0.0892,1.9547,0.0,8.0
2015-09-01,,,,,0.1145,1.8402,0.0,8.0
2015-09-02,,,,,0.0235,1.8637,0.0,8.0
2015-09-03,,,,,0.0053,1.869,0.0,8.0
2015-09-04,,,,,0.0247,1.8443,0.0,8.0
2015-09-08,,,,,0.0019,1.8462,0.0,8.0
2015-09-09,,,,,0.0275,1.8187,0.0,8.0
2015-09-10,,,,,0.0276,1.8463,0.0,8.0
