Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2003-12-01,0.6923,0.6923,0.6923,,,0.6923,0.0,0.0
2003-12-02,0.705,0.705,0.7,,,0.7,3.0,3.0
2003-12-03,0.706,0.706,0.706,,,0.706,0.0,3.0
2003-12-04,0.712,0.712,0.712,,,0.712,0.0,3.0
2003-12-05,0.7025,0.7025,0.7025,,,0.7025,0.0,3.0
2003-12-08,0.725,0.725,0.725,,,0.725,0.0,3.0
2003-12-09,0.7125,0.7125,0.7125,,,0.7125,0.0,3.0
2003-12-10,0.7175,0.7175,0.7175,,,0.7175,0.0,3.0
2003-12-11,0.7155,0.7155,0.7155,,,0.7155,0.0,3.0
2003-12-12,0.7325,0.7325,0.7325,,,0.7325,0.0,3.0
2003-12-15,0.7335,0.7335,0.7335,,,0.7335,0.0,3.0
2003-12-16,0.731,0.731,0.7288,,,0.7288,1.0,4.0
2003-12-17,0.7282,0.7282,0.7282,,,0.7282,0.0,4.0
2003-12-18,0.7402,0.7402,0.7402,,,0.7402,0.0,4.0
2003-12-19,0.7145,0.7145,0.7145,,,0.7145,0.0,4.0
2003-12-22,0.7175,0.7175,0.703,,,0.703,1.0,5.0
2003-12-23,0.7115,0.7115,0.7115,,,0.7115,0.0,5.0
2003-12-24,0.7232,0.7232,0.7232,,,0.7232,0.0,5.0
2003-12-29,0.723,0.723,0.723,,,0.723,0.0,5.0
2003-12-30,0.7272,0.7272,0.7272,,,0.7272,0.0,5.0
2003-12-31,0.7225,0.7225,0.7225,,,0.7225,0.0,5.0
2004-01-05,0.7435,0.7435,0.7435,,,0.7435,0.0,5.0
2004-01-06,0.7455,0.7455,0.7455,,,0.7455,0.0,5.0
2004-01-07,0.745,0.745,0.745,,,0.745,0.0,5.0
2004-01-08,0.7515,0.7515,0.7515,,,0.7515,0.0,5.0
2004-01-09,0.754,0.754,0.754,,,0.754,0.0,5.0
2004-01-12,0.7558,0.7558,0.7558,,,0.7558,0.0,5.0
2004-01-13,0.753,0.753,0.753,,,0.753,0.0,5.0
2004-01-14,0.7555,0.7555,0.7555,,,0.7555,0.0,5.0
2004-01-15,0.7365,0.7365,0.7365,,,0.7365,0.0,5.0
2004-01-16,0.7572,0.7572,0.7572,,,0.7572,0.0,5.0
2004-01-20,0.7735,0.7735,0.7735,,,0.7735,0.0,5.0
2004-01-21,0.7668,0.7668,0.7668,,,0.7668,51.0,55.0
2004-01-22,0.7783,0.7783,0.7783,,,0.7783,0.0,55.0
2004-01-23,0.7548,0.7548,0.7548,,,0.7548,0.0,55.0
2004-01-26,0.7565,0.7565,0.7565,,,0.7565,0.0,55.0
2004-01-27,0.7535,0.7535,0.7535,,,0.7535,0.0,55.0
2004-01-28,0.7408,0.7408,0.7408,,,0.7408,0.0,55.0
2004-01-29,0.7335,0.7335,0.7335,,,0.7335,0.0,55.0
2004-01-30,0.74,0.74,0.74,,,0.74,0.0,55.0
2004-02-02,0.7562,0.7562,0.7562,,,0.7562,0.0,55.0
2004-02-03,0.7428,0.7428,0.7428,,,0.7428,0.0,55.0
2004-02-04,0.731,0.731,0.731,,,0.731,0.0,55.0
2004-02-05,0.7335,0.7335,0.7335,,,0.7335,0.0,55.0
2004-02-06,0.7218,0.7218,0.7218,,,0.7218,0.0,55.0
2004-02-09,0.7332,0.7332,0.7332,,,0.7332,35.0,52.0
2004-02-10,0.7478,0.7478,0.7478,,,0.7478,10.0,52.0
2004-02-11,0.7478,0.752,0.7478,,,0.752,2.0,54.0
2004-02-12,0.7562,0.7562,0.7562,,,0.7562,2.0,56.0
2004-02-13,0.7658,0.7658,0.7658,,,0.7658,0.0,56.0
2004-02-17,0.768,0.768,0.768,,,0.768,0.0,56.0
2004-02-18,0.7628,0.7628,0.7628,,,0.7628,0.0,56.0
2004-02-19,0.7652,0.7652,0.7652,,,0.7652,0.0,56.0
2004-02-20,0.7625,0.7625,0.757,,,0.757,2.0,56.0
2004-02-23,0.7555,0.7555,0.7555,,,0.7555,0.0,56.0
2004-02-24,0.7582,0.7582,0.7582,,,0.7582,0.0,56.0
2004-02-25,0.7702,0.7702,0.7702,,,0.7702,0.0,56.0
2004-02-26,0.776,0.776,0.776,,,0.776,0.0,56.0
2004-02-27,0.775,0.789,0.775,,,0.789,1.0,56.0
2004-03-01,0.801,0.801,0.801,,,0.801,0.0,55.0
2004-03-02,0.7975,0.7975,0.7975,,,0.7975,0.0,55.0
2004-03-03,0.7773,0.7773,0.7773,,,0.7773,0.0,55.0
2004-03-04,0.7927,0.7927,0.7927,,,0.7927,0.0,55.0
2004-03-05,0.8005,0.8005,0.8005,,,0.8005,0.0,55.0
2004-03-08,0.7827,0.7827,0.7827,,,0.7827,0.0,55.0
2004-03-09,0.79,0.79,0.7825,,,0.7825,1.0,56.0
2004-03-10,0.7863,0.7863,0.7863,,,0.7863,0.0,56.0
2004-03-11,0.794,0.794,0.794,,,0.794,0.0,56.0
2004-03-12,0.7867,0.7867,0.7867,,,0.7867,0.0,56.0
2004-03-15,0.8055,0.8055,0.8055,,,0.8055,0.0,56.0
2004-03-16,0.8007,0.8007,0.8007,,,0.8007,0.0,56.0
2004-03-17,0.8225,0.8225,0.8225,,,0.8225,0.0,56.0
2004-03-18,0.819,0.819,0.819,,,0.819,0.0,56.0
2004-03-19,0.819,0.8228,0.819,,,0.8228,253.0,308.0
2004-03-22,0.816,0.816,0.816,,,0.816,0.0,308.0
2004-03-23,0.8225,0.8225,0.8225,,,0.8225,12.0,320.0
2004-03-24,0.818,0.818,0.818,,,0.818,0.0,320.0
2004-03-25,0.808,0.808,0.7983,,,0.7983,2.0,322.0
2004-03-26,0.796,0.796,0.796,,,0.796,0.0,322.0
2004-03-29,0.792,0.792,0.7885,,,0.7885,2.0,324.0
2004-03-30,0.8085,0.8085,0.8085,,,0.8085,0.0,324.0
2004-03-31,0.8085,0.8085,0.8085,,,0.8085,0.0,324.0
2004-04-01,0.8045,0.8045,0.771,,,0.771,1.0,325.0
2004-04-02,0.7785,0.789,0.765,,,0.789,3.0,325.0
2004-04-05,0.7883,0.7883,0.7883,,,0.7883,1.0,325.0
2004-04-06,0.799,0.799,0.799,,,0.799,250.0,573.0
2004-04-07,0.8215,0.8215,0.809,,,0.8095,30.0,598.0
2004-04-08,0.8245,0.8245,0.8208,,,0.8208,1.0,598.0
2004-04-12,0.8275,0.8275,0.8275,,,0.8275,0.0,598.0
2004-04-13,0.8238,0.8238,0.8238,,,0.8238,0.0,598.0
2004-04-14,0.8273,0.8273,0.8273,,,0.8273,100.0,698.0
2004-04-15,0.8398,0.8398,0.8398,,,0.8398,0.0,698.0
2004-04-16,0.8393,0.8393,0.8393,,,0.8393,0.0,698.0
2004-04-19,0.8278,0.8278,0.8278,,,0.8278,0.0,698.0
2004-04-20,0.826,0.826,0.826,,,0.826,204.0,852.0
2004-04-21,0.8147,0.8147,0.8147,,,0.8147,0.0,852.0
2004-04-22,0.8145,0.8303,0.8145,,,0.8303,1.0,852.0
2004-04-23,0.8228,0.8228,0.8228,,,0.8228,0.0,852.0
2004-04-26,0.8323,0.8323,0.8323,,,0.8323,0.0,852.0
2004-04-27,0.8445,0.8445,0.8445,,,0.8445,0.0,852.0
2004-04-28,0.8428,0.8428,0.8428,,,0.8428,25.0,877.0
2004-04-29,0.849,0.849,0.849,,,0.849,0.0,877.0
2004-04-30,0.858,0.858,0.8505,,,0.8505,1.0,878.0
2004-05-03,0.851,0.8638,0.851,,,0.8638,51.0,928.0
2004-05-04,0.8723,0.8723,0.8723,,,0.8723,74.0,962.0
2004-05-05,0.8805,0.8805,0.8805,,,0.8805,0.0,962.0
2004-05-06,0.8878,0.8878,0.8798,,,0.8798,75.0,966.0
2004-05-07,0.8858,0.8858,0.8858,,,0.8858,51.0,991.0
2004-05-10,0.8855,0.8855,0.8685,,,0.8685,1.0,992.0
2004-05-11,0.886,0.896,0.886,,,0.896,4.0,994.0
2004-05-12,0.896,0.9018,0.896,,,0.9018,36.0,994.0
2004-05-13,0.9107,0.9107,0.9107,,,0.9107,0.0,994.0
2004-05-14,0.9127,0.9127,0.9127,,,0.9127,1.0,995.0
2004-05-17,0.91,0.9175,0.91,,,0.9175,2.0,996.0
2004-05-18,0.9165,0.9165,0.9065,,,0.9065,21.0,988.0
2004-05-19,0.9065,0.93,0.9065,,,0.93,254.0,1240.0
2004-05-20,0.93,0.93,0.911,,,0.911,2.0,1259.0
2004-05-21,0.896,0.896,0.896,,,0.896,0.0,1259.0
2004-05-24,0.925,0.925,0.925,,,0.925,125.0,1381.0
2004-05-25,0.9173,0.9173,0.9173,,,0.9173,0.0,1381.0
2004-05-26,0.9275,0.9275,0.9145,,,0.9145,13.0,1394.0
2004-05-27,0.899,0.899,0.899,,,0.899,401.0,1645.0
2004-05-28,0.908,0.908,0.908,,,0.908,0.0,1695.0
2004-06-01,0.9493,0.9493,0.9493,,,0.9493,271.0,1809.0
2004-06-02,0.913,0.913,0.913,,,0.913,665.0,2110.0
2004-06-03,0.8965,0.9053,0.8965,,,0.9053,151.0,2250.0
2004-06-04,0.8965,0.8965,0.8965,,,0.8965,35.0,2252.0
2004-06-07,0.9075,0.9075,0.9065,,,0.9065,116.0,2310.0
2004-06-08,0.9055,0.9055,0.8833,,,0.8833,97.0,2380.0
2004-06-09,0.89,0.901,0.89,,,0.901,681.0,2525.0
2004-06-10,0.9147,0.9147,0.9147,,,0.9147,450.0,2825.0
2004-06-14,0.9145,0.9145,0.8953,,,0.8953,1001.0,3264.0
2004-06-15,0.909,0.909,0.895,,,0.8953,186.0,3414.0
2004-06-16,0.9,0.904,0.9,,,0.904,80.0,3464.0
2004-06-17,0.9375,0.9375,0.9295,,,0.9295,46.0,3424.0
2004-06-18,0.9238,0.9238,0.9238,,,0.9238,75.0,3374.0
2004-06-21,0.9023,0.9023,0.9023,,,0.9023,60.0,3399.0
2004-06-22,0.9145,0.9145,0.9145,,,0.9145,90.0,3414.0
2004-06-23,0.9065,0.915,0.9065,,,0.911,407.0,3460.0
2004-06-24,0.9325,0.9325,0.9147,,,0.9147,265.0,3343.0
2004-06-25,0.9125,0.915,0.9117,,,0.9117,813.0,3338.0
2004-06-28,0.899,0.902,0.897,,,0.9,146.0,3263.0
2004-06-29,0.9,0.9,0.8905,,,0.8905,1167.0,3759.0
2004-06-30,0.9,0.9178,0.9,,,0.9178,762.0,4102.0
2004-07-01,0.952,0.952,0.952,,,0.952,755.0,3862.0
2004-07-02,0.9428,0.9428,0.9428,,,0.9428,25.0,3862.0
2004-07-06,0.9515,0.961,0.9515,,,0.9588,18.0,3869.0
2004-07-07,0.9505,0.9585,0.95,,,0.9568,328.0,3920.0
2004-07-08,0.954,0.9715,0.954,,,0.9715,316.0,4140.0
2004-07-09,0.97,0.97,0.9575,,,0.9575,103.0,4240.0
2004-07-12,0.945,0.945,0.945,,,0.945,25.0,4215.0
2004-07-13,0.949,0.953,0.948,,,0.9498,53.0,4217.0
2004-07-14,0.9565,0.9742,0.9565,,,0.9742,51.0,4217.0
2004-07-15,0.9785,0.9785,0.974,,,0.9752,547.0,3938.0
2004-07-16,0.979,0.979,0.978,,,0.9788,5.0,3939.0
2004-07-19,0.9825,0.9855,0.9825,,,0.9855,155.0,3989.0
2004-07-20,0.9815,0.986,0.9668,,,0.9668,221.0,3941.0
2004-07-21,0.984,0.984,0.9732,,,0.9732,214.0,3951.0
2004-07-22,0.9983,0.9983,0.9983,,,0.9983,1371.0,4500.0
2004-07-23,1.024,1.024,0.998,,,1.0053,386.0,4353.0
2004-07-26,0.9963,0.9963,0.9963,,,0.9963,505.0,4607.0
2004-07-27,1.01,1.01,1.006,,,1.006,561.0,4968.0
2004-07-28,1.01,1.0255,1.01,,,1.0255,33.0,4993.0
2004-07-29,1.0208,1.0208,1.0208,,,1.0208,317.0,5132.0
2004-07-30,1.04,1.04,1.0362,,,1.0362,454.0,5085.0
2004-08-02,1.038,1.038,1.0357,,,1.0357,117.0,5096.0
2004-08-03,1.045,1.053,1.045,,,1.0465,480.0,5130.0
