Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-28,,,,,0.0,2.2979,0.0,0.0
2014-12-01,,,,,0.059,2.3569,0.0,0.0
2014-12-02,,,,,0.031,2.3259,0.0,0.0
2014-12-03,,,,,0.0075,2.3334,0.0,0.0
2014-12-04,,,,,0.0227,2.3107,0.0,0.0
2014-12-05,,,,,0.0189,2.2918,0.0,0.0
2014-12-08,,,,,0.0547,2.2371,0.0,0.0
2014-12-09,,,,,0.006,2.2431,0.0,0.0
2014-12-10,,,,,0.0651,2.178,0.0,0.0
2014-12-11,,,,,0.0152,2.1628,0.0,0.0
2014-12-12,,,,,0.0409,2.1219,0.0,0.0
2014-12-15,,,,,0.021,2.1009,0.0,0.0
2014-12-16,,,,,0.0301,2.0708,0.0,0.0
2014-12-17,,,,,0.0186,2.0894,0.0,0.0
2014-12-18,,,,,0.0418,2.0476,0.0,0.0
2014-12-19,,,,,0.0495,2.0971,0.0,0.0
2014-12-22,,,,,0.0084,2.1055,0.0,0.0
2014-12-23,,,,,0.0434,2.1489,0.0,0.0
2014-12-24,,,,,0.0415,2.1074,0.0,0.0
2014-12-26,,,,,0.0021,2.1053,0.0,0.0
2014-12-29,,,,,0.0291,2.0762,0.0,0.0
2014-12-30,,,,,0.0112,2.0874,0.0,0.0
2014-12-31,,,,,0.0071,2.0803,0.0,0.0
2015-01-02,,,,,0.0174,2.0629,0.0,0.0
2015-01-05,,,,,0.0378,2.0251,0.0,0.0
2015-01-06,,,,,0.0453,1.9798,0.0,0.0
2015-01-07,,2.0,,,0.0107,1.9691,0.0,0.0
2015-01-08,2.0,2.0,2.0,,0.0001,1.969,2.0,0.0
2015-01-09,,,,,0.0065,1.9755,0.0,2.0
2015-01-12,,,,,0.0399,1.9356,0.0,2.0
2015-01-13,,,,,0.006,1.9416,0.0,2.0
2015-01-14,,,,,0.0344,1.976,0.0,2.0
2015-01-15,,,,,0.0573,1.9187,0.0,2.0
2015-01-16,,,,,0.0275,1.9462,0.0,2.0
