Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2002-01-02,0.5996,0.5996,0.5996,,,0.5996,0.0,0.0
2002-01-03,0.5814,0.5814,0.5814,,,0.5814,59.0,57.0
2002-01-04,0.6025,0.6025,0.6025,,,0.6025,0.0,57.0
2002-01-07,0.5924,0.5924,0.5924,,,0.5924,0.0,57.0
2002-01-08,0.5901,0.5901,0.5901,,,0.5901,25.0,82.0
2002-01-09,0.5709,0.5709,0.5709,,,0.5709,0.0,82.0
2002-01-10,0.5824,0.5824,0.5824,,,0.5824,0.0,82.0
2002-01-11,0.5747,0.5747,0.5747,,,0.5747,0.0,82.0
2002-01-14,0.5645,0.5645,0.5645,,,0.5645,11.0,85.0
2002-01-15,0.5623,0.5623,0.5623,,,0.5623,7.0,85.0
2002-01-16,0.5696,0.5696,0.5696,,,0.5696,0.0,85.0
2002-01-17,0.5575,0.5575,0.5575,,,0.5575,85.0,130.0
2002-01-18,0.565,0.565,0.5541,,,0.5541,1.0,130.0
2002-01-22,0.5596,0.5596,0.5596,,,0.5596,128.0,231.0
2002-01-23,0.5635,0.5635,0.5635,,,0.5635,175.0,306.0
2002-01-24,0.5665,0.5665,0.5665,,,0.5665,0.0,306.0
2002-01-25,0.5625,0.5741,0.5625,,,0.5741,82.0,356.0
2002-01-28,0.57,0.57,0.57,,,0.57,0.0,356.0
2002-01-29,0.57,0.57,0.5636,,,0.5636,56.0,405.0
2002-01-30,0.5641,0.5641,0.5641,,,0.5641,142.0,465.0
2002-01-31,0.5726,0.5726,0.5726,,,0.5726,0.0,465.0
2002-02-01,0.5877,0.5877,0.5877,,,0.5877,0.0,465.0
2002-02-04,0.5766,0.5766,0.5766,,,0.5766,45.0,505.0
2002-02-05,0.5754,0.5754,0.5754,,,0.5754,27.0,530.0
2002-02-06,0.5754,0.5754,0.5648,,,0.5648,1.0,530.0
2002-02-07,0.5654,0.5654,0.5654,,,0.5654,3.0,530.0
2002-02-08,0.5756,0.5756,0.5756,,,0.5756,100.0,530.0
2002-02-11,0.5957,0.5957,0.5957,,,0.5957,230.0,720.0
2002-02-12,0.5769,0.5769,0.5769,,,0.5769,0.0,720.0
2002-02-13,0.5822,0.5822,0.5822,,,0.5822,170.0,820.0
2002-02-14,0.5824,0.5824,0.5824,,,0.5824,0.0,820.0
2002-02-15,0.586,0.586,0.586,,,0.586,0.0,820.0
2002-02-19,0.5725,0.5725,0.5725,,,0.5725,0.0,820.0
2002-02-20,0.567,0.567,0.567,,,0.567,0.0,820.0
2002-02-21,0.5773,0.5773,0.5773,,,0.5773,0.0,820.0
2002-02-22,0.5768,0.5768,0.5768,,,0.5768,25.0,845.0
2002-02-25,0.5609,0.5609,0.5609,,,0.5609,0.0,845.0
2002-02-26,0.5843,0.5843,0.5843,,,0.5843,1.0,845.0
2002-02-27,0.5795,0.5795,0.5795,,,0.5795,10.0,855.0
2002-02-28,0.595,0.595,0.595,,,0.595,0.0,855.0
2002-03-01,0.606,0.606,0.606,,,0.606,0.0,855.0
2002-03-04,0.5989,0.5989,0.5989,,,0.5989,0.0,855.0
2002-03-05,0.6162,0.6162,0.6162,,,0.6162,75.0,930.0
2002-03-06,0.6161,0.6161,0.6161,,,0.6161,0.0,930.0
2002-03-07,0.6325,0.6325,0.6282,,,0.6282,2.0,932.0
2002-03-08,0.6276,0.6276,0.6276,,,0.6276,74.0,957.0
2002-03-11,0.6415,0.6415,0.6415,,,0.6415,90.0,908.0
2002-03-12,0.636,0.6406,0.636,,,0.6406,2.0,908.0
2002-03-13,0.6385,0.6385,0.6385,,,0.6385,0.0,908.0
2002-03-14,0.6364,0.6364,0.6364,,,0.6364,37.0,918.0
2002-03-15,0.63,0.6303,0.63,,,0.6303,16.0,932.0
2002-03-18,0.643,0.643,0.643,,,0.643,0.0,932.0
2002-03-19,0.6385,0.6385,0.6385,,,0.6385,1.0,932.0
2002-03-20,0.6337,0.6337,0.6337,,,0.6337,0.0,932.0
2002-03-21,0.6465,0.6465,0.6465,,,0.6465,0.0,932.0
2002-03-22,0.6402,0.6402,0.6402,,,0.6402,25.0,932.0
2002-03-25,0.6368,0.6368,0.6368,,,0.6368,1.0,932.0
2002-03-26,0.638,0.6505,0.638,,,0.6505,1.0,933.0
2002-03-27,0.6484,0.6484,0.6484,,,0.6484,75.0,958.0
2002-03-28,0.6473,0.6473,0.6473,,,0.6473,0.0,958.0
2002-04-01,0.6509,0.6509,0.6509,,,0.6509,0.0,958.0
2002-04-02,0.6605,0.6605,0.6605,,,0.6605,0.0,958.0
2002-04-03,0.6583,0.6583,0.6583,,,0.6583,20.0,958.0
2002-04-04,0.6394,0.6394,0.6394,,,0.6394,0.0,958.0
2002-04-05,0.638,0.638,0.638,,,0.638,7.0,959.0
2002-04-08,0.6417,0.6417,0.6417,,,0.6417,400.0,885.0
2002-04-09,0.6345,0.6345,0.6302,,,0.6302,2.0,886.0
2002-04-10,0.635,0.635,0.6304,,,0.6304,8.0,887.0
2002-04-11,0.6127,0.6127,0.6127,,,0.6127,35.0,887.0
2002-04-12,0.5908,0.5908,0.5908,,,0.5908,0.0,887.0
2002-04-15,0.6254,0.6254,0.6254,,,0.6254,2.0,888.0
2002-04-16,0.6285,0.6285,0.6285,,,0.6285,0.0,889.0
2002-04-17,0.6385,0.6385,0.6379,,,0.6379,2.0,891.0
2002-04-18,0.6326,0.6326,0.6326,,,0.6326,76.0,943.0
2002-04-19,0.6413,0.6413,0.6413,,,0.6413,40.0,955.0
2002-04-22,0.6432,0.6432,0.6432,,,0.6432,7.0,958.0
2002-04-23,0.6453,0.6453,0.6453,,,0.6453,0.0,958.0
2002-04-24,0.6399,0.6399,0.6399,,,0.6399,0.0,958.0
2002-04-25,0.6467,0.6467,0.6467,,,0.6467,0.0,958.0
2002-04-26,0.6509,0.6509,0.6509,,,0.6509,0.0,958.0
2002-04-29,0.6569,0.6569,0.6569,,,0.6569,0.0,958.0
2002-04-30,0.6569,0.6569,0.6569,,,0.6569,5.0,953.0
2002-05-01,0.6432,0.6432,0.6432,,,0.6432,0.0,953.0
2002-05-02,0.639,0.639,0.6362,,,0.6362,2.0,955.0
2002-05-03,0.6414,0.6414,0.6414,,,0.6414,0.0,955.0
2002-05-06,0.6329,0.6329,0.6329,,,0.6329,1.0,955.0
2002-05-07,0.6434,0.6434,0.6434,,,0.6434,0.0,955.0
2002-05-08,0.6516,0.6516,0.6516,,,0.6516,1.0,955.0
2002-05-09,0.6595,0.6595,0.6595,,,0.6595,0.0,955.0
2002-05-10,0.66,0.6621,0.66,,,0.6621,25.0,955.0
2002-05-13,0.6667,0.6667,0.6667,,,0.6667,0.0,955.0
2002-05-14,0.6766,0.6766,0.6766,,,0.6766,0.0,955.0
2002-05-15,0.6422,0.6422,0.6422,,,0.6422,2.0,955.0
2002-05-16,0.6551,0.6551,0.6551,,,0.6551,0.0,955.0
2002-05-17,0.6595,0.6595,0.6595,,,0.6595,0.0,955.0
2002-05-20,0.6623,0.6623,0.6623,,,0.6623,0.0,955.0
2002-05-21,0.6481,0.6481,0.6481,,,0.6481,0.0,955.0
2002-05-22,0.6514,0.6514,0.6514,,,0.6514,0.0,955.0
2002-05-23,0.647,0.647,0.647,,,0.647,0.0,955.0
2002-05-24,0.6443,0.6443,0.6443,,,0.6443,1.0,955.0
2002-05-28,0.6317,0.6317,0.6317,,,0.6317,0.0,956.0
2002-05-29,0.644,0.644,0.644,,,0.644,0.0,956.0
2002-05-30,0.6245,0.6245,0.6245,,,0.6245,55.0,956.0
2002-05-31,0.63,0.6336,0.63,,,0.6336,102.0,908.0
2002-06-03,0.6325,0.6345,0.63,,,0.6314,39.0,904.0
2002-06-04,0.6405,0.6405,0.6379,,,0.6379,2.0,904.0
2002-06-05,0.633,0.633,0.6329,,,0.6329,1.0,904.0
2002-06-06,0.6315,0.6369,0.6315,,,0.6369,1.0,904.0
2002-06-07,0.6335,0.641,0.6325,,,0.6369,1.0,905.0
2002-06-10,0.6287,0.6287,0.6287,,,0.6287,29.0,903.0
2002-06-11,0.629,0.6305,0.6287,,,0.6287,155.0,934.0
2002-06-12,0.63,0.6361,0.63,,,0.6361,22.0,934.0
2002-06-13,0.6519,0.6519,0.6519,,,0.6519,3.0,937.0
2002-06-14,0.6571,0.6571,0.6571,,,0.6571,0.0,937.0
2002-06-17,0.661,0.661,0.6501,,,0.6501,1.0,938.0
2002-06-18,0.6445,0.6445,0.6445,,,0.6445,0.0,938.0
2002-06-19,0.6407,0.6407,0.6407,,,0.6407,0.0,938.0
2002-06-20,0.6501,0.6501,0.6501,,,0.6501,0.0,938.0
2002-06-21,0.644,0.644,0.6417,,,0.6417,26.0,938.0
2002-06-24,0.6537,0.6537,0.6537,,,0.6537,0.0,938.0
2002-06-25,0.661,0.661,0.651,,,0.651,2.0,940.0
2002-06-26,0.649,0.6537,0.649,,,0.6537,1.0,941.0
2002-06-27,0.653,0.653,0.653,,,0.653,0.0,941.0
2002-06-28,0.6533,0.6533,0.6533,,,0.6533,0.0,941.0
2002-07-01,0.654,0.654,0.654,,,0.654,48.0,940.0
2002-07-02,0.658,0.658,0.658,,,0.658,0.0,941.0
2002-07-03,0.6568,0.6568,0.6568,,,0.6568,2.0,941.0
2002-07-08,0.6428,0.6428,0.6428,,,0.6428,0.0,941.0
2002-07-09,0.6473,0.6473,0.6473,,,0.6473,5.0,940.0
2002-07-10,0.6573,0.6573,0.6573,,,0.6573,0.0,940.0
2002-07-11,0.6584,0.6584,0.6584,,,0.6584,0.0,940.0
2002-07-12,0.6703,0.6703,0.6703,,,0.6703,0.0,940.0
2002-07-15,0.664,0.664,0.6602,,,0.6602,1.0,941.0
2002-07-16,0.6743,0.6743,0.6743,,,0.6743,0.0,941.0
2002-07-17,0.6721,0.6721,0.6721,,,0.6721,0.0,941.0
2002-07-18,0.6664,0.6664,0.6664,,,0.6664,0.0,941.0
2002-07-19,0.6655,0.6671,0.6655,,,0.6671,1.0,942.0
2002-07-22,0.651,0.651,0.6487,,,0.6487,1.0,942.0
2002-07-23,0.6535,0.6535,0.6445,,,0.6445,151.0,940.0
2002-07-24,0.6547,0.6547,0.6547,,,0.6547,45.0,890.0
2002-07-25,0.6545,0.6547,0.6545,,,0.6547,29.0,894.0
2002-07-26,0.65,0.652,0.65,,,0.6514,11.0,900.0
2002-07-29,0.6525,0.6525,0.6511,,,0.6511,57.0,906.0
2002-07-30,0.6645,0.6645,0.6645,,,0.6645,5.0,906.0
2002-07-31,0.6557,0.6557,0.6557,,,0.6557,19.0,921.0
2002-08-01,0.651,0.654,0.6493,,,0.6493,2.0,920.0
2002-08-02,0.652,0.66,0.652,,,0.6572,28.0,947.0
2002-08-05,0.6537,0.6537,0.6537,,,0.6537,0.0,947.0
2002-08-06,0.665,0.665,0.6607,,,0.6607,58.0,973.0
2002-08-07,0.6525,0.6531,0.6525,,,0.6531,25.0,990.0
2002-08-08,0.657,0.657,0.657,,,0.657,27.0,996.0
2002-08-09,0.6552,0.6552,0.6552,,,0.6552,6.0,997.0
2002-08-12,0.6685,0.6732,0.6685,,,0.6732,6.0,1003.0
2002-08-13,0.6678,0.6678,0.6678,,,0.6678,55.0,1017.0
2002-08-14,0.67,0.67,0.6686,,,0.6686,6.0,1023.0
2002-08-15,0.687,0.687,0.687,,,0.687,68.0,1066.0
2002-08-16,0.679,0.6832,0.679,,,0.6832,20.0,1066.0
2002-08-19,0.6815,0.6815,0.6815,,,0.6815,43.0,1095.0
2002-08-20,0.6849,0.6849,0.6849,,,0.6849,20.0,1060.0
2002-08-21,0.683,0.6863,0.683,,,0.6863,87.0,1067.0
2002-08-22,0.682,0.682,0.682,,,0.682,10.0,1067.0
2002-08-23,0.681,0.6814,0.681,,,0.6814,7.0,1074.0
2002-08-26,0.6903,0.6903,0.6903,,,0.6903,85.0,1082.0
2002-08-27,0.6877,0.6877,0.6877,,,0.6877,0.0,1082.0
2002-08-28,0.687,0.687,0.687,,,0.687,0.0,1082.0
2002-08-29,0.69,0.695,0.69,,,0.695,32.0,1088.0
2002-08-30,0.694,0.694,0.694,,,0.694,50.0,1138.0
2002-09-03,0.6732,0.6732,0.6732,,,0.6732,60.0,1183.0
2002-09-04,0.6925,0.6925,0.687,,,0.687,29.0,1206.0
2002-09-05,0.6952,0.6952,0.6952,,,0.6952,76.0,1214.0
2002-09-06,0.6968,0.6968,0.6968,,,0.6968,19.0,1223.0
2002-09-09,0.699,0.699,0.6952,,,0.6952,8.0,1222.0
2002-09-10,0.6944,0.6944,0.6944,,,0.6944,0.0,1222.0
2002-09-11,0.6918,0.6918,0.6918,,,0.6918,106.0,1221.0
2002-09-12,0.6925,0.6925,0.6772,,,0.6772,430.0,1029.0
2002-09-13,0.6874,0.6874,0.6874,,,0.6874,154.0,1116.0
2002-09-16,0.6855,0.6855,0.6829,,,0.6829,131.0,1219.0
2002-09-17,0.674,0.6815,0.672,,,0.676,187.0,1339.0
2002-09-18,0.6855,0.6855,0.6786,,,0.6786,735.0,1513.0
2002-09-19,0.6778,0.6778,0.6778,,,0.6778,159.0,1478.0
2002-09-20,0.6704,0.6704,0.6704,,,0.6704,179.0,1528.0
2002-09-23,0.6735,0.682,0.6735,,,0.6756,740.0,1922.0
2002-09-24,0.6771,0.6771,0.6766,,,0.6766,393.0,2261.0
2002-09-25,0.6781,0.6781,0.6781,,,0.6781,177.0,2325.0
2002-09-26,0.6765,0.679,0.6765,,,0.679,14.0,2336.0
2002-09-27,0.6815,0.6815,0.6758,,,0.6758,144.0,2369.0
2002-09-30,0.682,0.682,0.6747,,,0.6747,101.0,2371.0
2002-10-01,0.691,0.691,0.6834,,,0.6834,13.0,2372.0
2002-10-02,0.6806,0.6806,0.6806,,,0.6806,310.0,2629.0
2002-10-03,0.679,0.679,0.6758,,,0.6758,128.0,2630.0
2002-10-04,0.6825,0.6825,0.6812,,,0.6812,36.0,2631.0
2002-10-07,0.682,0.6831,0.682,,,0.6831,168.0,2721.0
2002-10-08,0.68,0.685,0.68,,,0.6844,52.0,2701.0
2002-10-09,0.6863,0.6863,0.6863,,,0.6863,287.0,2775.0
2002-10-10,0.6835,0.6835,0.6808,,,0.6808,400.0,2884.0
2002-10-11,0.685,0.685,0.6829,,,0.6829,6.0,2880.0
2002-10-14,0.685,0.6897,0.685,,,0.6897,206.0,2953.0
2002-10-15,0.6838,0.6838,0.6838,,,0.6838,205.0,3145.0
2002-10-16,0.6885,0.6885,0.6836,,,0.6836,1259.0,4306.0
2002-10-17,0.691,0.691,0.6895,,,0.6895,522.0,4573.0
2002-10-18,0.687,0.687,0.6852,,,0.6852,135.0,4646.0
2002-10-21,0.673,0.675,0.6661,,,0.6661,116.0,4673.0
2002-10-22,0.672,0.672,0.67,,,0.6714,818.0,4457.0
2002-10-23,0.6725,0.6725,0.6713,,,0.6713,346.0,4473.0
