Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2012-04-27,0.0,0.0,0.0,,,3.3204,0.0,0.0
2012-04-30,0.0,0.0,0.0,,,3.3271,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,3.2393,0.0,0.0
2012-05-02,0.0,0.0,0.0,,,3.1735,0.0,0.0
2012-05-03,0.0,0.0,0.0,,,3.0242,0.0,0.0
2012-05-04,0.0,0.0,0.0,,,2.9736,0.0,0.0
2012-05-07,0.0,0.0,0.0,,,2.953,0.0,0.0
2012-05-08,0.0,0.0,0.0,,,2.9669,0.0,0.0
2012-05-09,0.0,0.0,0.0,,,2.9641,0.0,0.0
2012-05-10,0.0,0.0,0.0,,,2.947,0.0,0.0
2012-05-11,0.0,0.0,0.0,,,2.9306,0.0,0.0
2012-05-14,0.0,0.0,0.0,,,2.9129,0.0,0.0
2012-05-15,0.0,0.0,0.0,,,2.9118,0.0,0.0
2012-05-16,0.0,0.0,0.0,,,2.8629,0.0,0.0
2012-05-17,0.0,0.0,0.0,,,2.8242,0.0,0.0
2012-05-18,0.0,0.0,0.0,,,2.8132,0.0,0.0
2012-05-21,0.0,0.0,0.0,,,2.837,0.0,0.0
2012-05-22,0.0,0.0,0.0,,,2.8344,0.0,0.0
2012-05-23,0.0,0.0,0.0,,,2.7224,0.0,0.0
2012-05-24,0.0,0.0,0.0,,,2.7399,0.0,0.0
2012-05-25,0.0,0.0,0.0,,,2.7491,0.0,0.0
2012-05-29,0.0,0.0,0.0,,,2.7362,0.0,0.0
2012-05-30,0.0,0.0,0.0,,,2.7004,0.0,0.0
2012-05-31,0.0,0.0,0.0,,,2.675,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,2.6342,0.0,0.0
2012-06-04,0.0,0.0,0.0,,,2.6433,0.0,0.0
2012-06-05,0.0,0.0,0.0,,,2.6367,0.0,0.0
2012-06-06,0.0,0.0,0.0,,,2.6972,0.0,0.0
2012-06-07,0.0,0.0,0.0,,,2.6914,0.0,0.0
2012-06-08,0.0,0.0,0.0,,,2.702,0.0,0.0
2012-06-11,0.0,0.0,0.0,,,2.6902,0.0,0.0
2012-06-12,0.0,0.0,0.0,,,2.6857,0.0,0.0
2012-06-13,0.0,0.0,0.0,,,2.6738,0.0,0.0
2012-06-14,0.0,0.0,0.0,,,2.6805,0.0,0.0
2012-06-15,0.0,0.0,0.0,,,2.6657,0.0,0.0
2012-06-18,0.0,0.0,0.0,,,2.6397,0.0,0.0
2012-06-19,0.0,0.0,0.0,,,2.632,0.0,0.0
2012-06-20,0.0,0.0,0.0,,,2.5935,0.0,0.0
2012-06-21,0.0,0.0,0.0,,,2.5682,0.0,0.0
2012-06-22,0.0,2.5832,0.0,,,2.5823,0.0,0.0
2012-06-25,0.0,0.0,0.0,,,2.5772,0.0,0.0
2012-06-26,0.0,0.0,0.0,,,2.5997,0.0,0.0
2012-06-27,0.0,0.0,0.0,,,2.5994,0.0,0.0
2012-06-28,0.0,0.0,0.0,,,2.5599,0.0,0.0
2012-06-29,0.0,2.5832,0.0,,,2.7097,0.0,0.0
2012-07-02,0.0,0.0,0.0,,,2.6675,0.0,0.0
2012-07-03,0.0,0.0,0.0,,,2.7321,0.0,0.0
2012-07-05,0.0,0.0,0.0,,,2.7216,0.0,0.0
2012-07-06,0.0,0.0,0.0,,,2.6625,0.0,0.0
2012-07-09,0.0,0.0,0.0,,,2.6938,0.0,0.0
2012-07-10,0.0,0.0,0.0,,,2.6545,0.0,0.0
2012-07-11,0.0,0.0,0.0,,,2.7004,0.0,0.0
2012-07-12,0.0,0.0,0.0,,,2.7098,0.0,0.0
2012-07-13,0.0,0.0,0.0,,,2.7103,0.0,0.0
2012-07-16,0.0,0.0,0.0,,,2.7464,0.0,0.0
2012-07-17,0.0,0.0,0.0,,,2.7497,0.0,0.0
2012-07-18,0.0,0.0,0.0,,,2.7595,0.0,0.0
2012-07-19,0.0,0.0,0.0,,,2.7935,0.0,0.0
2012-07-20,0.0,0.0,0.0,,,2.7713,0.0,0.0
2012-07-23,0.0,0.0,0.0,,,2.6919,0.0,0.0
2012-07-24,0.0,0.0,0.0,,,2.7038,0.0,0.0
2012-07-25,0.0,0.0,0.0,,,2.7449,0.0,0.0
2012-07-26,0.0,0.0,0.0,,,2.7546,0.0,0.0
2012-07-27,0.0,0.0,0.0,,,2.7768,0.0,0.0
2012-07-30,0.0,0.0,0.0,,,2.781,0.0,0.0
2012-07-31,0.0,0.0,0.0,,,2.7681,0.0,0.0
2012-08-01,0.0,0.0,0.0,,,2.7721,0.0,0.0
2012-08-02,0.0,0.0,0.0,,,2.7566,0.0,0.0
2012-08-03,0.0,0.0,0.0,,,2.8262,0.0,0.0
