Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.7745,0.0,0.0
2015-12-01,,,,,0.0288,1.8033,0.0,0.0
2015-12-02,,,,,0.0341,1.7692,0.0,0.0
2015-12-03,,,,,0.0363,1.8055,0.0,0.0
2015-12-04,,,,,0.0134,1.7921,0.0,0.0
2015-12-07,,,,,0.0312,1.7609,0.0,0.0
2015-12-08,,,,,0.0108,1.7717,0.0,0.0
2015-12-09,,,,,0.0016,1.7701,0.0,0.0
2015-12-10,,,,,0.0096,1.7605,0.0,0.0
2015-12-11,,,,,0.0223,1.7382,0.0,0.0
2015-12-14,,,,,0.0086,1.7296,0.0,0.0
2015-12-15,,,,,0.0042,1.7338,0.0,0.0
2015-12-16,,,,,0.0406,1.6932,0.0,0.0
2015-12-17,,,,,0.0102,1.683,0.0,0.0
2015-12-18,,,,,0.0071,1.6759,0.0,0.0
2015-12-21,,,,,0.009,1.6669,0.0,0.0
2015-12-22,,,,,0.0128,1.6541,0.0,0.0
2015-12-23,,,,,0.0181,1.6722,0.0,0.0
2015-12-24,,,,,0.0003,1.6725,0.0,0.0
2015-12-28,,,,,0.0213,1.6512,0.0,0.0
2015-12-29,,,,,0.0201,1.6713,0.0,0.0
2015-12-30,,,,,0.0302,1.6411,0.0,0.0
2015-12-31,,,,,0.0121,1.6532,0.0,0.0
2016-01-04,,,,,0.0054,1.6478,0.0,0.0
2016-01-05,,,,,0.0138,1.634,0.0,0.0
2016-01-06,,,,,0.0386,1.5954,0.0,0.0
2016-01-07,,,,,0.0147,1.5807,0.0,0.0
2016-01-08,,,,,0.0064,1.5743,0.0,0.0
2016-01-11,,,,,0.0373,1.537,0.0,0.0
2016-01-12,,,,,0.0317,1.5053,0.0,0.0
2016-01-13,,,,,0.0195,1.4858,0.0,0.0
2016-01-14,,,,,0.0021,1.4837,0.0,0.0
2016-01-15,,,,,0.0547,1.429,0.0,0.0
2016-01-19,,,,,0.0425,1.3865,0.0,0.0
2016-01-20,,,,,0.0366,1.3499,0.0,0.0
2016-01-21,,,,,0.0184,1.3683,0.0,0.0
2016-01-22,,,,,0.0729,1.4412,0.0,0.0
2016-01-25,,,,,0.0362,1.405,0.0,0.0
2016-01-26,,,,,0.0323,1.4373,0.0,0.0
2016-01-27,,,,,0.0355,1.4728,0.0,0.0
2016-01-28,,,,,0.0062,1.479,0.0,0.0
2016-01-29,,,,,0.0421,1.5211,0.0,0.0
2016-02-01,,,,,0.0387,1.4824,0.0,0.0
2016-02-02,,,,,0.0257,1.4567,0.0,0.0
2016-02-03,,,,,0.0495,1.5062,0.0,0.0
2016-02-04,,,,,0.0092,1.5154,0.0,0.0
2016-02-05,,,,,0.0128,1.5026,0.0,0.0
2016-02-08,,,,,0.0188,1.4838,0.0,0.0
2016-02-09,,,,,0.0596,1.4242,0.0,0.0
2016-02-10,,,,,0.003,1.4272,0.0,0.0
2016-02-11,,,,,0.0001,1.4271,0.0,0.0
2016-02-12,,,,,0.0691,1.4962,0.0,0.0
2016-02-16,,,,,0.0308,1.4654,0.0,0.0
2016-02-17,,,,,0.0485,1.5139,0.0,0.0
2016-02-18,,,,,0.0046,1.5093,0.0,0.0
2016-02-19,,,,,0.0274,1.4819,0.0,0.0
2016-02-22,,,,,0.0338,1.5157,0.0,0.0
2016-02-23,,,,,0.0243,1.4914,0.0,0.0
2016-02-24,,,,,0.0203,1.5117,0.0,0.0
2016-02-25,,,,,0.0009,1.5108,0.0,0.0
2016-02-26,,,,,0.0161,1.4947,0.0,0.0
2016-02-29,,,,,0.0271,1.5218,0.0,0.0
2016-03-01,,,,,0.0005,1.5213,0.0,0.0
2016-03-02,,,,,0.0034,1.5179,0.0,0.0
2016-03-03,,,,,0.0038,1.5141,0.0,0.0
2016-03-04,,,,,0.0331,1.5472,0.0,0.0
2016-03-07,,,,,0.0289,1.5761,0.0,0.0
2016-03-08,,,,,0.0295,1.5466,0.0,0.0
2016-03-09,,,,,0.0233,1.5699,0.0,0.0
2016-03-10,,,,,0.0189,1.551,0.0,0.0
2016-03-11,,,,,0.0051,1.5561,0.0,0.0
2016-03-14,,,,,0.0174,1.5387,0.0,0.0
2016-03-15,,,,,0.0134,1.5253,0.0,0.0
2016-03-16,,,,,0.0342,1.5595,0.0,0.0
2016-03-17,,,,,0.0082,1.5677,0.0,0.0
2016-03-18,,,,,0.0059,1.5618,0.0,0.0
2016-03-21,,,,,0.0115,1.5733,0.0,0.0
2016-03-22,,,,,0.0135,1.5868,0.0,0.0
2016-03-23,,,,,0.0305,1.5563,0.0,0.0
2016-03-24,,,,,0.0041,1.5522,0.0,0.0
2016-03-28,,,,,0.0104,1.5418,0.0,0.0
2016-03-29,,,,,0.0112,1.5306,0.0,0.0
2016-03-30,,,,,0.0112,1.5418,0.0,0.0
2016-03-31,,,,,0.0073,1.5491,0.0,0.0
2016-04-01,,,,,0.0405,1.5086,0.0,0.0
2016-04-04,,,,,0.0187,1.4899,0.0,0.0
2016-04-05,,,,,0.0055,1.4844,0.0,0.0
2016-04-06,,,,,0.0293,1.5137,0.0,0.0
2016-04-07,,,,,0.0139,1.4998,0.0,0.0
2016-04-08,,,,,0.051,1.5508,0.0,0.0
2016-04-11,,,,,0.014,1.5648,0.0,0.0
2016-04-12,,,,,0.0334,1.5982,0.0,0.0
2016-04-13,,,,,0.0058,1.5924,0.0,0.0
2016-04-14,,,,,0.0183,1.5741,0.0,0.0
2016-04-15,,,,,0.0288,1.5453,0.0,0.0
2016-04-18,,,,,0.0078,1.5375,0.0,0.0
2016-04-19,,,,,0.0226,1.5601,0.0,0.0
2016-04-20,,,,,0.0399,1.6,0.0,0.0
2016-04-21,,,,,0.0203,1.5797,0.0,0.0
2016-04-22,,,,,0.0205,1.6002,0.0,0.0
2016-04-25,,,,,0.0114,1.5888,0.0,0.0
2016-04-26,,,,,0.0277,1.6165,0.0,0.0
2016-04-27,,1.675,,1.675,0.0225,1.639,0.0,0.0
2016-04-28,,,,,0.0159,1.6549,0.0,0.0
2016-04-29,1.676,1.676,1.676,1.676,0.0128,1.6421,1.0,0.0
2016-05-02,,,,,0.0206,1.6215,0.0,1.0
2016-05-03,,,,,0.0087,1.6128,0.0,1.0
2016-05-04,,,,,0.0037,1.6165,0.0,1.0
2016-05-05,,,,,0.0071,1.6236,0.0,1.0
2016-05-06,,,,,0.0087,1.6323,0.0,1.0
2016-05-09,,,,,0.0267,1.6056,0.0,1.0
2016-05-10,,,,,0.0472,1.6528,0.0,1.0
2016-05-11,,,,,0.0389,1.6917,0.0,1.0
2016-05-12,,,,,0.0026,1.6891,0.0,1.0
2016-05-13,,,,,0.0162,1.6729,0.0,1.0
2016-05-16,,,,,0.0141,1.687,0.0,1.0
2016-05-17,,,,,0.011,1.698,0.0,1.0
2016-05-18,,,,,0.0027,1.7007,0.0,1.0
2016-05-19,,,,,0.0039,1.6968,0.0,1.0
2016-05-20,,,,,0.004,1.6928,0.0,1.0
2016-05-23,,,,,0.0004,1.6924,0.0,1.0
2016-05-24,,,,,0.0051,1.6975,0.0,1.0
2016-05-25,,,,,0.0222,1.7197,0.0,1.0
