Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1995-03-07,0.5064,0.5064,0.5064,,,0.5064,105.0,105.0
1995-03-08,0.5001,0.5001,0.5001,,,0.5001,0.0,105.0
1995-03-09,0.4992,0.4992,0.4992,,,0.4992,0.0,105.0
1995-03-10,0.4993,0.4993,0.4993,,,0.4993,0.0,105.0
1995-03-13,0.5036,0.5036,0.5036,,,0.5036,0.0,105.0
1995-03-14,0.4973,0.4973,0.4973,,,0.4973,0.0,105.0
1995-03-15,0.5032,0.5032,0.5032,,,0.5032,0.0,105.0
1995-03-16,0.5024,0.5024,0.5024,,,0.5024,0.0,105.0
1995-03-17,0.5029,0.5029,0.5029,,,0.5029,0.0,105.0
1995-03-20,0.5035,0.5035,0.5035,,,0.5035,0.0,105.0
1995-03-21,0.5018,0.5018,0.5018,,,0.5018,0.0,105.0
1995-03-22,0.5115,0.5115,0.5115,,,0.5115,0.0,105.0
1995-03-23,0.5057,0.5057,0.5057,,,0.5057,0.0,105.0
1995-03-24,0.501,0.501,0.501,,,0.501,0.0,105.0
1995-03-27,0.5074,0.5074,0.5074,,,0.5074,0.0,105.0
1995-03-28,0.5085,0.5085,0.5085,,,0.5085,50.0,105.0
1995-03-29,0.5063,0.5063,0.5063,,,0.5063,25.0,130.0
1995-03-30,0.5073,0.5073,0.5073,,,0.5073,0.0,130.0
1995-03-31,0.5088,0.5088,0.5088,,,0.5088,0.0,130.0
1995-04-03,0.5067,0.5067,0.5067,,,0.5067,0.0,130.0
1995-04-04,0.5101,0.5101,0.5101,,,0.5101,0.0,130.0
1995-04-05,0.5115,0.5115,0.5115,,,0.5115,65.0,195.0
1995-04-06,0.5198,0.5198,0.5198,,,0.5198,35.0,230.0
1995-04-07,0.5172,0.5172,0.5172,,,0.5172,100.0,330.0
1995-04-10,0.5155,0.5155,0.5155,,,0.5155,0.0,330.0
1995-04-11,0.5205,0.5205,0.5205,,,0.5205,0.0,330.0
1995-04-12,0.5177,0.5177,0.5177,,,0.5177,20.0,344.0
1995-04-13,0.5078,0.5078,0.5078,,,0.5078,0.0,344.0
1995-04-17,0.5198,0.5198,0.5198,,,0.5198,0.0,344.0
1995-04-18,0.5171,0.5171,0.5171,,,0.5171,0.0,344.0
1995-04-19,0.5175,0.5175,0.5175,,,0.5175,0.0,344.0
1995-04-20,0.5149,0.5149,0.5149,,,0.5149,0.0,344.0
1995-04-21,0.518,0.518,0.518,,,0.518,0.0,344.0
1995-04-24,0.5124,0.5124,0.5124,,,0.5124,0.0,344.0
1995-04-25,0.5141,0.5141,0.5141,,,0.5141,0.0,344.0
1995-04-26,0.5117,0.5117,0.5117,,,0.5117,0.0,344.0
1995-04-27,0.5171,0.5171,0.5171,,,0.5171,0.0,344.0
1995-04-28,0.5161,0.5161,0.5161,,,0.5161,0.0,344.0
1995-05-01,0.5147,0.5147,0.5147,,,0.5147,0.0,344.0
1995-05-02,0.5087,0.5087,0.5087,,,0.5087,0.0,344.0
1995-05-03,0.508,0.508,0.508,,,0.508,0.0,344.0
1995-05-04,0.5174,0.5174,0.5174,,,0.5174,0.0,344.0
1995-05-05,0.5168,0.5168,0.5168,,,0.5168,0.0,344.0
1995-05-08,0.515,0.5161,0.515,,,0.5161,3.0,347.0
