Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2012-04-27,0.0,0.0,0.0,,,3.2357,0.0,0.0
2012-04-30,0.0,0.0,0.0,,,3.2424,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,3.1846,2.0,0.0
2012-05-02,0.0,0.0,0.0,,,3.1398,25.0,0.0
2012-05-03,0.0,0.0,0.0,,,3.0925,0.0,25.0
2012-05-04,0.0,0.0,0.0,,,3.0344,0.0,25.0
2012-05-07,0.0,0.0,0.0,,,3.0108,0.0,25.0
2012-05-08,2.995,2.995,2.995,,,3.0217,1.0,25.0
2012-05-09,3.0127,3.0127,3.0127,,,3.0214,15.0,26.0
2012-05-10,3.0214,3.0214,3.0214,,,3.0048,2.0,41.0
2012-05-11,0.0,0.0,0.0,,,2.9884,0.0,42.0
2012-05-14,2.9825,2.9825,2.9825,,,2.9692,8.0,42.0
2012-05-15,2.965,2.965,2.965,,,2.9681,1.0,47.0
2012-05-16,2.9465,2.9465,2.9465,,,2.9412,1.0,48.0
2012-05-17,0.0,0.0,0.0,,,2.901,0.0,49.0
2012-05-18,2.901,2.9155,2.901,,,2.8885,63.0,49.0
2012-05-21,0.0,0.0,0.0,,,2.9123,23.0,67.0
2012-05-22,0.0,0.0,0.0,,,2.9097,7.0,73.0
2012-05-23,0.0,0.0,0.0,,,2.8677,1.0,79.0
2012-05-24,0.0,0.0,0.0,,,2.8757,0.0,80.0
2012-05-25,0.0,0.0,0.0,,,2.8849,0.0,80.0
2012-05-29,0.0,0.0,0.0,,,2.868,0.0,80.0
2012-05-30,2.858,2.858,2.8225,,,2.8167,6.0,80.0
2012-05-31,2.8117,2.82,2.8055,,,2.7833,7.0,81.0
2012-06-01,2.736,2.736,2.72,,,2.7235,50.0,81.0
2012-06-04,2.7185,2.7285,2.716,,,2.7236,5.0,98.0
2012-06-05,2.726,2.726,2.726,,,2.718,6.0,103.0
2012-06-06,0.0,0.0,0.0,,,2.7605,10.0,104.0
2012-06-07,0.0,0.0,0.0,,,2.7532,89.0,114.0
2012-06-08,2.726,2.73,2.726,,,2.7528,24.0,125.0
2012-06-11,2.7535,2.7535,2.737,,,2.7225,16.0,135.0
2012-06-12,2.7285,2.7285,2.7285,,,2.7125,93.0,136.0
2012-06-13,0.0,0.0,0.0,,,2.7016,2.0,146.0
2012-06-14,0.0,0.0,0.0,,,2.7165,52.0,148.0
2012-06-15,2.731,2.731,2.725,,,2.7193,62.0,195.0
2012-06-18,2.69,2.69,2.69,,,2.6933,32.0,185.0
2012-06-19,2.6833,2.685,2.6833,,,2.6947,53.0,163.0
2012-06-20,2.6791,2.6791,2.6547,,,2.6553,60.0,171.0
2012-06-21,2.634,2.634,2.63,,,2.613,348.0,198.0
2012-06-22,2.613,2.613,2.613,,,2.6265,68.0,275.0
2012-06-25,0.0,0.0,0.0,,,2.6204,7.0,321.0
2012-06-26,0.0,0.0,0.0,,,2.6436,47.0,327.0
2012-06-27,0.0,0.0,0.0,,,2.6449,11.0,328.0
2012-06-28,2.605,2.605,2.605,,,2.6068,21.0,329.0
