Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2012-12-03,0.0,0.0,0.0,,,2.8385,0.0,0.0
2012-12-04,0.0,0.0,0.0,,,2.8091,0.0,0.0
2012-12-05,0.0,0.0,0.0,,,2.7893,0.0,0.0
2012-12-06,0.0,0.0,0.0,,,2.7562,0.0,0.0
2012-12-07,0.0,0.0,0.0,,,2.7481,0.0,0.0
2012-12-10,0.0,0.0,0.0,,,2.739,0.0,0.0
2012-12-11,0.0,0.0,0.0,,,2.7481,0.0,0.0
2012-12-12,0.0,0.0,0.0,,,2.765,0.0,0.0
2012-12-13,0.0,0.0,0.0,,,2.7045,0.0,0.0
2012-12-14,0.0,0.0,0.0,,,2.7322,0.0,0.0
2012-12-17,0.0,0.0,0.0,,,2.7128,0.0,0.0
2012-12-18,0.0,0.0,0.0,,,2.7359,0.0,0.0
2012-12-19,0.0,0.0,0.0,,,2.7672,0.0,0.0
2012-12-20,0.0,0.0,0.0,,,2.7652,0.0,0.0
2012-12-21,0.0,0.0,0.0,,,2.7442,0.0,0.0
2012-12-24,0.0,0.0,0.0,,,2.7263,0.0,0.0
2012-12-26,0.0,0.0,0.0,,,2.7721,0.0,0.0
2012-12-27,0.0,0.0,0.0,,,2.7778,0.0,0.0
2012-12-28,0.0,0.0,0.0,,,2.7615,0.0,0.0
2012-12-31,0.0,0.0,0.0,,,2.7371,0.0,0.0
2013-01-02,0.0,0.0,0.0,,,2.7532,0.0,0.0
2013-01-03,0.0,0.0,0.0,,,2.7388,0.0,0.0
2013-01-04,0.0,0.0,0.0,,,2.7221,0.0,0.0
2013-01-07,0.0,0.0,0.0,,,2.73,0.0,0.0
2013-01-08,0.0,0.0,0.0,,,2.7546,0.0,0.0
2013-01-09,0.0,0.0,0.0,,,2.7585,0.0,0.0
2013-01-10,0.0,0.0,0.0,,,2.7613,0.0,0.0
2013-01-11,0.0,0.0,0.0,,,2.7373,0.0,0.0
2013-01-14,0.0,0.0,0.0,,,2.7607,0.0,0.0
2013-01-15,0.0,0.0,0.0,,,2.7206,0.0,0.0
2013-01-16,0.0,0.0,0.0,,,2.7227,0.0,0.0
2013-01-17,0.0,0.0,0.0,,,2.7389,0.0,0.0
2013-01-18,0.0,0.0,0.0,,,2.7518,0.0,0.0
2013-01-22,0.0,0.0,0.0,,,2.7557,0.0,0.0
2013-01-23,0.0,0.0,0.0,,,2.7545,0.0,0.0
2013-01-24,0.0,0.0,0.0,,,2.7663,0.0,0.0
2013-01-25,0.0,0.0,0.0,,,2.7518,0.0,0.0
2013-01-28,0.0,0.0,0.0,,,2.7613,0.0,0.0
2013-01-29,0.0,0.0,0.0,,,2.7782,0.0,0.0
2013-01-30,0.0,0.0,0.0,,,2.7861,0.0,0.0
2013-01-31,0.0,0.0,0.0,,,2.7983,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,2.812,0.0,0.0
2013-02-04,0.0,0.0,0.0,,,2.786,0.0,0.0
2013-02-05,0.0,0.0,0.0,,,2.7937,0.0,0.0
2013-02-06,0.0,0.0,0.0,,,2.8107,0.0,0.0
2013-02-07,0.0,0.0,0.0,,,2.8169,0.0,0.0
2013-02-08,0.0,0.0,0.0,,,2.8392,0.0,0.0
2013-02-11,0.0,0.0,0.0,,,2.8382,0.0,0.0
