Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1999-04-01,0.4582,0.4582,0.4582,,,0.4582,0.0,0.0
1999-04-05,0.4654,0.4654,0.4654,,,0.4654,9.0,9.0
1999-04-06,0.4649,0.4649,0.4649,,,0.4649,0.0,9.0
1999-04-07,0.4456,0.4456,0.4456,,,0.4456,68.0,77.0
1999-04-08,0.4493,0.4493,0.4493,,,0.4493,2.0,79.0
1999-04-09,0.4595,0.4595,0.4595,,,0.4595,0.0,79.0
1999-04-12,0.4554,0.4554,0.4554,,,0.4554,0.0,79.0
1999-04-13,0.4626,0.4626,0.4626,,,0.4626,0.0,79.0
1999-04-14,0.4561,0.4561,0.4561,,,0.4561,230.0,225.0
1999-04-15,0.4583,0.4583,0.4583,,,0.4583,0.0,225.0
1999-04-16,0.4687,0.4687,0.4637,,,0.4637,0.0,225.0
1999-04-19,0.4687,0.4687,0.4687,,,0.4687,0.0,225.0
1999-04-20,0.4608,0.4608,0.4608,,,0.4608,0.0,225.0
1999-04-21,0.4666,0.4666,0.4666,,,0.4666,0.0,225.0
1999-04-22,0.4655,0.4655,0.4655,,,0.4655,0.0,225.0
1999-04-23,0.4597,0.4597,0.4597,,,0.4597,0.0,225.0
1999-04-26,0.4592,0.4592,0.4592,,,0.4592,25.0,250.0
1999-04-27,0.4621,0.4621,0.4621,,,0.4621,0.0,250.0
1999-04-28,0.4721,0.4721,0.4721,,,0.4721,0.0,250.0
1999-04-29,0.4731,0.4731,0.4731,,,0.4731,0.0,250.0
1999-04-30,0.4776,0.4776,0.4776,,,0.4776,0.0,250.0
1999-05-03,0.478,0.478,0.478,,,0.478,0.0,250.0
1999-05-04,0.477,0.477,0.477,,,0.477,0.0,250.0
1999-05-05,0.4824,0.4824,0.4824,,,0.4824,51.0,300.0
1999-05-06,0.4742,0.4742,0.4742,,,0.4742,143.0,400.0
1999-05-07,0.473,0.473,0.473,,,0.473,50.0,450.0
1999-05-10,0.4824,0.4824,0.4824,,,0.4824,0.0,450.0
1999-05-11,0.4831,0.4831,0.4831,,,0.4831,80.0,500.0
1999-05-12,0.4828,0.4828,0.4828,,,0.4828,0.0,500.0
1999-05-13,0.4863,0.4863,0.4863,,,0.4863,0.0,500.0
1999-05-14,0.4842,0.4842,0.4842,,,0.4842,0.0,500.0
1999-05-17,0.4755,0.4815,0.4755,,,0.4815,0.0,500.0
1999-05-18,0.473,0.473,0.468,,,0.468,2.0,500.0
1999-05-19,0.4709,0.4709,0.4709,,,0.4709,100.0,600.0
1999-05-20,0.4677,0.4677,0.4677,,,0.4677,66.0,650.0
1999-05-21,0.4726,0.4726,0.4726,,,0.4726,0.0,650.0
1999-05-24,0.468,0.468,0.468,,,0.468,0.0,650.0
1999-05-25,0.4701,0.4706,0.4701,,,0.4706,0.0,650.0
1999-05-26,0.4712,0.4712,0.4712,,,0.4712,0.0,650.0
1999-05-27,0.4717,0.4717,0.4674,,,0.4674,140.0,660.0
1999-05-28,0.4583,0.4583,0.4583,,,0.4583,0.0,660.0
1999-06-01,0.4587,0.4587,0.4587,,,0.4587,0.0,660.0
1999-06-02,0.4641,0.4641,0.4641,,,0.4641,0.0,660.0
1999-06-03,0.4617,0.4617,0.4617,,,0.4617,0.0,660.0
1999-06-04,0.4745,0.4745,0.4745,,,0.4745,0.0,650.0
1999-06-07,0.4789,0.4789,0.4789,,,0.4789,0.0,650.0
1999-06-08,0.4746,0.4746,0.4746,,,0.4746,0.0,650.0
1999-06-09,0.4777,0.4777,0.4777,,,0.4777,0.0,650.0
1999-06-10,0.475,0.475,0.475,,,0.475,0.0,650.0
1999-06-11,0.4892,0.4892,0.4892,,,0.4892,0.0,650.0
1999-06-14,0.4913,0.4913,0.4913,,,0.4913,0.0,650.0
1999-06-15,0.4952,0.4952,0.4952,,,0.4952,0.0,650.0
1999-06-16,0.4816,0.4816,0.4816,,,0.4816,0.0,650.0
1999-06-17,0.4924,0.4924,0.4924,,,0.4924,0.0,650.0
1999-06-18,0.4892,0.4892,0.4892,,,0.4892,0.0,650.0
1999-06-21,0.4881,0.4881,0.4881,,,0.4881,0.0,650.0
1999-06-22,0.4852,0.4852,0.4852,,,0.4852,0.0,650.0
1999-06-23,0.5017,0.5017,0.4977,,,0.4977,60.0,700.0
1999-06-24,0.4956,0.4956,0.4956,,,0.4956,0.0,700.0
1999-06-25,0.4959,0.4959,0.4959,,,0.4959,0.0,700.0
1999-06-28,0.4924,0.4924,0.4924,,,0.4924,0.0,700.0
1999-06-29,0.4972,0.4972,0.4972,,,0.4972,0.0,700.0
1999-06-30,0.5132,0.5132,0.5132,,,0.5132,0.0,700.0
1999-07-01,0.5087,0.5087,0.5087,,,0.5087,10.0,700.0
1999-07-02,0.5107,0.5107,0.5107,,,0.5107,10.0,700.0
1999-07-06,0.5089,0.5089,0.5089,,,0.5089,0.0,700.0
1999-07-07,0.5122,0.5122,0.5122,,,0.5122,0.0,700.0
