Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-12-02,2.5831,2.5831,2.5831,,,2.5831,0.0,0.0
2013-12-03,2.5983,2.5983,2.5983,,,2.5983,0.0,0.0
2013-12-04,2.5998,2.5998,2.5998,,,2.5998,0.0,0.0
2013-12-05,2.5955,2.5955,2.5955,,,2.5955,0.0,0.0
2013-12-06,2.601,2.601,2.601,,,2.601,0.0,0.0
2013-12-09,2.5862,2.5862,2.5862,,,2.5862,0.0,0.0
2013-12-10,2.5943,2.5943,2.5943,,,2.5943,0.0,0.0
2013-12-11,2.6198,2.6198,2.6198,,,2.6198,0.0,0.0
2013-12-12,2.5892,2.5892,2.5892,,,2.5892,0.0,0.0
2013-12-13,2.5832,2.5832,2.5832,,,2.5832,0.0,0.0
2013-12-16,2.5874,2.5874,2.5874,,,2.5874,0.0,0.0
2013-12-17,2.5684,2.5684,2.5684,,,2.5684,0.0,0.0
2013-12-18,2.5922,2.5922,2.5922,,,2.5922,0.0,0.0
2013-12-19,2.5846,2.5846,2.5846,,,2.5846,0.0,0.0
2013-12-20,2.6003,2.6003,2.6003,,,2.6003,0.0,0.0
2013-12-23,2.6006,2.6006,2.6006,,,2.6006,0.0,0.0
2013-12-24,2.6148,2.6148,2.6148,,,2.6148,0.0,0.0
2013-12-26,2.6162,2.6162,2.6162,,,2.6162,0.0,0.0
2013-12-27,2.6153,2.6153,2.6153,,,2.6153,0.0,0.0
2013-12-30,2.5781,2.5781,2.5781,,,2.5781,0.0,0.0
2013-12-31,2.5699,2.5699,2.5699,,,2.5699,0.0,0.0
2014-01-02,2.5229,2.5229,2.5229,,,2.5229,0.0,0.0
2014-01-03,2.5061,2.5061,2.5061,,,2.5061,0.0,0.0
2014-01-06,2.5257,2.5257,2.5257,,,2.5257,0.0,0.0
2014-01-07,2.52,2.52,2.52,,,2.52,0.0,0.0
2014-01-08,2.5174,2.5174,2.5174,,,2.5174,0.0,0.0
2014-01-09,2.5117,2.5117,2.5117,,,2.5117,0.0,0.0
2014-01-10,2.5249,2.5249,2.5249,,,2.5249,0.0,0.0
2014-01-13,2.5078,2.5078,2.5078,,,2.5078,0.0,0.0
2014-01-14,2.5168,2.5168,2.5168,,,2.5168,0.0,0.0
2014-01-15,2.5353,2.5353,2.5353,,,2.5353,0.0,0.0
2014-01-16,2.5168,2.5168,2.5168,,,2.5168,0.0,0.0
2014-01-17,2.5245,2.5245,2.5245,,,2.5245,0.0,0.0
2014-01-21,2.5291,2.5291,2.5291,,,2.5291,0.0,0.0
2014-01-22,2.5536,2.5536,2.5536,,,2.5536,0.0,0.0
2014-01-23,2.5391,2.5391,2.5391,,,2.5391,0.0,0.0
2014-01-24,2.5419,2.5419,2.5419,,,2.5419,0.0,0.0
2014-01-27,2.5302,2.5302,2.5302,,,2.5302,0.0,0.0
2014-01-28,2.5474,2.5474,2.5474,,,2.5474,0.0,0.0
2014-01-29,2.5487,2.5487,2.5487,,,2.5487,0.0,0.0
2014-01-30,2.5477,2.5477,2.5477,,,2.5477,0.0,0.0
2014-01-31,2.5201,2.5201,2.5201,,,2.5201,0.0,0.0
2014-02-03,2.5273,2.5273,2.5273,,,2.5273,0.0,0.0
2014-02-04,2.518,2.518,2.518,,,2.518,0.0,0.0
2014-02-05,2.5429,2.5429,2.5429,,,2.5429,0.0,0.0
2014-02-06,2.5521,2.5521,2.5521,,,2.5521,0.0,0.0
2014-02-07,2.5813,2.5813,2.5813,,,2.5813,0.0,0.0
2014-02-10,2.5656,2.5656,2.5656,,,2.5656,0.0,0.0
