Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-04-16,2.0098,2.0098,2.0098,,,2.0098,0.0,0.0
2007-04-17,1.9816,1.9816,1.9816,,,1.9816,0.0,0.0
2007-04-18,1.9946,1.9946,1.9946,,,1.9946,0.0,0.0
2007-04-19,1.9872,1.9872,1.9872,,,1.9872,0.0,0.0
2007-04-20,2.0015,2.0015,2.0015,,,2.0015,0.0,0.0
2007-04-23,2.045,2.045,2.045,,,2.045,0.0,0.0
2007-04-24,2.0105,2.0105,2.0105,,,2.0105,0.0,0.0
2007-04-25,2.0451,2.0451,2.0451,,,2.0451,0.0,0.0
2007-04-26,2.0228,2.0228,2.0228,,,2.0228,0.0,0.0
2007-04-27,2.0462,2.0462,2.0462,,,2.0462,0.0,0.0
2007-04-30,2.0308,2.0308,2.0308,,,2.0308,0.0,0.0
2007-05-01,2.0354,2.0354,2.0354,,,2.0354,0.0,0.0
2007-05-02,2.0191,2.0191,2.0191,,,2.0191,0.0,0.0
2007-05-03,2.0148,2.0148,2.0148,,,2.0148,1.0,0.0
2007-05-04,2.0099,2.0099,2.0099,,,2.0099,0.0,1.0
2007-05-07,1.9895,1.9895,1.9895,,,1.9895,0.0,0.0
2007-05-08,2.0029,2.0029,2.0029,,,2.0029,0.0,4.0
2007-05-09,1.9895,1.9895,1.9895,,,1.9895,3.0,0.0
2007-05-10,2.0,2.0,2.0,,,2.0,0.0,0.0
2007-05-11,2.02,2.02,2.0163,,,2.0163,1.0,0.0
2007-05-14,2.0135,2.0135,2.0135,,,2.0135,1.0,0.0
2007-05-15,2.0337,2.0337,2.0337,,,2.0337,1.0,11.0
2007-05-16,2.0275,2.0275,2.0275,,,2.0275,0.0,12.0
2007-05-17,2.0742,2.0742,2.0742,,,2.0742,0.0,12.0
2007-05-18,2.0742,2.0742,2.0742,,,2.0602,2.0,12.0
2007-05-21,2.0825,2.0825,2.0825,,,2.0825,4.0,0.0
2007-05-22,2.056,2.056,2.056,,,2.056,0.0,0.0
2007-05-23,2.0611,2.0611,2.0611,,,2.0611,0.0,24.0
2007-05-24,2.056,2.056,2.056,,,2.056,0.0,24.0
2007-05-25,2.07,2.07,2.07,,,2.07,0.0,0.0
2007-05-29,2.07,2.07,2.07,,,2.07,0.0,0.0
2007-05-30,2.0333,2.0333,2.0333,,,2.0333,0.0,24.0
2007-05-31,2.0351,2.0351,2.0351,,,2.0351,0.0,24.0
2007-06-01,2.0618,2.0618,2.0618,,,2.0618,0.0,24.0
2007-06-04,2.0776,2.0776,2.0776,,,2.0776,0.0,24.0
2007-06-05,2.07,2.07,2.07,,,2.07,1.0,0.0
2007-06-06,2.075,2.075,2.075,,,2.075,0.0,0.0
2007-06-07,2.093,2.093,2.093,,,2.093,0.0,27.0
2007-06-08,2.0425,2.0425,2.0328,,,2.0328,0.0,0.0
2007-06-11,2.0691,2.0691,2.0691,,,2.0691,0.0,31.0
2007-06-12,2.0559,2.0559,2.0559,,,2.0559,0.0,31.0
2007-06-13,2.066,2.066,2.066,,,2.066,0.0,0.0
2007-06-14,2.0946,2.0946,2.0946,,,2.0946,0.0,32.0
2007-06-15,2.1006,2.1006,2.1006,,,2.1006,1.0,32.0
2007-06-18,2.1217,2.1217,2.1217,,,2.1217,0.0,33.0
2007-06-19,2.1167,2.1167,2.1167,,,2.1167,0.0,33.0
2007-06-20,2.1078,2.1078,2.1078,,,2.1078,0.0,33.0
2007-06-21,2.094,2.094,2.094,,,2.094,0.0,0.0
2007-06-22,2.099,2.099,2.099,,,2.099,0.0,34.0
2007-06-25,2.1019,2.1019,2.1019,,,2.1019,0.0,34.0
2007-06-26,2.0588,2.0588,2.0588,,,2.0588,0.0,34.0
2007-06-27,2.0756,2.0756,2.0756,,,2.0756,0.0,34.0
2007-06-28,2.0666,2.0666,2.0666,,,2.0666,0.0,34.0
2007-06-29,2.0774,2.0774,2.0774,,,2.0774,0.0,0.0
2007-07-02,2.1052,2.1052,2.1052,,,2.1052,0.0,34.0
2007-07-03,2.11,2.11,2.11,,,2.11,1.0,34.0
2007-07-05,2.1263,2.1263,2.1263,,,2.1263,0.0,34.0
2007-07-06,2.1313,2.1313,2.1313,,,2.1313,1.0,35.0
2007-07-09,2.1388,2.1388,2.1388,,,2.1388,0.0,34.0
2007-07-10,2.1588,2.1588,2.1588,,,2.1588,1.0,34.0
2007-07-11,2.15,2.15,2.15,,,2.15,1.0,36.0
2007-07-12,2.1422,2.1422,2.1422,,,2.1422,0.0,36.0
2007-07-13,2.1475,2.1475,2.1456,,,2.1456,1.0,38.0
2007-07-16,2.1081,2.1081,2.1081,,,2.1081,1.0,37.0
2007-07-17,2.0922,2.0922,2.0922,,,2.0922,0.0,38.0
2007-07-18,2.1306,2.1306,2.1306,,,2.1306,0.0,38.0
2007-07-19,2.129,2.129,2.129,,,2.129,0.0,38.0
2007-07-20,2.1217,2.1217,2.1217,,,2.1217,0.0,38.0
2007-07-23,2.1019,2.1019,2.1019,,,2.1019,0.0,38.0
2007-07-24,2.077,2.077,2.077,,,2.077,0.0,38.0
2007-07-25,2.1157,2.1157,2.1157,,,2.1157,0.0,38.0
2007-07-26,2.0826,2.0826,2.0826,,,2.0826,0.0,38.0
2007-07-27,2.1064,2.1064,2.1064,,,2.1064,5.0,45.0
2007-07-30,2.0911,2.0911,2.0911,,,2.0911,0.0,40.0
2007-07-31,2.1172,2.1172,2.1172,,,2.1172,0.0,40.0
2007-08-01,2.0944,2.0944,2.0944,,,2.0944,0.0,40.0
2007-08-02,2.105,2.105,2.105,,,2.1061,5.0,40.0
2007-08-03,2.082,2.082,2.082,,,2.082,6.0,56.0
2007-08-06,2.0113,2.0113,2.0113,,,2.0113,0.0,45.0
2007-08-07,2.0366,2.0366,2.0366,,,2.0366,0.0,45.0
2007-08-08,2.039,2.039,2.039,,,2.0273,7.0,45.0
2007-08-09,2.0415,2.0415,2.036,,,2.0367,6.0,50.0
2007-08-10,2.0147,2.0147,2.0147,,,2.0147,0.0,67.0
2007-08-13,2.048,2.048,2.048,,,2.0015,1.0,85.0
2007-08-14,2.0108,2.0108,2.0108,,,2.0108,0.0,62.0
2007-08-15,2.0369,2.0369,2.0369,,,2.0369,5.0,62.0
2007-08-16,1.9939,1.9939,1.9939,,,1.9939,0.0,67.0
2007-08-17,2.02,2.02,2.02,,,2.02,0.0,67.0
2007-08-20,2.0014,2.0014,2.0014,,,2.0014,0.0,67.0
2007-08-21,1.973,1.973,1.973,,,1.973,0.0,67.0
2007-08-22,1.9734,1.9734,1.9734,,,1.9734,0.0,67.0
2007-08-23,1.9849,1.9849,1.9849,,,1.9849,0.0,67.0
2007-08-24,2.0118,2.0118,2.0118,,,2.0118,0.0,67.0
2007-08-27,2.0257,2.0257,2.0257,,,2.0257,0.0,67.0
2007-08-28,2.0058,2.0058,2.0058,,,2.0058,0.0,67.0
2007-08-29,2.029,2.029,2.029,,,2.029,0.0,67.0
2007-08-30,2.0141,2.0141,2.0141,,,2.0141,0.0,67.0
2007-08-31,2.0244,2.0244,2.0244,,,2.0244,0.0,67.0
2007-09-04,2.0405,2.0405,2.0405,,,2.0405,0.0,67.0
2007-09-05,2.0449,2.0449,2.0449,,,2.0449,0.0,67.0
2007-09-06,2.0658,2.0658,2.0658,,,2.0658,0.0,67.0
2007-09-07,2.0707,2.0707,2.0707,,,2.0707,0.0,67.0
2007-09-10,2.0851,2.0851,2.0851,,,2.0851,0.0,67.0
2007-09-11,2.0922,2.0922,2.0922,,,2.0922,0.0,67.0
2007-09-12,2.1271,2.1271,2.1271,,,2.1271,0.0,77.0
2007-09-13,2.1195,2.1195,2.1195,,,2.1195,0.0,67.0
2007-09-14,2.1073,2.1073,2.1073,,,2.1073,0.0,0.0
2007-09-17,2.13,2.13,2.13,,,2.13,1.0,68.0
2007-09-18,2.126,2.126,2.126,,,2.126,7.0,73.0
2007-09-19,2.1488,2.1488,2.1488,,,2.1488,0.0,73.0
2007-09-20,2.1774,2.1774,2.1774,,,2.1774,0.0,73.0
2007-09-21,2.1841,2.1841,2.1841,,,2.1841,0.0,0.0
2007-09-24,2.1811,2.1811,2.1811,,,2.1811,0.0,73.0
2007-09-25,2.2,2.2,2.2,,,2.2,120.0,173.0
2007-09-26,2.1429,2.1429,2.1429,,,2.1429,0.0,173.0
2007-09-27,2.1869,2.1869,2.1869,,,2.1869,0.0,173.0
2007-09-28,2.1466,2.1466,2.1466,,,2.1466,120.0,173.0
2007-10-01,2.1445,2.1445,2.125,,,2.1282,0.0,173.0
2007-10-02,2.1228,2.1228,2.1228,,,2.1228,40.0,203.0
2007-10-03,2.1317,2.1317,2.1317,,,2.1317,0.0,203.0
2007-10-04,2.1763,2.1763,2.1763,,,2.1763,1.0,204.0
2007-10-05,2.1745,2.1745,2.1745,,,2.1745,50.0,254.0
2007-10-08,2.1375,2.1375,2.1271,,,2.1271,0.0,254.0
2007-10-09,2.1525,2.1525,2.1453,,,2.1453,5.0,259.0
2007-10-10,2.1697,2.1697,2.1697,,,2.1697,17.0,276.0
2007-10-11,2.1975,2.1975,2.1903,,,2.1903,0.0,276.0
2007-10-12,2.1919,2.1919,2.1919,,,2.1919,1.0,277.0
2007-10-15,2.2382,2.2382,2.2382,,,2.2382,0.0,277.0
2007-10-16,2.23,2.2572,2.23,,,2.2572,1.0,278.0
2007-10-17,2.2354,2.2354,2.2354,,,2.2354,2.0,278.0
2007-10-18,2.2653,2.2653,2.2653,,,2.2653,25.0,280.0
2007-10-19,2.2605,2.2605,2.2549,,,2.2549,0.0,280.0
2007-10-22,2.2401,2.2401,2.2401,,,2.2401,4.0,284.0
2007-10-23,2.2355,2.236,2.2355,,,2.236,0.0,284.0
2007-10-24,2.2778,2.2778,2.2778,,,2.2778,14.0,285.0
2007-10-25,2.3327,2.3327,2.3327,,,2.3327,27.0,299.0
2007-10-26,2.3327,2.3545,2.3327,,,2.3545,25.0,324.0
2007-10-29,2.3825,2.3897,2.3825,,,2.3897,6.0,318.0
2007-10-30,2.3458,2.3458,2.3458,,,2.3458,1.0,319.0
2007-10-31,2.4063,2.4063,2.4063,,,2.4063,0.0,319.0
2007-11-01,2.3868,2.3868,2.3868,,,2.3868,28.0,347.0
2007-11-02,2.4296,2.4296,2.4296,,,2.4296,0.0,347.0
2007-11-05,2.4075,2.4075,2.3959,,,2.3959,12.0,347.0
2007-11-06,2.4383,2.4383,2.4383,,,2.4383,3.0,350.0
