Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2012-12-03,0.0,0.0,0.0,,,2.8445,0.0,0.0
2012-12-04,0.0,0.0,0.0,,,2.8151,0.0,0.0
2012-12-05,0.0,0.0,0.0,,,2.7953,0.0,0.0
2012-12-06,0.0,0.0,0.0,,,2.7622,0.0,0.0
2012-12-07,0.0,0.0,0.0,,,2.7541,0.0,0.0
2012-12-10,0.0,0.0,0.0,,,2.745,0.0,0.0
2012-12-11,0.0,0.0,0.0,,,2.7541,0.0,0.0
2012-12-12,0.0,0.0,0.0,,,2.771,0.0,0.0
2012-12-13,0.0,0.0,0.0,,,2.7105,0.0,0.0
2012-12-14,0.0,0.0,0.0,,,2.7382,0.0,0.0
2012-12-17,0.0,0.0,0.0,,,2.7188,0.0,0.0
2012-12-18,0.0,0.0,0.0,,,2.7419,0.0,0.0
2012-12-19,0.0,0.0,0.0,,,2.7732,0.0,0.0
2012-12-20,0.0,0.0,0.0,,,2.7712,0.0,0.0
2012-12-21,0.0,0.0,0.0,,,2.7502,0.0,0.0
2012-12-24,0.0,0.0,0.0,,,2.7323,0.0,0.0
2012-12-26,0.0,0.0,0.0,,,2.7781,0.0,0.0
2012-12-27,0.0,0.0,0.0,,,2.7838,0.0,0.0
2012-12-28,0.0,0.0,0.0,,,2.7675,0.0,0.0
2012-12-31,0.0,0.0,0.0,,,2.7431,0.0,0.0
2013-01-02,0.0,0.0,0.0,,,2.7592,0.0,0.0
2013-01-03,0.0,0.0,0.0,,,2.7448,0.0,0.0
2013-01-04,0.0,0.0,0.0,,,2.7281,0.0,0.0
2013-01-07,0.0,0.0,0.0,,,2.736,0.0,0.0
2013-01-08,0.0,0.0,0.0,,,2.7606,0.0,0.0
2013-01-09,0.0,0.0,0.0,,,2.7645,0.0,0.0
2013-01-10,0.0,0.0,0.0,,,2.7673,0.0,0.0
2013-01-11,0.0,0.0,0.0,,,2.7433,0.0,0.0
2013-01-14,0.0,0.0,0.0,,,2.7667,0.0,0.0
2013-01-15,0.0,0.0,0.0,,,2.7266,0.0,0.0
