Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-01,,,,,0.0,1.8941,0.0,0.0
2016-12-02,,,,,0.021,1.9151,0.0,0.0
2016-12-05,,,,,0.0068,1.9083,0.0,0.0
2016-12-06,,,,,0.0359,1.8724,0.0,0.0
2016-12-07,,,,,0.0212,1.8512,0.0,0.0
2016-12-08,,,,,0.0088,1.8424,0.0,0.0
2016-12-09,,,,,0.0001,1.8425,0.0,0.0
2016-12-12,,,,,0.0117,1.8542,0.0,0.0
2016-12-13,,,,,,1.8542,0.0,0.0
2016-12-14,,,,,0.0233,1.8309,0.0,0.0
2016-12-15,,,,,0.0029,1.8338,0.0,0.0
2016-12-16,,,,,0.0193,1.8531,0.0,0.0
2016-12-19,,,,,0.0003,1.8528,0.0,0.0
2016-12-20,,,,,0.0121,1.8649,0.0,0.0
2016-12-21,,,,,0.0184,1.8465,0.0,0.0
2016-12-22,,,,,0.0026,1.8491,0.0,0.0
2016-12-23,,,,,0.0019,1.851,0.0,0.0
2016-12-27,,,,,0.0174,1.8684,0.0,0.0
2016-12-28,,,,,0.0088,1.8772,0.0,0.0
2016-12-29,,,,,0.0088,1.886,0.0,0.0
2016-12-30,,,,,0.0037,1.8897,0.0,0.0
2017-01-03,,,,,0.0319,1.8578,0.0,0.0
2017-01-04,,,,,0.0289,1.8867,0.0,0.0
2017-01-05,,,,,0.0048,1.8915,0.0,0.0
2017-01-06,,,,,0.0044,1.8959,0.0,0.0
2017-01-09,,,,,0.0444,1.8515,0.0,0.0
2017-01-10,,,,,0.028,1.8235,0.0,0.0
2017-01-11,,,,,0.0244,1.8479,0.0,0.0
2017-01-12,,,,,0.0049,1.8528,0.0,0.0
2017-01-13,,,,,0.0181,1.8347,0.0,0.0
2017-01-17,,,,,0.0033,1.838,0.0,0.0
2017-01-18,,,,,0.0235,1.8145,0.0,0.0
2017-01-19,,,,,0.0057,1.8202,0.0,0.0
2017-01-20,,,,,0.026,1.8462,0.0,0.0
2017-01-23,,,,,0.0116,1.8346,0.0,0.0
2017-01-24,,,,,0.0026,1.8372,0.0,0.0
2017-01-25,,,,,0.0263,1.8109,0.0,0.0
2017-01-26,,,,,0.0117,1.8226,0.0,0.0
2017-01-27,,,,,0.0246,1.798,0.0,0.0
2017-01-30,,,,,0.0078,1.7902,0.0,0.0
2017-01-31,,,,,0.0042,1.7944,0.0,0.0
2017-02-01,,,,,0.025,1.8194,0.0,0.0
2017-02-02,,,,,0.015,1.8044,0.0,0.0
2017-02-03,,,,,0.0137,1.8181,0.0,0.0
2017-02-06,,,,,0.0207,1.7974,0.0,0.0
2017-02-07,,,,,0.0106,1.7868,0.0,0.0
2017-02-08,,,,,0.0085,1.7953,0.0,0.0
2017-02-09,,,,,0.0085,1.8038,0.0,0.0
2017-02-10,,,,,0.008,1.8118,0.0,0.0
2017-02-13,,,,,0.0276,1.7842,0.0,0.0
2017-02-14,,,,,0.0056,1.7898,0.0,0.0
2017-02-15,,,,,0.005,1.7848,0.0,0.0
2017-02-16,,,,,0.0037,1.7811,0.0,0.0
2017-02-17,,,,,0.0022,1.7833,0.0,0.0
2017-02-21,,,,,0.0177,1.7656,0.0,0.0
2017-02-22,,,,,0.0149,1.7507,0.0,0.0
2017-02-23,,,,,0.0155,1.7662,0.0,0.0
2017-02-24,,,,,0.0105,1.7557,0.0,0.0
2017-02-27,,,,,0.006,1.7617,0.0,0.0
2017-02-28,,,,,0.0014,1.7631,0.0,0.0
2017-03-01,,,,,0.0087,1.7544,0.0,0.0
2017-03-02,,,,,0.0295,1.7249,0.0,0.0
2017-03-03,,,,,0.0119,1.7368,0.0,0.0
2017-03-06,,,,,0.0049,1.7417,0.0,0.0
2017-03-07,,,,,0.0138,1.7555,0.0,0.0
2017-03-08,,,,,0.0448,1.7107,0.0,0.0
2017-03-09,,,,,0.0157,1.695,0.0,0.0
2017-03-10,,,,,0.0257,1.6693,0.0,0.0
2017-03-13,,,,,0.0007,1.67,0.0,0.0
2017-03-14,,,,,0.0016,1.6684,0.0,0.0
2017-03-15,,,,,0.0074,1.6758,0.0,0.0
2017-03-16,,,,,0.0067,1.6691,0.0,0.0
2017-03-17,,,,,0.002,1.6711,0.0,0.0
2017-03-20,,,,,0.0069,1.678,0.0,0.0
2017-03-21,,,,,0.0063,1.6717,0.0,0.0
2017-03-22,,,,,0.0006,1.6711,0.0,0.0
2017-03-23,,,,,0.0073,1.6638,0.0,0.0
2017-03-24,,,,,0.0024,1.6662,0.0,0.0
2017-03-27,,,,,0.007,1.6732,0.0,0.0
2017-03-28,,,,,0.0016,1.6716,0.0,0.0
2017-03-29,,,,,0.0184,1.69,0.0,0.0
2017-03-30,,,,,0.0127,1.7027,0.0,0.0
2017-03-31,,,,,0.0117,1.7144,0.0,0.0
2017-04-03,,,,,0.0021,1.7123,0.0,0.0
2017-04-04,,,,,0.023,1.7353,0.0,0.0
2017-04-05,,,,,0.0047,1.74,0.0,0.0
