Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2012-04-27,0.0,0.0,0.0,,,3.2462,0.0,0.0
2012-04-30,0.0,0.0,0.0,,,3.2529,0.0,0.0
2012-05-01,0.0,0.0,3.23,,,3.1651,2.0,0.0
2012-05-02,0.0,0.0,3.16,,,3.0993,250.0,1.0
2012-05-03,0.0,0.0,0.0,,,3.067,200.0,251.0
2012-05-04,0.0,0.0,0.0,,,3.0164,301.0,251.0
2012-05-07,2.997,2.997,2.997,,,2.9958,30.0,552.0
2012-05-08,2.9699,2.9699,2.9699,,,3.0097,60.0,578.0
2012-05-09,2.9981,3.0001,2.9979,,,3.0069,188.0,598.0
2012-05-10,0.0,3.0075,2.9825,,,2.9898,1.0,768.0
2012-05-11,0.0,0.0,0.0,,,2.9734,0.0,767.0
2012-05-14,2.9675,2.9675,2.9675,,,2.9557,36.0,767.0
2012-05-15,2.95,2.95,2.95,,,2.9546,7.0,779.0
2012-05-16,2.919,2.919,2.919,,,2.9257,102.0,778.0
2012-05-17,2.8852,2.8852,2.8852,,,2.887,40.0,731.0
2012-05-18,2.887,2.899,2.887,,,2.876,29.0,731.0
2012-05-21,2.9005,2.9005,2.9005,,,2.8998,11.0,731.0
2012-05-22,0.0,0.0,0.0,,,2.8972,192.0,731.0
2012-05-23,0.0,0.0,0.0,,,2.8552,10.0,896.0
2012-05-24,0.0,0.0,0.0,,,2.8647,50.0,892.0
2012-05-25,0.0,2.865,0.0,,,2.8739,0.0,942.0
2012-05-29,0.0,0.0,0.0,,,2.86,14.0,942.0
2012-05-30,2.85,2.85,2.8079,,,2.8112,259.0,941.0
2012-05-31,2.8081,2.8081,2.784,,,2.7793,179.0,1046.0
2012-06-01,2.75,2.75,2.715,,,2.7265,471.0,1158.0
2012-06-04,2.725,2.7298,2.715,,,2.7291,662.0,1390.0
2012-06-05,2.7216,2.7276,2.7165,,,2.7225,150.0,1825.0
2012-06-06,2.77,2.7714,2.767,,,2.7655,145.0,1896.0
2012-06-07,2.8,2.8,2.75,,,2.7597,348.0,2006.0
2012-06-08,2.732,2.7699,2.732,,,2.7603,184.0,2113.0
