Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-12-02,2.5771,2.5771,2.5771,,,2.5771,0.0,0.0
2013-12-03,2.5923,2.5923,2.5923,,,2.5923,0.0,0.0
2013-12-04,2.5938,2.5938,2.5938,,,2.5938,0.0,0.0
2013-12-05,2.5895,2.5895,2.5895,,,2.5895,0.0,0.0
2013-12-06,2.595,2.595,2.595,,,2.595,0.0,0.0
2013-12-09,2.5802,2.5802,2.5802,,,2.5802,0.0,0.0
2013-12-10,2.5883,2.5883,2.5883,,,2.5883,0.0,0.0
2013-12-11,2.6138,2.6138,2.6138,,,2.6138,0.0,0.0
2013-12-12,2.5832,2.5832,2.5832,,,2.5832,0.0,0.0
2013-12-13,2.5772,2.5772,2.5772,,,2.5772,0.0,0.0
2013-12-16,2.5814,2.5814,2.5814,,,2.5814,0.0,0.0
2013-12-17,2.5624,2.5624,2.5624,,,2.5624,0.0,0.0
2013-12-18,2.5862,2.5862,2.5862,,,2.5862,0.0,0.0
2013-12-19,2.5786,2.5786,2.5786,,,2.5786,0.0,0.0
2013-12-20,2.5943,2.5943,2.5943,,,2.5943,0.0,0.0
2013-12-23,2.5946,2.5946,2.5946,,,2.5946,0.0,0.0
2013-12-24,2.6088,2.6088,2.6088,,,2.6088,0.0,0.0
2013-12-26,2.6102,2.6102,2.6102,,,2.6102,0.0,0.0
2013-12-27,2.6093,2.6093,2.6093,,,2.6093,0.0,0.0
2013-12-30,2.5721,2.5721,2.5721,,,2.5721,0.0,0.0
2013-12-31,2.5639,2.5639,2.5639,,,2.5639,0.0,0.0
2014-01-02,2.5169,2.5169,2.5169,,,2.5169,0.0,0.0
2014-01-03,2.5001,2.5001,2.5001,,,2.5001,0.0,0.0
2014-01-06,2.5197,2.5197,2.5197,,,2.5197,0.0,0.0
2014-01-07,2.514,2.514,2.514,,,2.514,0.0,0.0
2014-01-08,2.5114,2.5114,2.5114,,,2.5114,0.0,0.0
2014-01-09,2.5057,2.5057,2.5057,,,2.5057,0.0,0.0
