Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1995-09-25,1.843,1.843,1.843,1.843,,1.843,0.0,740.0
1995-09-26,1.84,1.84,1.833,1.833,,1.833,50.0,740.0
1995-09-27,1.832,1.832,1.832,1.832,,1.832,0.0,740.0
1995-09-28,1.843,1.843,1.843,1.843,,1.843,0.0,740.0
1995-09-29,1.835,1.835,1.835,1.835,,1.835,0.0,740.0
1995-10-02,1.826,1.826,1.826,1.826,,1.826,0.0,740.0
1995-10-03,1.796,1.796,1.796,1.796,,1.796,0.0,740.0
1995-10-04,1.8,1.8,1.787,1.787,,1.787,10.0,740.0
1995-10-05,1.793,1.793,1.793,1.793,,1.793,0.0,740.0
1995-10-06,1.803,1.803,1.803,1.803,,1.803,0.0,740.0
1995-10-09,1.788,1.788,1.788,1.788,,1.788,0.0,740.0
1995-10-10,1.768,1.768,1.768,1.768,,1.768,0.0,740.0
1995-10-11,1.743,1.743,1.743,1.743,,1.743,0.0,740.0
1995-10-12,1.75,1.75,1.75,1.75,,1.75,50.0,790.0
1995-10-13,1.757,1.757,1.757,1.757,,1.757,0.0,740.0
1995-10-16,1.743,1.743,1.743,1.743,,1.743,0.0,740.0
1995-10-17,1.748,1.748,1.748,1.748,,1.748,0.0,740.0
1995-10-18,1.753,1.753,1.753,1.753,,1.753,0.0,740.0
1995-10-19,1.753,1.753,1.753,1.753,,1.753,0.0,740.0
1995-10-20,1.768,1.768,1.768,1.768,,1.768,0.0,740.0
1995-10-23,1.772,1.772,1.772,1.772,,1.772,0.0,740.0
1995-10-24,1.754,1.754,1.754,1.754,,1.754,0.0,740.0
1996-03-26,2.177,2.177,2.177,2.177,,2.177,75.0,1067.0
1996-03-27,2.213,2.213,2.213,2.213,,2.213,150.0,1167.0
1996-03-28,2.21,2.21,2.21,2.21,,2.21,0.0,1167.0
1996-03-29,2.171,2.171,2.171,2.171,,2.171,0.0,1167.0
1996-04-01,2.203,2.203,2.203,2.203,,2.203,0.0,1167.0
1996-04-02,2.217,2.217,2.217,2.217,,2.217,0.0,1167.0
1996-04-03,2.185,2.185,2.185,2.185,,2.185,0.0,1167.0
1996-04-04,2.195,2.195,2.195,2.195,,2.195,0.0,1167.0
1996-04-08,2.214,2.214,2.214,2.214,,2.214,0.0,1167.0
1996-04-09,2.208,2.208,2.208,2.208,,2.208,0.0,1167.0
1996-04-10,2.192,2.192,2.192,2.192,,2.192,0.0,1167.0
1996-04-11,2.197,2.197,2.197,2.197,,2.197,0.0,1167.0
1996-04-12,2.202,2.202,2.202,2.202,,2.202,0.0,1167.0
1996-04-15,2.196,2.196,2.196,2.196,,2.196,0.0,1167.0
1996-04-16,2.171,2.171,2.171,2.171,,2.171,0.0,1167.0
1996-04-17,2.155,2.165,2.155,2.159,,2.159,330.0,1167.0
1996-04-18,2.129,2.129,2.129,2.129,,2.129,0.0,1167.0
1996-04-19,2.092,2.092,2.092,2.092,,2.092,150.0,1129.0
1996-04-22,2.084,2.084,2.084,2.084,,2.084,0.0,1129.0
1996-04-23,2.04,2.071,2.04,2.071,,2.071,4.0,1130.0
1996-04-24,2.061,2.061,2.061,2.061,,2.061,0.0,1131.0
1996-09-25,1.895,1.895,1.895,1.895,,1.895,0.0,362.0
1996-09-26,1.895,1.895,1.895,1.895,,1.895,0.0,362.0
1996-09-27,1.902,1.902,1.902,1.902,,1.902,0.0,362.0
1996-09-30,1.905,1.905,1.905,1.905,,1.905,0.0,362.0
1996-10-01,1.905,1.905,1.905,1.905,,1.905,0.0,362.0
1996-10-02,1.906,1.906,1.906,1.906,,1.906,0.0,362.0
1996-10-03,1.937,1.937,1.937,1.937,,1.937,0.0,362.0
1996-10-04,1.953,1.953,1.953,1.953,,1.953,0.0,362.0
1996-10-07,1.953,1.953,1.953,1.953,,1.953,0.0,362.0
1996-10-08,1.963,1.963,1.963,1.963,,1.963,0.0,362.0
1996-10-09,1.978,1.978,1.978,1.978,,1.978,0.0,362.0
1996-10-10,1.966,1.966,1.966,1.966,,1.966,0.0,362.0
1996-10-11,1.958,1.958,1.958,1.958,,1.958,0.0,362.0
1996-10-14,1.952,1.952,1.952,1.952,,1.952,0.0,362.0
1996-10-15,1.968,1.968,1.968,1.968,,1.968,0.0,362.0
1996-10-16,1.959,1.959,1.959,1.959,,1.959,0.0,362.0
1996-10-17,1.959,1.959,1.959,1.959,,1.959,0.0,362.0
1996-10-18,1.959,1.959,1.959,1.959,,1.959,0.0,362.0
1996-10-21,1.965,1.965,1.965,1.965,,1.965,0.0,362.0
1996-10-22,1.956,1.956,1.956,1.956,,1.956,0.0,362.0
1996-10-23,1.966,1.966,1.966,1.966,,1.966,0.0,362.0
1996-10-24,1.931,1.931,1.931,1.931,,1.931,0.0,362.0
1996-10-25,1.952,1.952,1.952,1.952,,1.952,0.0,362.0
1997-03-25,2.347,2.347,2.347,2.347,,2.347,200.0,2363.0
1997-03-26,2.32,2.347,2.32,2.347,,2.347,2.0,2565.0
1997-03-27,2.37,2.37,2.37,2.37,,2.37,0.0,2365.0
1997-03-31,2.37,2.37,2.37,2.37,,2.37,0.0,2365.0
1997-04-01,2.37,2.37,2.37,2.37,,2.37,0.0,2365.0
1997-04-02,2.36,2.36,2.36,2.36,,2.36,15.0,2365.0
1997-04-03,2.39,2.39,2.39,2.39,,2.39,0.0,2365.0
1997-04-04,2.41,2.41,2.4,2.4,,2.4,11.0,2366.0
1997-04-07,2.398,2.398,2.398,2.398,,2.398,8.0,2366.0
1997-04-08,2.347,2.347,2.347,2.347,,2.347,0.0,2366.0
1997-04-09,2.319,2.319,2.319,2.319,,2.319,0.0,2366.0
1997-04-10,2.31,2.329,2.31,2.329,,2.329,7.0,2373.0
1997-04-11,2.345,2.345,2.345,2.345,,2.345,15.0,2358.0
1997-04-14,2.34,2.34,2.34,2.34,,2.34,0.0,2358.0
1997-04-15,2.34,2.34,2.34,2.34,,2.34,15.0,2358.0
1997-04-16,2.34,2.34,2.34,2.34,,2.34,45.0,2348.0
1997-04-17,2.333,2.333,2.333,2.333,,2.333,0.0,2348.0
1997-04-18,2.333,2.338,2.333,2.338,,2.338,50.0,2348.0
1997-04-21,2.345,2.345,2.345,2.345,,2.345,0.0,2348.0
1997-04-22,2.355,2.355,2.355,2.355,,2.355,15.0,2341.0
1997-04-23,2.37,2.37,2.355,2.355,,2.355,5.0,2342.0
1997-04-24,2.374,2.374,2.374,2.374,,2.374,0.0,2342.0
1997-04-25,2.359,2.359,2.359,2.359,,2.359,0.0,2342.0
1997-04-28,2.392,2.392,2.373,2.373,,2.373,6.0,293.0
1997-04-29,2.37,2.385,2.37,2.385,,2.385,1.0,292.0
1997-04-30,2.385,2.385,2.385,2.385,,2.385,0.0,292.0
1997-05-01,2.382,2.382,2.382,2.382,,2.382,0.0,292.0
1997-05-02,2.382,2.382,2.382,2.382,,2.382,0.0,292.0
1997-05-05,2.362,2.362,2.362,2.362,,2.362,5.0,297.0
1997-05-06,2.412,2.412,2.412,2.412,,2.412,30.0,323.0
1997-05-07,2.41,2.41,2.41,2.41,,2.41,0.0,423.0
1997-05-08,2.4,2.4,2.4,2.4,,2.4,0.0,423.0
1997-05-09,2.36,2.36,2.36,2.36,,2.36,0.0,423.0
1997-05-12,2.34,2.34,2.34,2.34,,2.34,0.0,423.0
1997-05-13,2.322,2.322,2.31,2.31,,2.31,114.0,412.0
1997-05-14,2.35,2.35,2.34,2.34,,2.34,30.0,381.0
1997-05-15,2.34,2.34,2.34,2.34,,2.34,0.0,381.0
1997-05-16,2.4,2.4,2.4,2.4,,2.4,0.0,381.0
1997-05-19,2.385,2.385,2.385,2.385,,2.385,0.0,381.0
1997-05-20,2.355,2.355,2.32,2.32,,2.32,30.0,386.0
1997-05-21,2.355,2.377,2.355,2.377,,2.377,20.0,366.0
1997-05-22,2.391,2.391,2.391,2.391,,2.391,0.0,366.0
1997-05-23,2.38,2.38,2.379,2.379,,2.379,3.0,365.0
1997-05-27,2.369,2.369,2.369,2.369,,2.369,0.0,365.0
1997-05-28,2.34,2.34,2.337,2.337,,2.337,10.0,370.0
1997-05-29,2.263,2.263,2.263,2.263,,2.263,0.0,91.0
1997-05-30,2.273,2.273,2.273,2.273,,2.273,2.0,93.0
1997-06-02,2.26,2.26,2.26,2.26,,2.26,0.0,93.0
1997-06-03,2.26,2.26,2.26,2.26,,2.26,30.0,93.0
1997-06-04,2.271,2.271,2.271,2.271,,2.271,0.0,93.0
1997-06-05,2.271,2.271,2.271,2.271,,2.271,0.0,93.0
1997-06-06,2.271,2.271,2.271,2.271,,2.271,3.0,96.0
1997-06-09,2.269,2.269,2.269,2.269,,2.269,0.0,96.0
1997-06-10,2.281,2.281,2.281,2.281,,2.281,0.0,96.0
1997-06-11,2.283,2.283,2.283,2.283,,2.283,0.0,96.0
1997-06-12,2.288,2.288,2.288,2.288,,2.288,0.0,96.0
1997-06-13,2.326,2.326,2.326,2.326,,2.326,500.0,551.0
1997-06-16,2.326,2.326,2.326,2.326,,2.326,4.0,554.0
