Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1991-12-23,1.925,1.945,1.915,,,1.94,155.0,155.0
1991-12-24,1.94,1.945,1.94,,,1.94,31.0,118.0
1991-12-26,1.935,1.935,1.935,,,1.935,42.0,183.0
1991-12-27,1.935,1.945,1.935,,,1.944,64.0,228.0
1991-12-30,1.95,1.955,1.95,,,1.955,17.0,244.0
1991-12-31,1.95,1.95,1.935,,,1.935,6.0,242.0
1992-01-02,1.915,1.925,1.9,,,1.9,215.0,428.0
1992-01-03,1.895,1.9,1.88,,,1.895,378.0,722.0
1992-01-06,1.895,1.905,1.891,,,1.9,121.0,765.0
1992-01-07,1.9,1.925,1.9,,,1.924,151.0,893.0
1992-01-08,1.935,1.96,1.935,,,1.96,309.0,1130.0
1992-01-09,1.95,1.955,1.945,,,1.95,331.0,1364.0
1992-01-10,1.93,1.93,1.91,,,1.92,210.0,1462.0
1992-01-13,1.92,1.955,1.92,,,1.95,166.0,1584.0
1992-01-14,1.95,1.965,1.95,,,1.955,331.0,1835.0
1992-01-15,1.955,1.97,1.955,,,1.965,145.0,1867.0
1992-01-16,1.975,1.975,1.955,,,1.955,165.0,1919.0
1992-01-17,1.945,1.945,1.92,,,1.935,420.0,2187.0
1992-01-20,1.93,1.93,1.91,,,1.92,26.0,2144.0
1992-01-21,1.92,1.925,1.916,,,1.92,110.0,2204.0
1992-01-22,1.91,1.92,1.905,,,1.915,339.0,2428.0
1992-01-23,1.915,1.92,1.895,,,1.897,773.0,2574.0
1992-01-24,1.895,1.915,1.875,,,1.91,298.0,2702.0
1992-01-27,1.94,1.95,1.93,,,1.935,523.0,2946.0
1992-01-28,1.915,1.915,1.898,,,1.9,362.0,3130.0
1992-01-29,1.89,1.905,1.89,,,1.905,137.0,3055.0
1992-01-30,1.9,1.91,1.9,,,1.908,71.0,3087.0
1992-01-31,1.909,1.91,1.9,,,1.908,147.0,3100.0
1992-02-03,1.906,1.91,1.905,,,1.905,62.0,3047.0
1992-02-04,1.901,1.91,1.9,,,1.91,187.0,3131.0
1992-02-05,1.91,1.91,1.905,,,1.905,95.0,3097.0
1992-02-06,1.9,1.91,1.9,,,1.91,104.0,3083.0
1992-02-07,1.91,1.91,1.901,,,1.905,45.0,3118.0
1992-02-10,1.91,1.91,1.9,,,1.905,31.0,3120.0
1992-02-11,1.905,1.905,1.895,,,1.9,132.0,3184.0
1992-02-12,1.895,1.898,1.88,,,1.895,213.0,3206.0
1992-02-13,1.885,1.885,1.883,,,1.885,37.0,3188.0
1992-02-14,1.881,1.881,1.872,,,1.875,127.0,3218.0
1992-02-18,1.865,1.87,1.84,,,1.84,238.0,3233.0
1992-02-19,1.84,1.86,1.825,,,1.86,333.0,3138.0
1992-02-20,1.87,1.873,1.85,,,1.853,132.0,3047.0
1992-02-21,1.855,1.87,1.855,,,1.865,42.0,3062.0
1992-02-24,1.885,1.885,1.865,,,1.869,54.0,3056.0
1992-02-25,1.865,1.88,1.865,,,1.878,113.0,3114.0
1992-02-26,1.875,1.877,1.875,,,1.877,3.0,3095.0
1992-02-27,1.87,1.875,1.865,,,1.875,64.0,3114.0
1992-02-28,1.88,1.9,1.871,,,1.9,234.0,3240.0
1992-03-02,1.9,1.9,1.887,,,1.89,108.0,3208.0
1992-03-03,1.88,1.88,1.875,,,1.88,205.0,3021.0
1992-03-04,1.88,1.91,1.88,,,1.89,326.0,3313.0
1992-03-05,1.9,1.9,1.885,,,1.885,55.0,3354.0
1992-03-06,1.885,1.894,1.885,,,1.894,130.0,3389.0
1992-03-09,1.896,1.9,1.895,,,1.9,47.0,3401.0
1992-03-10,1.9,1.905,1.895,,,1.895,77.0,3442.0
1992-03-11,1.897,1.897,1.894,,,1.894,35.0,3455.0
1992-03-12,1.895,1.9,1.89,,,1.89,190.0,3524.0
1992-03-13,1.895,1.895,1.894,,,1.895,99.0,3594.0
1992-03-16,1.9,1.91,1.9,,,1.905,98.0,3629.0
1992-03-17,1.91,1.91,1.89,,,1.89,148.0,3661.0
1992-03-18,1.89,1.895,1.89,,,1.895,210.0,3722.0
1992-03-19,1.89,1.895,1.881,,,1.881,156.0,3749.0
1992-03-20,1.89,1.89,1.87,,,1.88,136.0,3720.0
1992-03-23,1.89,1.895,1.89,,,1.89,38.0,3695.0
1992-03-24,1.895,1.9,1.89,,,1.895,185.0,3765.0
1992-03-25,1.92,1.96,1.92,,,1.96,570.0,4014.0
1992-03-26,1.97,1.97,1.925,,,1.93,474.0,4013.0
1992-03-27,1.925,1.93,1.91,,,1.912,205.0,4012.0
1992-03-30,1.918,1.93,1.915,,,1.92,123.0,3969.0
1992-03-31,1.92,1.935,1.92,,,1.934,99.0,3972.0
1992-04-01,1.945,1.965,1.94,,,1.945,344.0,4013.0
1992-04-02,1.94,1.97,1.94,,,1.941,293.0,4121.0
1992-04-03,1.95,1.955,1.935,,,1.941,159.0,4157.0
1992-04-06,1.945,1.95,1.94,,,1.95,44.0,4175.0
1992-04-07,1.96,1.96,1.945,,,1.949,127.0,4207.0
1992-04-08,1.96,1.97,1.955,,,1.955,111.0,4203.0
1992-04-09,1.965,1.975,1.945,,,1.945,271.0,4275.0
1992-04-10,1.945,1.945,1.92,,,1.926,1.0,4293.0
1992-04-13,1.93,1.934,1.925,,,1.925,7.0,4257.0
1992-04-14,1.927,1.93,1.92,,,1.93,90.0,4239.0
1992-04-15,1.928,1.95,1.928,,,1.95,198.0,4347.0
1992-04-16,1.955,1.96,1.94,,,1.95,330.0,4454.0
1992-04-20,1.96,1.96,1.945,,,1.955,396.0,4646.0
1992-04-21,1.963,1.98,1.96,,,1.98,534.0,4673.0
1992-04-22,2.0,2.01,1.988,,,1.999,667.0,4607.0
1992-04-23,2.0,2.005,1.97,,,2.0,295.0,4687.0
1992-04-24,1.975,2.0,1.955,,,1.97,298.0,4711.0
