Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,9.164,9.164,9.164,,,9.164,0.0,0.0
2008-02-20,9.144,9.144,9.144,,,9.144,0.0,0.0
2008-02-21,9.17,9.17,9.17,,,9.17,0.0,0.0
2008-02-22,9.192,9.192,9.192,,,9.192,0.0,0.0
2008-02-25,9.235,9.235,9.235,,,9.235,0.0,0.0
2008-02-26,9.405,9.405,9.405,,,9.405,0.0,0.0
2008-02-27,9.433,9.433,9.433,,,9.433,0.0,0.0
2008-02-28,9.542,9.542,9.542,,,9.542,2.0,2.0
2008-02-29,9.647,9.647,9.647,,,9.647,0.0,2.0
2008-03-03,9.778,9.778,9.778,,,9.778,0.0,2.0
2008-03-05,9.846,9.846,9.846,,,9.846,0.0,2.0
2008-03-06,9.822,9.822,9.822,,,9.822,0.0,2.0
2008-03-07,9.794,9.794,9.794,,,9.794,0.0,2.0
2008-03-10,0.0,9.749,9.749,,,9.749,0.0,2.0
2008-03-11,9.843,9.843,9.843,,,9.843,0.0,2.0
2008-03-12,9.962,9.962,9.962,,,9.962,11.0,13.0
2008-03-13,0.0,10.354,10.354,,,10.354,0.0,13.0
2008-03-14,10.326,10.326,10.326,,,10.326,0.0,13.0
2008-03-17,10.014,10.014,10.014,,,10.014,0.0,13.0
2008-03-18,10.071,10.071,10.071,,,10.071,0.0,13.0
2008-03-19,9.797,9.797,9.797,,,9.797,0.0,13.0
2008-03-20,9.527,9.527,9.527,,,9.527,0.0,13.0
2008-03-24,9.69,9.69,9.69,,,9.69,0.0,13.0
2008-03-25,9.871,9.871,9.871,,,9.871,0.0,13.0
2008-03-26,9.934,9.934,9.934,,,9.934,0.0,13.0
2008-03-27,9.899,9.899,9.899,,,9.899,0.0,13.0
2008-03-28,9.67,9.67,9.67,,,9.67,0.0,13.0
2008-03-31,9.588,9.588,9.588,,,9.588,0.0,13.0
2008-04-01,9.474,9.474,9.474,,,9.474,0.0,13.0
2008-04-02,9.602,9.602,9.602,,,9.602,0.0,13.0
2008-04-03,9.504,9.504,9.504,,,9.504,0.0,13.0
2008-04-04,9.602,9.602,9.602,,,9.602,0.0,13.0
2008-04-07,9.779,9.779,9.779,,,9.779,0.0,13.0
2008-04-08,9.734,9.734,9.734,,,9.734,0.0,13.0
2008-04-09,9.72,9.72,9.72,,,9.72,0.0,13.0
2008-04-10,9.585,9.585,9.585,,,9.585,0.0,13.0
2008-04-11,9.5,9.5,9.5,,,9.5,0.0,13.0
2008-04-14,9.478,9.478,9.478,,,9.478,0.0,13.0
2008-04-15,9.445,9.445,9.445,,,9.445,0.0,13.0
2008-04-16,9.441,9.441,9.441,,,9.441,0.0,13.0
2008-04-17,9.516,9.516,9.516,,,9.516,0.0,13.0
2008-04-18,9.727,9.727,9.727,,,9.727,0.0,13.0
2008-04-21,9.89,9.89,9.89,,,9.89,3.0,13.0
2008-04-22,9.979,9.979,9.979,,,9.979,0.0,13.0
2008-04-23,10.056,10.056,10.056,,,10.056,0.0,13.0
2008-04-24,9.965,9.965,9.965,,,9.965,0.0,13.0
2008-04-25,9.954,9.954,9.954,,,9.954,1.0,13.0
2008-04-28,9.979,9.979,9.979,,,9.979,0.0,13.0
2008-04-29,9.86,9.86,9.86,,,9.86,0.0,13.0
2008-04-30,9.875,9.875,9.875,,,9.875,0.0,13.0
2008-05-02,9.929,9.929,9.929,,,9.929,0.0,13.0
2008-05-05,9.92,9.92,9.92,,,9.92,0.0,13.0
2008-05-06,9.906,9.906,9.906,,,9.906,0.0,13.0
2008-05-07,9.947,9.947,9.947,,,9.947,0.0,13.0
2008-05-08,10.0,10.0,9.914,,,9.914,0.0,13.0
2008-05-09,9.895,9.895,9.895,,,9.895,2.0,15.0
2008-05-12,9.834,9.834,9.834,,,9.834,0.0,15.0
2008-05-13,9.85,9.85,9.85,,,9.85,0.0,15.0
2008-05-14,0.0,9.89,9.89,,,9.89,0.0,15.0
2008-05-15,9.938,9.938,9.938,,,9.938,0.0,15.0
2008-05-16,10.019,10.019,10.019,,,10.019,0.0,15.0
2008-05-19,10.386,10.386,10.386,,,10.386,0.0,15.0
2008-05-20,10.927,10.927,10.927,,,10.927,0.0,15.0
2008-05-21,11.154,11.154,11.154,,,11.154,0.0,15.0
2008-05-22,11.115,11.115,11.115,,,11.115,3.0,15.0
2008-05-23,11.064,11.064,11.064,,,11.064,0.0,15.0
2008-05-27,11.041,11.041,11.041,,,11.041,0.0,15.0
2008-05-28,11.022,11.022,11.022,,,11.022,0.0,15.0
2008-05-29,10.988,10.988,10.988,,,10.988,0.0,15.0
2008-05-30,11.042,11.042,11.042,,,11.042,0.0,15.0
2008-06-02,11.149,11.149,11.149,,,11.149,0.0,15.0
2008-06-03,11.231,11.231,11.231,,,11.231,0.0,15.0
2008-06-04,11.142,11.142,11.142,,,11.142,2.0,13.0
2008-06-05,11.015,11.015,11.015,,,11.015,0.0,13.0
2008-06-06,11.132,11.132,11.132,,,11.132,0.0,13.0
2008-06-09,11.344,11.344,11.344,,,11.344,0.0,13.0
2008-06-10,11.412,11.412,11.412,,,11.412,0.0,13.0
2008-06-11,11.575,11.575,11.575,,,11.575,0.0,13.0
2008-06-12,11.647,11.647,11.647,,,11.647,0.0,13.0
2008-06-13,11.648,11.648,11.648,,,11.648,0.0,13.0
2008-06-17,11.745,11.745,11.745,,,11.745,0.0,13.0
2008-06-18,11.776,11.776,11.776,,,11.776,0.0,13.0
2008-06-19,11.669,11.669,11.669,,,11.669,0.0,13.0
2008-06-20,11.72,11.72,11.72,,,11.72,0.0,13.0
2008-06-23,11.81,11.81,11.81,,,11.81,0.0,13.0
2008-06-24,11.851,11.851,11.851,,,11.851,0.0,13.0
2008-06-25,11.825,11.825,11.825,,,11.825,0.0,13.0
2008-06-26,11.911,11.911,11.911,,,11.911,0.0,13.0
