Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2011-02-01,0.0,7.111,7.111,,,7.111,0.0,30.0
2011-02-02,0.0,7.129,7.129,,,7.129,0.0,30.0
2011-02-03,0.0,7.138,7.138,,,7.138,0.0,30.0
2011-02-04,0.0,7.149,7.149,,,7.149,0.0,30.0
2011-02-07,0.0,7.179,7.161,,,7.161,0.0,30.0
2011-02-08,0.0,7.21,7.21,,,7.21,0.0,30.0
2011-02-09,0.0,7.205,7.205,,,7.205,0.0,30.0
2011-02-10,0.0,7.195,7.195,,,7.195,0.0,30.0
2011-02-11,0.0,7.185,7.185,,,7.185,0.0,30.0
2011-02-14,0.0,7.168,7.168,,,7.168,0.0,30.0
2011-02-15,0.0,7.226,7.226,,,7.226,0.0,30.0
2011-02-16,0.0,7.341,7.341,,,7.341,0.0,30.0
2011-02-17,0.0,7.371,7.371,,,7.371,0.0,30.0
2011-02-18,0.0,7.38,7.38,,,7.38,0.0,30.0
2011-02-22,0.0,7.415,7.415,,,7.415,0.0,30.0
2011-02-23,0.0,7.39,7.39,,,7.39,0.0,30.0
2011-02-24,0.0,7.365,7.365,,,7.365,0.0,30.0
2011-02-25,0.0,7.375,7.375,,,7.375,0.0,30.0
2011-02-28,0.0,7.385,7.385,,,7.385,0.0,30.0
2011-03-01,0.0,7.457,7.457,,,7.457,0.0,30.0
2011-03-02,0.0,7.51,7.51,,,7.51,0.0,30.0
2011-03-03,0.0,7.505,7.505,,,7.505,0.0,30.0
2011-03-04,0.0,7.64,7.64,,,7.64,0.0,30.0
2011-03-07,0.0,7.652,7.652,,,7.652,0.0,30.0
2011-03-08,0.0,7.646,7.646,,,7.646,0.0,30.0
2011-03-09,0.0,7.639,7.639,,,7.639,0.0,30.0
2011-03-10,0.0,7.646,7.646,,,7.646,0.0,30.0
2011-03-11,0.0,7.65,7.65,,,7.65,0.0,30.0
2011-03-14,0.0,7.707,7.707,,,7.707,0.0,30.0
2011-03-15,0.0,7.987,7.987,,,7.987,0.0,30.0
2011-03-16,0.0,7.992,7.992,,,7.992,0.0,30.0
2011-03-17,0.0,7.964,7.964,,,7.964,0.0,30.0
2011-03-18,0.0,7.908,7.908,,,7.908,0.0,30.0
2011-03-21,0.0,7.826,7.826,,,7.826,0.0,30.0
2011-03-23,0.0,7.894,7.894,,,7.894,0.0,30.0
2011-03-24,0.0,7.888,7.888,,,7.888,0.0,30.0
2011-03-25,0.0,7.986,7.986,,,7.986,0.0,30.0
2011-03-28,0.0,7.972,7.972,,,7.972,0.0,30.0
2011-03-29,0.0,7.928,7.928,,,7.928,0.0,30.0
2011-03-30,0.0,7.961,7.961,,,7.961,0.0,30.0
2011-03-31,0.0,8.041,8.041,,,8.041,0.0,30.0
2011-04-01,0.0,8.133,8.133,,,8.133,0.0,30.0
2011-04-04,0.0,8.154,8.154,,,8.154,0.0,30.0
2011-04-05,0.0,8.05,8.05,,,8.05,0.0,30.0
2011-04-06,0.0,8.052,8.052,,,8.052,0.0,30.0
2011-04-07,0.0,8.084,8.084,,,8.084,0.0,30.0
2011-04-08,0.0,8.211,8.211,,,8.211,0.0,30.0
2011-04-12,0.0,8.174,8.174,,,8.174,0.0,30.0
2011-04-13,0.0,8.136,8.136,,,8.136,0.0,30.0
2011-04-14,0.0,8.123,8.123,,,8.123,0.0,30.0
2011-04-15,0.0,8.153,8.153,,,8.153,0.0,30.0
2011-04-18,0.0,8.148,8.148,,,8.148,0.0,30.0
2011-04-19,0.0,8.115,8.115,,,8.115,0.0,30.0
2011-04-20,0.0,7.987,7.987,,,7.987,0.0,30.0
2011-04-21,0.0,7.911,7.911,,,7.911,0.0,30.0
2011-04-25,0.0,7.908,7.908,,,7.908,0.0,30.0
2011-04-26,0.0,7.937,7.937,,,7.937,0.0,30.0
2011-04-27,0.0,7.904,7.904,,,7.904,0.0,30.0
2011-04-28,0.0,7.906,7.906,,,7.906,0.0,30.0
2011-04-29,0.0,7.844,7.844,,,7.844,0.0,30.0
2011-05-02,0.0,7.866,7.866,,,7.866,0.0,30.0
2011-05-03,0.0,7.936,7.936,,,7.936,0.0,30.0
2011-05-04,0.0,7.975,7.975,,,7.975,0.0,30.0
2011-05-05,0.0,7.874,7.874,,,7.874,0.0,30.0
2011-05-06,0.0,7.775,7.775,,,7.775,0.0,30.0
2011-05-09,0.0,7.788,7.788,,,7.788,0.0,30.0
2011-05-10,0.0,7.864,7.864,,,7.864,0.0,30.0
2011-05-11,0.0,7.918,7.918,,,7.918,0.0,30.0
2011-05-12,0.0,7.927,7.927,,,7.927,0.0,30.0
2011-05-13,0.0,7.984,7.984,,,7.984,0.0,30.0
2011-05-16,0.0,7.979,7.979,,,7.979,0.0,30.0
2011-05-17,0.0,7.948,7.948,,,7.948,0.0,30.0
2011-05-18,0.0,7.962,7.962,,,7.962,0.0,30.0
2011-05-19,0.0,7.885,7.885,,,7.885,0.0,30.0
2011-05-20,0.0,7.932,7.932,,,7.932,0.0,30.0
2011-05-23,0.0,8.071,8.071,,,8.071,0.0,30.0
2011-05-24,0.0,7.994,7.994,,,7.994,0.0,30.0
2011-05-25,0.0,7.993,7.993,,,7.993,0.0,30.0
2011-05-26,0.0,7.963,7.963,,,7.963,0.0,30.0
2011-05-27,0.0,7.999,7.999,,,7.999,0.0,30.0
2011-05-31,0.0,7.869,7.869,,,7.869,0.0,30.0
2011-06-01,0.0,7.845,7.845,,,7.845,0.0,30.0
2011-06-02,0.0,7.714,7.714,,,7.714,0.0,30.0
2011-06-03,0.0,7.665,7.665,,,7.665,0.0,30.0
2011-06-06,0.0,7.609,7.609,,,7.609,0.0,30.0
2011-06-07,0.0,7.616,7.616,,,7.616,0.0,30.0
2011-06-08,0.0,7.632,7.632,,,7.632,0.0,30.0
2011-06-09,0.0,7.545,7.545,,,7.545,0.0,30.0
2011-06-10,0.0,7.549,7.549,,,7.549,0.0,30.0
2011-06-13,0.0,7.527,7.527,,,7.527,0.0,30.0
2011-06-14,0.0,7.646,7.646,,,7.646,0.0,30.0
2011-06-15,0.0,7.67,7.67,,,7.67,0.0,30.0
