Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-11-29,8.69,8.69,8.69,,,8.69,0.0,0.0
2007-11-30,8.644,8.644,8.644,,,8.644,0.0,0.0
2007-12-03,8.632,8.632,8.632,,,8.632,0.0,0.0
2007-12-04,8.661,8.661,8.661,,,8.661,0.0,0.0
2007-12-05,8.661,8.722,8.661,,,8.722,0.0,0.0
2007-12-06,8.718,8.718,8.718,,,8.718,6.0,6.0
2007-12-07,8.664,8.664,8.664,,,8.664,0.0,6.0
2007-12-10,8.691,8.691,8.691,,,8.691,0.0,6.0
2007-12-11,8.743,8.743,8.743,,,8.743,0.0,6.0
2007-12-12,8.812,8.812,8.812,,,8.812,15.0,21.0
2007-12-13,8.742,8.742,8.742,,,8.742,0.0,21.0
2007-12-14,8.704,8.704,8.704,,,8.704,0.0,21.0
2007-12-17,8.829,8.829,8.829,,,8.829,0.0,21.0
2007-12-18,8.835,8.835,8.835,,,8.835,10.0,31.0
2007-12-19,8.884,8.884,8.884,,,8.884,10.0,41.0
2007-12-20,8.832,8.832,8.832,,,8.832,0.0,41.0
2007-12-21,8.88,8.88,8.88,,,8.88,0.0,41.0
2007-12-24,8.877,8.877,8.877,,,8.877,0.0,41.0
2007-12-26,8.914,8.914,8.914,,,8.914,0.0,41.0
2007-12-27,8.97,8.97,8.97,,,8.97,0.0,41.0
2007-12-28,9.06,9.06,9.06,,,9.06,0.0,41.0
2007-12-31,9.023,9.023,9.023,,,9.023,0.0,41.0
2008-01-02,9.022,9.022,9.022,,,9.022,0.0,41.0
2008-01-03,8.813,8.813,8.813,,,8.813,0.0,41.0
2008-01-04,8.749,8.749,8.749,,,8.749,0.0,41.0
2008-01-07,8.733,8.733,8.733,,,8.733,0.0,41.0
2008-01-08,8.755,8.755,8.755,,,8.755,0.0,41.0
2008-01-09,8.742,8.742,8.742,,,8.742,0.0,41.0
2008-01-10,8.692,8.692,8.692,,,8.692,0.0,41.0
2008-01-11,0.0,8.725,8.725,,,8.725,15.0,56.0
2008-01-14,8.8,8.8,8.8,,,8.8,31.0,81.0
2008-01-15,8.839,8.839,8.839,,,8.839,37.0,117.0
2008-01-16,8.804,8.804,8.804,,,8.804,0.0,117.0
2008-01-17,8.79,8.79,8.76,,,8.76,0.0,117.0
2008-01-18,8.704,8.704,8.704,,,8.704,2.0,119.0
2008-01-22,8.649,8.649,8.649,,,8.649,15.0,134.0
2008-01-23,8.521,8.521,8.521,,,8.521,0.0,119.0
2008-01-24,8.512,8.512,8.512,,,8.512,0.0,119.0
2008-01-25,8.621,8.621,8.621,,,8.621,13.0,132.0
2008-01-28,8.584,8.584,8.584,,,8.584,44.0,159.0
2008-01-29,8.629,8.629,8.629,,,8.629,0.0,159.0
2008-01-30,8.646,8.646,8.646,,,8.646,0.0,159.0
2008-01-31,8.644,8.644,8.644,,,8.644,0.0,159.0
2008-02-01,8.584,8.584,8.584,,,8.584,0.0,159.0
2008-02-04,8.657,8.657,8.657,,,8.657,0.0,159.0
2008-02-05,8.682,8.682,8.682,,,8.682,0.0,159.0
2008-02-06,8.759,8.759,8.759,,,8.759,0.0,159.0
2008-02-07,8.805,8.805,8.805,,,8.805,0.0,159.0
2008-02-08,8.894,8.894,8.894,,,8.894,0.0,159.0
2008-02-11,8.928,8.928,8.928,,,8.928,27.0,168.0
2008-02-12,8.927,8.927,8.927,,,8.927,155.0,322.0
2008-02-13,8.946,8.946,8.946,,,8.946,0.0,323.0
2008-02-14,9.11,9.11,9.11,,,9.11,10.0,333.0
2008-02-15,9.049,9.049,9.049,,,9.049,0.0,333.0
2008-02-19,9.179,9.179,9.179,,,9.179,15.0,348.0
2008-02-20,9.159,9.159,9.159,,,9.159,0.0,348.0
2008-02-21,9.185,9.185,9.185,,,9.185,0.0,348.0
2008-02-22,9.207,9.207,9.207,,,9.207,0.0,348.0
2008-02-25,9.25,9.25,9.25,,,9.25,0.0,348.0
2008-02-26,9.41,9.41,9.41,,,9.41,0.0,348.0
2008-02-27,9.398,9.398,9.398,,,9.398,0.0,348.0
2008-02-28,9.507,9.507,9.507,,,9.507,0.0,348.0
2008-02-29,9.587,9.587,9.587,,,9.587,0.0,348.0
2008-03-03,9.683,9.683,9.683,,,9.683,0.0,348.0
2008-03-05,9.716,9.716,9.716,,,9.716,3.0,351.0
2008-03-06,9.716,9.716,9.677,,,9.677,3.0,353.0
2008-03-07,9.609,9.609,9.609,,,9.609,2.0,355.0
2008-03-10,0.0,9.549,9.549,,,9.549,0.0,355.0
2008-03-11,9.603,9.603,9.603,,,9.603,0.0,355.0
2008-03-12,9.692,9.692,9.692,,,9.692,16.0,366.0
2008-03-13,0.0,10.074,10.074,,,10.074,0.0,366.0
2008-03-14,10.011,10.011,10.011,,,10.011,2.0,366.0
2008-03-17,9.624,9.624,9.624,,,9.624,11.0,356.0
2008-03-18,9.681,9.681,9.681,,,9.681,0.0,356.0
2008-03-19,9.387,9.387,9.387,,,9.387,0.0,356.0
2008-03-20,9.112,9.112,9.112,,,9.112,5.0,357.0
2008-03-24,9.285,9.285,9.285,,,9.285,0.0,357.0
2008-03-25,9.536,9.536,9.536,,,9.536,0.0,357.0
2008-03-26,9.615,9.615,9.615,,,9.615,10.0,357.0
2008-03-27,9.58,9.58,9.58,,,9.58,0.0,357.0
2008-03-28,9.416,9.416,9.416,,,9.416,0.0,357.0
2008-03-31,9.398,9.398,9.398,,,9.398,5.0,353.0
2008-04-01,9.234,9.234,9.234,,,9.234,0.0,353.0
2008-04-02,9.382,9.382,9.382,,,9.382,0.0,353.0
2008-04-03,9.244,9.244,9.244,,,9.244,0.0,353.0
2008-04-04,9.332,9.332,9.332,,,9.332,0.0,353.0
2008-04-07,9.549,9.549,9.549,,,9.549,0.0,353.0
2008-04-08,9.494,9.494,9.494,,,9.494,0.0,353.0
2008-04-09,9.525,9.525,9.525,,,9.525,0.0,353.0
2008-04-10,9.485,9.485,9.485,,,9.485,0.0,353.0
2008-04-11,9.37,9.37,9.37,,,9.37,0.0,353.0
2008-04-14,9.408,9.408,9.408,,,9.408,1.0,353.0
2008-04-15,9.422,9.422,9.422,,,9.422,0.0,353.0
2008-04-16,9.458,9.458,9.458,,,9.458,10.0,353.0
2008-04-17,9.561,9.561,9.561,,,9.561,0.0,353.0
2008-04-18,9.772,9.772,9.772,,,9.772,3.0,352.0
2008-04-21,9.945,9.945,9.945,,,9.945,10.0,347.0
2008-04-22,10.024,10.024,10.024,,,10.024,0.0,347.0
2008-04-23,10.111,10.111,10.111,,,10.111,3.0,347.0
2008-04-24,10.02,10.02,10.02,,,10.02,0.0,347.0
2008-04-25,10.029,10.029,10.029,,,10.029,16.0,347.0
2008-04-28,10.054,10.054,10.054,,,10.054,0.0,347.0
2008-04-29,9.894,9.915,9.894,,,9.915,0.0,347.0
2008-04-30,9.93,9.93,9.93,,,9.93,7.0,348.0
2008-05-02,9.964,9.964,9.964,,,9.964,0.0,348.0
2008-05-05,9.995,9.995,9.995,,,9.995,0.0,348.0
2008-05-06,9.981,9.981,9.981,,,9.981,0.0,348.0
2008-05-07,10.082,10.082,10.082,,,10.082,0.0,348.0
2008-05-08,10.049,10.049,10.049,,,10.049,0.0,348.0
2008-05-09,10.035,10.035,10.035,,,10.035,0.0,345.0
2008-05-12,9.954,9.954,9.954,,,9.954,0.0,345.0
2008-05-13,9.97,9.97,9.97,,,9.97,0.0,345.0
2008-05-14,10.05,10.05,10.05,,,10.05,0.0,345.0
2008-05-15,10.088,10.088,10.088,,,10.088,0.0,345.0
2008-05-16,10.149,10.149,10.149,,,10.149,3.0,345.0
2008-05-19,10.451,10.451,10.451,,,10.451,0.0,345.0
