Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,9.169,9.169,9.169,,,9.169,0.0,0.0
2008-02-20,9.149,9.149,9.149,,,9.149,0.0,0.0
2008-02-21,9.175,9.175,9.175,,,9.175,0.0,0.0
2008-02-22,9.197,9.197,9.197,,,9.197,0.0,0.0
2008-02-25,9.24,9.24,9.24,,,9.24,0.0,0.0
2008-02-26,9.41,9.41,9.41,,,9.41,0.0,0.0
2008-02-27,9.438,9.438,9.438,,,9.438,0.0,0.0
2008-02-28,9.547,9.547,9.547,,,9.547,2.0,2.0
2008-02-29,9.652,9.652,9.652,,,9.652,0.0,2.0
2008-03-03,9.783,9.783,9.783,,,9.783,0.0,2.0
2008-03-05,9.851,9.851,9.851,,,9.851,0.0,2.0
2008-03-06,9.827,9.827,9.827,,,9.827,0.0,2.0
2008-03-07,9.799,9.799,9.799,,,9.799,0.0,2.0
2008-03-10,0.0,9.754,9.754,,,9.754,0.0,2.0
2008-03-11,9.848,9.848,9.848,,,9.848,0.0,2.0
2008-03-12,9.967,9.967,9.967,,,9.967,11.0,13.0
2008-03-13,0.0,10.359,10.359,,,10.359,0.0,13.0
2008-03-14,10.331,10.331,10.331,,,10.331,0.0,13.0
2008-03-17,10.019,10.019,10.019,,,10.019,0.0,13.0
2008-03-18,10.076,10.076,10.076,,,10.076,0.0,13.0
2008-03-19,9.802,9.802,9.802,,,9.802,0.0,13.0
2008-03-20,9.532,9.532,9.532,,,9.532,0.0,13.0
2008-03-24,9.695,9.695,9.695,,,9.695,0.0,13.0
2008-03-25,9.876,9.876,9.876,,,9.876,0.0,13.0
2008-03-26,9.939,9.939,9.939,,,9.939,0.0,13.0
2008-03-27,9.904,9.904,9.904,,,9.904,0.0,13.0
2008-03-28,9.675,9.675,9.675,,,9.675,0.0,13.0
2008-03-31,9.588,9.588,9.588,,,9.588,0.0,13.0
2008-04-01,9.474,9.474,9.474,,,9.474,0.0,13.0
2008-04-02,9.602,9.602,9.602,,,9.602,0.0,13.0
2008-04-03,9.504,9.504,9.504,,,9.504,0.0,13.0
2008-04-04,9.602,9.602,9.602,,,9.602,0.0,13.0
2008-04-07,9.779,9.779,9.779,,,9.779,0.0,13.0
2008-04-08,9.734,9.734,9.734,,,9.734,0.0,13.0
2008-04-09,9.72,9.72,9.72,,,9.72,0.0,13.0
2008-04-10,9.585,9.585,9.585,,,9.585,0.0,13.0
2008-04-11,9.5,9.5,9.5,,,9.5,0.0,13.0
2008-04-14,9.478,9.478,9.478,,,9.478,0.0,13.0
2008-04-15,9.445,9.445,9.445,,,9.445,0.0,13.0
2008-04-16,9.441,9.441,9.441,,,9.441,0.0,13.0
2008-04-17,9.516,9.516,9.516,,,9.516,0.0,13.0
