Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-02-21,9.305,9.305,9.305,,,9.305,0.0,0.0
2008-03-03,10.058,10.058,10.058,,,10.058,0.0,0.0
2008-03-05,10.206,10.206,10.206,,,10.206,0.0,0.0
2008-03-06,10.187,10.187,10.187,,,10.187,0.0,0.0
2008-03-07,10.199,10.199,10.199,,,10.199,0.0,0.0
2008-03-10,0.0,10.174,10.174,,,10.174,0.0,0.0
2008-03-11,10.29,10.29,10.29,,,10.29,0.0,0.0
2008-03-12,10.419,10.419,10.419,,,10.419,0.0,0.0
2008-03-13,0.0,10.811,10.811,,,10.811,0.0,0.0
2008-03-14,10.803,10.803,10.803,,,10.803,0.0,0.0
2008-03-17,10.596,10.596,10.596,,,10.596,0.0,0.0
2008-03-18,10.653,10.653,10.653,,,10.653,0.0,0.0
2008-03-19,10.439,10.439,10.439,,,10.439,0.0,0.0
2008-03-20,10.229,10.229,10.229,,,10.229,0.0,0.0
2008-03-24,10.362,10.362,10.362,,,10.362,0.0,0.0
2008-03-25,10.468,10.468,10.468,,,10.468,0.0,0.0
2008-03-26,10.516,10.516,10.516,,,10.516,0.0,0.0
2008-03-27,10.481,10.481,10.481,,,10.481,0.0,0.0
2008-03-28,10.257,10.257,10.257,,,10.257,0.0,0.0
2008-03-31,10.168,10.168,10.168,,,10.168,0.0,0.0
2008-04-01,10.054,10.054,10.054,,,10.054,0.0,0.0
2008-04-02,10.182,10.182,10.182,,,10.182,0.0,0.0
2008-04-03,10.084,10.084,10.084,,,10.084,0.0,0.0
2008-04-04,10.182,10.182,10.182,,,10.182,0.0,0.0
2008-04-07,10.329,10.329,10.329,,,10.329,0.0,0.0
2008-04-08,10.284,10.284,10.284,,,10.284,0.0,0.0
2008-04-09,10.255,10.255,10.255,,,10.255,0.0,0.0
2008-04-10,10.085,10.085,10.085,,,10.085,0.0,0.0
2008-04-11,10.03,10.03,10.03,,,10.03,0.0,0.0
2008-04-14,9.998,9.998,9.998,,,9.998,0.0,0.0
2008-04-15,9.935,9.935,9.935,,,9.935,0.0,0.0
2008-04-16,9.871,9.871,9.871,,,9.871,0.0,0.0
2008-04-17,9.841,9.841,9.841,,,9.841,0.0,0.0
2008-04-18,10.052,10.052,10.052,,,10.052,0.0,0.0
2008-04-21,10.215,10.215,10.215,,,10.215,0.0,0.0
2008-04-22,10.304,10.304,10.304,,,10.304,0.0,0.0
2008-04-23,10.336,10.336,10.336,,,10.336,0.0,0.0
2008-04-24,10.245,10.245,10.245,,,10.245,0.0,0.0
2008-04-25,10.234,10.234,10.234,,,10.234,0.0,0.0
2008-04-28,10.239,10.239,10.239,,,10.239,0.0,0.0
2008-04-29,10.15,10.15,10.15,,,10.15,0.0,0.0
2008-04-30,10.165,10.165,10.165,,,10.165,0.0,0.0
2008-05-02,10.234,10.234,10.234,,,10.234,0.0,0.0
2008-05-05,10.225,10.225,10.225,,,10.225,0.0,0.0
2008-05-06,10.211,10.211,10.211,,,10.211,0.0,0.0
2008-05-07,10.252,10.252,10.252,,,10.252,0.0,0.0
2008-05-08,10.219,10.219,10.219,,,10.219,0.0,0.0
2008-05-09,10.2,10.2,10.2,,,10.2,0.0,0.0
2008-05-12,10.149,10.149,10.149,,,10.149,0.0,0.0
2008-05-13,10.165,10.165,10.165,,,10.165,0.0,0.0
2008-05-14,10.205,10.205,10.205,,,10.205,0.0,0.0
2008-05-15,10.253,10.253,10.253,,,10.253,0.0,0.0
2008-05-16,10.334,10.334,10.334,,,10.334,0.0,0.0
2008-05-19,10.701,10.701,10.701,,,10.701,0.0,0.0
2008-05-20,11.277,11.277,11.277,,,11.277,0.0,0.0
2008-05-21,11.549,11.549,11.549,,,11.549,0.0,0.0
2008-05-22,11.575,11.575,11.575,,,11.575,0.0,0.0
2008-05-23,11.524,11.524,11.524,,,11.524,0.0,0.0
