Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1992-08-26,1.63,1.63,1.63,,,1.63,14.0,14.0
1992-08-27,1.627,1.64,1.627,,,1.64,8.0,18.0
1992-08-28,1.685,1.685,1.685,,,1.685,0.0,18.0
1992-08-31,1.67,1.67,1.67,,,1.67,0.0,18.0
1992-09-01,1.65,1.65,1.65,,,1.65,0.0,18.0
1992-09-02,1.645,1.645,1.645,,,1.645,0.0,18.0
1992-09-03,1.645,1.645,1.645,,,1.645,0.0,18.0
1992-09-04,1.645,1.65,1.645,,,1.647,9.0,27.0
1992-09-08,1.635,1.635,1.635,,,1.635,2.0,29.0
1992-09-09,1.655,1.675,1.655,,,1.665,17.0,46.0
1992-09-10,1.69,1.69,1.69,,,1.69,2.0,46.0
1992-09-11,1.69,1.69,1.69,,,1.69,0.0,46.0
1992-09-14,1.72,1.72,1.72,,,1.72,0.0,46.0
1992-09-15,1.75,1.75,1.745,,,1.745,5.0,46.0
1992-09-16,1.745,1.745,1.745,,,1.745,0.0,51.0
1992-09-17,1.745,1.745,1.745,,,1.745,0.0,51.0
1992-09-18,1.745,1.745,1.745,,,1.745,0.0,51.0
1992-09-21,1.775,1.775,1.775,,,1.775,0.0,51.0
1992-09-22,1.79,1.8,1.79,,,1.8,70.0,112.0
1992-09-23,1.8,1.8,1.8,,,1.8,50.0,136.0
1992-09-24,1.81,1.81,1.76,,,1.76,75.0,211.0
1992-09-25,1.76,1.76,1.76,,,1.76,0.0,211.0
1992-09-28,1.76,1.76,1.76,,,1.76,0.0,211.0
1992-09-29,1.77,1.775,1.77,,,1.775,5.0,212.0
1992-09-30,1.779,1.785,1.779,,,1.785,7.0,212.0
1992-10-01,1.79,1.79,1.79,,,1.79,230.0,352.0
1992-10-02,1.785,1.785,1.785,,,1.785,0.0,350.0
1992-10-05,1.77,1.77,1.75,,,1.75,12.0,350.0
1992-10-06,1.745,1.745,1.73,,,1.735,88.0,431.0
1992-10-07,1.735,1.735,1.72,,,1.72,50.0,481.0
1992-10-08,1.72,1.72,1.7,,,1.7,10.0,491.0
1992-10-09,1.72,1.72,1.72,,,1.72,25.0,506.0
1992-10-12,1.72,1.72,1.7,,,1.7,25.0,501.0
1992-10-13,1.69,1.69,1.69,,,1.69,37.0,507.0
1992-10-14,1.715,1.715,1.715,,,1.715,10.0,517.0
1992-10-15,1.715,1.725,1.715,,,1.725,0.0,517.0
1992-10-16,1.735,1.74,1.735,,,1.74,76.0,586.0
1992-10-19,1.76,1.76,1.76,,,1.76,15.0,586.0
1992-10-20,1.76,1.76,1.75,,,1.76,35.0,631.0
1992-10-21,1.755,1.755,1.745,,,1.745,55.0,656.0
1992-10-22,1.735,1.735,1.725,,,1.73,264.0,934.0
1992-10-23,1.73,1.73,1.725,,,1.725,100.0,1019.0
1992-10-26,1.695,1.715,1.695,,,1.715,276.0,1289.0
1992-10-27,1.735,1.75,1.735,,,1.745,106.0,1339.0
1992-10-28,1.76,1.8,1.76,,,1.76,251.0,1490.0
1992-10-29,1.78,1.78,1.755,,,1.755,201.0,1637.0
1992-10-30,1.78,1.78,1.78,,,1.78,251.0,1784.0
1992-11-02,1.805,1.805,1.805,,,1.805,0.0,1784.0
1992-11-03,1.81,1.81,1.81,,,1.81,0.0,1784.0
1992-11-04,1.81,1.81,1.79,,,1.8,210.0,1989.0
1992-11-05,1.795,1.795,1.785,,,1.789,90.0,2058.0
1992-11-06,1.78,1.785,1.77,,,1.77,21.0,2074.0
1992-11-09,1.81,1.81,1.8,,,1.807,3.0,2077.0
1992-11-10,1.825,1.84,1.82,,,1.827,186.0,2148.0
1992-11-11,1.825,1.83,1.8,,,1.8,102.0,2201.0
1992-11-12,1.8,1.815,1.8,,,1.811,25.0,2203.0
1992-11-13,1.804,1.81,1.79,,,1.79,296.0,1948.0
1992-11-16,1.765,1.765,1.765,,,1.765,0.0,1948.0
1992-11-17,1.765,1.785,1.765,,,1.78,168.0,2048.0
1992-11-18,1.755,1.755,1.72,,,1.755,179.0,2145.0
1992-11-19,1.74,1.74,1.67,,,1.674,71.0,2180.0
1992-11-20,1.69,1.7,1.67,,,1.677,75.0,2231.0
1992-11-23,1.67,1.67,1.665,,,1.665,24.0,2208.0
1992-11-24,1.66,1.66,1.64,,,1.652,179.0,2205.0
1992-11-25,1.66,1.71,1.66,,,1.7,203.0,2219.0
1992-11-30,1.72,1.74,1.72,,,1.74,3.0,2214.0
1992-12-01,1.725,1.74,1.68,,,1.687,236.0,2281.0
1992-12-02,1.69,1.69,1.685,,,1.69,24.0,2287.0
1992-12-03,1.685,1.705,1.685,,,1.705,94.0,2219.0
1992-12-04,1.735,1.74,1.72,,,1.74,168.0,2295.0
1992-12-07,1.73,1.74,1.73,,,1.74,32.0,2261.0
1992-12-08,1.745,1.745,1.7,,,1.72,72.0,2267.0
1992-12-09,1.72,1.725,1.69,,,1.7,197.0,2292.0
1992-12-10,1.695,1.7,1.695,,,1.7,35.0,2272.0
1992-12-11,1.7,1.7,1.7,,,1.7,1.0,2284.0
1992-12-14,1.68,1.68,1.675,,,1.68,30.0,2289.0
1992-12-15,1.675,1.675,1.67,,,1.67,58.0,2342.0
1992-12-16,1.66,1.67,1.66,,,1.67,52.0,2364.0
1992-12-17,1.697,1.697,1.697,,,1.697,1.0,2364.0
1992-12-18,1.68,1.69,1.68,,,1.685,38.0,2366.0
1992-12-21,1.69,1.695,1.685,,,1.685,27.0,2368.0
1992-12-22,1.7,1.7,1.7,,,1.7,0.0,2368.0
1992-12-23,1.7,1.7,1.66,,,1.66,2.0,2370.0
1992-12-28,1.68,1.68,1.65,,,1.653,26.0,2386.0
1992-12-29,1.67,1.67,1.67,,,1.67,10.0,2385.0
1992-12-30,1.672,1.672,1.65,,,1.65,5.0,2390.0
1992-12-31,1.66,1.67,1.65,,,1.67,55.0,2425.0
1993-01-04,1.665,1.665,1.625,,,1.625,967.0,1562.0
1993-01-05,1.65,1.65,1.64,,,1.64,11.0,1568.0
1993-01-06,1.64,1.65,1.64,,,1.64,171.0,1509.0
1993-01-07,1.64,1.645,1.64,,,1.64,36.0,1520.0
1993-01-08,1.63,1.63,1.625,,,1.63,203.0,1561.0
1993-01-11,1.645,1.645,1.64,,,1.645,68.0,1518.0
1993-01-12,1.655,1.655,1.63,,,1.645,82.0,1543.0
1993-01-13,1.64,1.644,1.64,,,1.644,241.0,1598.0
1993-01-14,1.65,1.66,1.65,,,1.66,100.0,1648.0
1993-01-15,1.67,1.67,1.666,,,1.666,32.0,1649.0
1993-01-18,1.67,1.675,1.67,,,1.675,28.0,1683.0
1993-01-19,1.66,1.67,1.66,,,1.664,23.0,1694.0
1993-01-20,1.66,1.694,1.66,,,1.694,29.0,1675.0
1993-01-21,1.69,1.704,1.69,,,1.704,68.0,1623.0
1993-01-22,1.69,1.714,1.69,,,1.7,93.0,1681.0
1993-01-25,1.71,1.71,1.68,,,1.7,95.0,1735.0
1993-01-26,1.7,1.725,1.7,,,1.709,265.0,1736.0
1993-01-27,1.719,1.719,1.706,,,1.706,98.0,1766.0
1993-01-28,1.695,1.73,1.695,,,1.725,64.0,1808.0
1993-01-29,1.735,1.74,1.72,,,1.723,65.0,1854.0
1993-02-01,1.748,1.76,1.748,,,1.75,10.0,1857.0
1993-02-02,1.75,1.75,1.74,,,1.74,30.0,1878.0
1993-02-03,1.735,1.74,1.735,,,1.74,50.0,1894.0
1993-02-04,1.75,1.76,1.74,,,1.755,118.0,1935.0
1993-02-05,1.765,1.778,1.76,,,1.778,92.0,1952.0
1993-02-08,1.785,1.805,1.785,,,1.805,32.0,1963.0
1993-02-09,1.79,1.79,1.77,,,1.79,127.0,1976.0
1993-02-10,1.785,1.79,1.78,,,1.79,104.0,1971.0
1993-02-11,1.79,1.822,1.79,,,1.81,350.0,2120.0
1993-02-12,1.825,1.825,1.77,,,1.8,32.0,2137.0
1993-02-16,1.825,1.825,1.705,,,1.82,112.0,2123.0
1993-02-17,1.83,1.83,1.81,,,1.827,103.0,2138.0
1993-02-18,1.85,1.85,1.815,,,1.825,117.0,2163.0
1993-02-19,1.825,1.825,1.8,,,1.816,105.0,2220.0
1993-02-22,1.815,1.835,1.815,,,1.835,139.0,2270.0
1993-02-23,1.84,1.84,1.82,,,1.82,109.0,2335.0
1993-02-24,1.82,1.82,1.815,,,1.82,74.0,2306.0
1993-02-25,1.825,1.83,1.82,,,1.824,174.0,2468.0
1993-02-26,1.79,1.815,1.78,,,1.785,148.0,2564.0
1993-03-02,1.79,1.795,1.78,,,1.785,409.0,2610.0
1993-03-03,1.785,1.8,1.775,,,1.8,75.0,2630.0
1993-03-04,1.795,1.82,1.795,,,1.82,34.0,2620.0
1993-03-05,1.81,1.82,1.81,,,1.815,38.0,2597.0
1993-03-08,1.82,1.825,1.82,,,1.825,60.0,2562.0
1993-03-09,1.83,1.855,1.825,,,1.835,40.0,2577.0
1993-03-10,1.84,1.84,1.825,,,1.826,38.0,2603.0
1993-03-11,1.825,1.83,1.815,,,1.83,143.0,2602.0
1993-03-12,1.82,1.825,1.82,,,1.825,21.0,2591.0
1993-03-15,1.825,1.825,1.824,,,1.824,12.0,2590.0
1993-03-16,1.82,1.825,1.81,,,1.815,153.0,2573.0
1993-03-17,1.815,1.84,1.81,,,1.84,45.0,2558.0
1993-03-18,1.83,1.845,1.83,,,1.834,79.0,2603.0
1993-03-19,1.835,1.85,1.83,,,1.83,104.0,2660.0
1993-03-22,1.83,1.84,1.78,,,1.795,221.0,2746.0
1993-03-23,1.79,1.82,1.78,,,1.795,301.0,2844.0
1993-03-24,1.8,1.85,1.8,,,1.82,285.0,2966.0
1993-03-25,1.83,1.86,1.83,,,1.85,251.0,2984.0
1993-03-26,1.855,1.86,1.825,,,1.855,165.0,3019.0
1993-03-29,1.85,1.865,1.85,,,1.86,53.0,3023.0
1993-03-30,1.855,1.88,1.85,,,1.873,185.0,2992.0
1993-03-31,1.885,1.9,1.885,,,1.9,149.0,2987.0
1993-04-01,1.895,1.945,1.885,,,1.885,419.0,3029.0
1993-04-02,1.88,1.905,1.88,,,1.905,185.0,3105.0
1993-04-05,1.92,1.935,1.92,,,1.925,117.0,3065.0
1993-04-06,1.925,1.97,1.925,,,1.965,222.0,3131.0
1993-04-07,1.98,2.01,1.98,,,1.99,226.0,3209.0
1993-04-08,1.995,2.04,1.99,,,2.025,625.0,3587.0
1993-04-12,2.025,2.125,2.025,,,2.115,430.0,3612.0
1993-04-13,2.125,2.26,2.125,,,2.185,461.0,3757.0
1993-04-14,2.16,2.24,2.155,,,2.225,210.0,3801.0
1993-04-15,2.245,2.27,2.235,,,2.235,144.0,3843.0
1993-04-16,2.235,2.24,2.2,,,2.22,425.0,3968.0
1993-04-19,2.22,2.23,2.21,,,2.215,393.0,4124.0
1993-04-20,2.205,2.22,2.19,,,2.19,1252.0,4705.0
1993-04-21,2.18,2.23,2.18,,,2.23,555.0,4888.0
1993-04-22,2.255,2.295,2.255,,,2.275,708.0,5132.0
1993-04-23,2.27,2.32,2.27,,,2.276,600.0,5371.0
1993-04-26,2.23,2.245,2.186,,,2.186,261.0,5414.0
1993-04-27,2.14,2.195,2.13,,,2.172,677.0,5674.0
1993-04-28,2.18,2.215,2.155,,,2.176,349.0,5596.0
1993-04-29,2.185,2.185,2.155,,,2.165,182.0,5602.0
1993-04-30,2.16,2.165,2.14,,,2.165,82.0,5684.0
1993-05-03,2.16,2.16,2.13,,,2.133,328.0,5786.0
1993-05-04,2.12,2.15,2.08,,,2.15,637.0,5958.0
1993-05-05,2.12,2.16,2.115,,,2.155,225.0,6085.0
1993-05-06,2.13,2.145,2.13,,,2.135,165.0,6085.0
1993-05-07,2.135,2.15,2.125,,,2.135,180.0,6057.0
1993-05-10,2.115,2.115,2.1,,,2.11,326.0,6128.0
1993-05-11,2.095,2.15,2.08,,,2.11,807.0,6220.0
1993-05-12,2.11,2.14,2.11,,,2.12,475.0,6197.0
1993-05-13,2.13,2.16,2.126,,,2.126,271.0,6233.0
1993-05-14,2.126,2.155,2.126,,,2.135,725.0,6623.0
1993-05-17,2.13,2.16,2.13,,,2.15,173.0,6313.0
1993-05-18,2.16,2.16,2.16,,,2.16,664.0,6587.0
1993-05-19,2.145,2.145,2.11,,,2.123,499.0,6668.0
1993-05-20,2.12,2.13,2.11,,,2.11,348.0,6748.0
1993-05-21,2.09,2.105,2.08,,,2.08,482.0,6722.0
1993-05-24,2.06,2.07,2.045,,,2.045,785.0,6713.0
1993-05-25,2.03,2.1,2.015,,,2.095,833.0,6827.0
1993-05-26,2.1,2.135,2.1,,,2.12,200.0,6810.0
1993-05-27,2.125,2.15,2.125,,,2.15,168.0,6839.0
1993-05-28,2.15,2.16,2.15,,,2.15,92.0,6832.0
1993-06-01,2.16,2.19,2.16,,,2.175,74.0,6871.0
1993-06-02,2.175,2.19,2.165,,,2.18,273.0,6891.0
1993-06-03,2.17,2.185,2.17,,,2.17,346.0,6763.0
1993-06-04,2.18,2.185,2.17,,,2.17,340.0,6688.0
1993-06-07,2.17,2.17,2.16,,,2.16,146.0,6737.0
1993-06-08,2.18,2.195,2.18,,,2.19,250.0,6706.0
1993-06-09,2.2,2.215,2.2,,,2.21,460.0,6672.0
1993-06-10,2.22,2.22,2.205,,,2.205,170.0,6682.0
1993-06-11,2.23,2.23,2.215,,,2.215,70.0,6699.0
1993-06-14,2.22,2.245,2.215,,,2.225,335.0,6766.0
1993-06-15,2.235,2.24,2.222,,,2.222,382.0,6777.0
1993-06-16,2.22,2.23,2.215,,,2.23,914.0,6651.0
1993-06-17,2.23,2.247,2.23,,,2.247,208.0,6241.0
1993-06-18,2.26,2.26,2.25,,,2.25,148.0,6715.0
1993-06-21,2.24,2.28,2.24,,,2.27,29.0,6730.0
1993-06-22,2.255,2.26,2.243,,,2.243,185.0,6779.0
1993-06-23,2.213,2.28,2.213,,,2.245,299.0,6673.0
1993-06-24,2.245,2.28,2.245,,,2.266,75.0,6657.0
1993-06-25,2.265,2.28,2.256,,,2.256,167.0,6630.0
1993-06-28,2.27,2.305,2.27,,,2.305,97.0,6632.0
1993-06-29,2.31,2.34,2.31,,,2.33,210.0,6695.0
1993-06-30,2.32,2.335,2.316,,,2.316,286.0,6702.0
1993-07-01,2.305,2.305,2.234,,,2.234,456.0,6821.0
1993-07-02,2.225,2.26,2.202,,,2.202,547.0,6824.0
1993-07-06,2.24,2.25,2.215,,,2.221,223.0,6830.0
1993-07-07,2.226,2.245,2.226,,,2.23,202.0,6880.0
1993-07-08,2.245,2.25,2.195,,,2.195,154.0,6859.0
1993-07-09,2.21,2.23,2.195,,,2.23,420.0,6851.0
1993-07-12,2.24,2.245,2.199,,,2.199,353.0,6953.0
1993-07-13,2.2,2.23,2.195,,,2.195,202.0,7037.0
1993-07-14,2.18,2.2,2.175,,,2.175,97.0,7103.0
1993-07-15,2.185,2.19,2.165,,,2.172,98.0,7102.0
1993-07-16,2.182,2.205,2.182,,,2.191,130.0,7175.0
1993-07-19,2.18,2.2,2.18,,,2.19,178.0,7088.0
1993-07-20,2.195,2.205,2.185,,,2.188,295.0,7156.0
1993-07-21,2.188,2.237,2.188,,,2.237,230.0,7180.0
1993-07-22,2.225,2.25,2.215,,,2.22,300.0,7157.0
1993-07-23,2.21,2.23,2.195,,,2.216,150.0,7145.0
1993-07-26,2.21,2.226,2.2,,,2.215,90.0,7215.0
1993-07-27,2.215,2.215,2.2,,,2.2,145.0,7239.0
1993-07-28,2.205,2.205,2.18,,,2.181,62.0,7230.0
1993-07-29,2.18,2.21,2.18,,,2.208,137.0,7311.0
1993-07-30,2.215,2.236,2.21,,,2.233,197.0,7196.0
1993-08-02,2.24,2.255,2.215,,,2.215,164.0,7239.0
1993-08-03,2.205,2.22,2.198,,,2.198,108.0,7280.0
1993-08-04,2.22,2.22,2.207,,,2.208,143.0,7348.0
1993-08-05,2.223,2.228,2.223,,,2.225,66.0,7350.0
1993-08-06,2.225,2.235,2.205,,,2.205,236.0,7473.0
1993-08-09,2.195,2.205,2.195,,,2.195,163.0,7527.0
1993-08-10,2.2,2.235,2.2,,,2.235,335.0,7635.0
1993-08-11,2.245,2.245,2.225,,,2.225,181.0,7612.0
1993-08-12,2.235,2.25,2.23,,,2.241,201.0,7600.0
1993-08-13,2.25,2.25,2.205,,,2.225,213.0,7572.0
1993-08-16,2.23,2.26,2.225,,,2.26,562.0,7870.0
1993-08-17,2.255,2.275,2.245,,,2.245,1089.0,8434.0
1993-08-18,2.255,2.26,2.24,,,2.24,236.0,8494.0
1993-08-19,2.245,2.26,2.225,,,2.245,397.0,8334.0
1993-08-20,2.24,2.25,2.24,,,2.24,112.0,8337.0
1993-08-23,2.23,2.25,2.23,,,2.235,285.0,8406.0
1993-08-24,2.25,2.265,2.235,,,2.235,377.0,8494.0
1993-08-25,2.23,2.255,2.225,,,2.246,155.0,8469.0
1993-08-26,2.245,2.265,2.245,,,2.265,245.0,8406.0
1993-08-27,2.275,2.275,2.265,,,2.267,420.0,8457.0
1993-08-30,2.245,2.255,2.24,,,2.255,63.0,8455.0
1993-08-31,2.25,2.265,2.245,,,2.247,496.0,8487.0
1993-09-02,2.26,2.28,2.26,,,2.267,482.0,8519.0
1993-09-03,2.265,2.27,2.265,,,2.265,354.0,8731.0
1993-09-07,2.255,2.255,2.201,,,2.201,652.0,9074.0
1993-09-08,2.202,2.22,2.2,,,2.215,534.0,9175.0
1993-09-09,2.215,2.235,2.21,,,2.225,491.0,9004.0
1993-09-10,2.21,2.22,2.19,,,2.205,748.0,8964.0
1993-09-13,2.195,2.225,2.195,,,2.215,417.0,9111.0
1993-09-14,2.205,2.225,2.2,,,2.202,334.0,9289.0
1993-09-15,2.182,2.195,2.155,,,2.155,1249.0,9351.0
1993-09-16,2.14,2.155,2.135,,,2.14,843.0,9360.0
1993-09-17,2.14,2.2,2.14,,,2.188,1643.0,9664.0
1993-09-20,2.19,2.23,2.19,,,2.22,369.0,9660.0
1993-09-21,2.225,2.25,2.198,,,2.198,1466.0,9838.0
1993-09-22,2.215,2.24,2.195,,,2.197,829.0,9859.0
1993-09-23,2.185,2.225,2.185,,,2.196,696.0,9936.0
1993-09-24,2.195,2.212,2.185,,,2.212,672.0,9778.0
1993-09-27,2.22,2.22,2.185,,,2.2,260.0,9784.0
1993-09-28,2.21,2.22,2.19,,,2.206,608.0,9924.0
1993-09-29,2.21,2.215,2.2,,,2.203,588.0,9876.0
1993-09-30,2.21,2.215,2.184,,,2.184,1333.0,10118.0
1993-10-01,2.18,2.21,2.18,,,2.195,321.0,10130.0
1993-10-04,2.19,2.19,2.17,,,2.177,662.0,9978.0
1993-10-05,2.175,2.18,2.17,,,2.177,377.0,9999.0
1993-10-06,2.185,2.185,2.175,,,2.175,196.0,9955.0
1993-10-07,2.165,2.17,2.13,,,2.13,755.0,10069.0
1993-10-08,2.13,2.16,2.13,,,2.153,621.0,9984.0
1993-10-11,2.16,2.172,2.16,,,2.172,293.0,9954.0
1993-10-12,2.17,2.18,2.147,,,2.147,214.0,9831.0
1993-10-13,2.155,2.165,2.145,,,2.159,1307.0,10192.0
1993-10-14,2.155,2.155,2.12,,,2.133,853.0,10164.0
1993-10-15,2.135,2.155,2.135,,,2.149,202.0,10189.0
1993-10-18,2.14,2.14,2.13,,,2.13,268.0,10235.0
1993-10-19,2.135,2.15,2.13,,,2.15,528.0,10178.0
1993-10-20,2.145,2.16,2.13,,,2.138,1556.0,10097.0
1993-10-21,2.14,2.17,2.14,,,2.161,881.0,10255.0
1993-10-22,2.185,2.205,2.17,,,2.18,1621.0,10508.0
1993-10-25,2.185,2.2,2.165,,,2.165,474.0,10020.0
1993-10-26,2.155,2.17,2.155,,,2.157,691.0,10095.0
1993-10-27,2.165,2.18,2.165,,,2.175,953.0,10192.0
1993-10-28,2.18,2.19,2.17,,,2.179,1083.0,10358.0
1993-10-29,2.185,2.2,2.15,,,2.15,733.0,10544.0
1993-11-01,2.175,2.175,2.155,,,2.172,783.0,10586.0
1993-11-02,2.165,2.175,2.16,,,2.167,293.0,10665.0
1993-11-03,2.175,2.185,2.165,,,2.169,788.0,10692.0
1993-11-04,2.17,2.18,2.17,,,2.178,238.0,10653.0
1993-11-05,2.17,2.175,2.165,,,2.171,650.0,10658.0
1993-11-08,2.17,2.17,2.16,,,2.16,398.0,10702.0
1993-11-09,2.155,2.165,2.147,,,2.147,354.0,10660.0
1993-11-10,2.15,2.15,2.123,,,2.123,695.0,10830.0
1993-11-11,2.125,2.14,2.107,,,2.107,544.0,10907.0
1993-11-12,2.1,2.115,2.09,,,2.09,1204.0,10682.0
1993-11-15,2.085,2.12,2.085,,,2.102,894.0,10932.0
1993-11-16,2.1,2.1,2.08,,,2.095,622.0,10861.0
1993-11-17,2.105,2.13,2.105,,,2.12,1226.0,10855.0
1993-11-18,2.125,2.135,2.115,,,2.124,444.0,10884.0
1993-11-19,2.11,2.13,2.11,,,2.118,589.0,10899.0
1993-11-22,2.13,2.16,2.13,,,2.153,1263.0,10917.0
1993-11-23,2.16,2.16,2.12,,,2.124,891.0,11243.0
1993-11-24,2.13,2.145,2.11,,,2.114,674.0,11496.0
1993-11-29,2.08,2.09,2.06,,,2.063,2043.0,11269.0
1993-11-30,2.065,2.07,2.036,,,2.057,1617.0,11293.0
1993-12-01,2.06,2.065,2.005,,,2.02,1491.0,11374.0
1993-12-02,2.015,2.02,1.95,,,1.97,2398.0,11512.0
