Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2012-11-29,0.0,0.0,0.0,,,7.078,0.0,0.0
2012-11-30,0.0,0.0,0.0,,,7.059,0.0,0.0
2012-12-03,0.0,0.0,0.0,,,7.093,0.0,0.0
2012-12-04,0.0,0.0,0.0,,,7.068,0.0,0.0
2012-12-05,0.0,0.0,0.0,,,7.098,0.0,0.0
2012-12-06,0.0,0.0,0.0,,,7.09,0.0,0.0
2012-12-07,0.0,0.0,0.0,,,7.067,0.0,0.0
2012-12-10,0.0,0.0,0.0,,,7.089,0.0,0.0
2012-12-11,0.0,0.0,0.0,,,7.062,0.0,0.0
2012-12-12,0.0,0.0,0.0,,,7.056,0.0,0.0
2012-12-13,0.0,0.0,0.0,,,7.063,0.0,0.0
2012-12-14,0.0,0.0,0.0,,,7.059,0.0,0.0
2012-12-17,0.0,0.0,0.0,,,7.114,0.0,0.0
2012-12-18,0.0,0.0,0.0,,,7.251,0.0,0.0
2012-12-19,0.0,0.0,0.0,,,7.221,0.0,0.0
2012-12-20,0.0,0.0,0.0,,,7.287,0.0,0.0
2012-12-21,0.0,0.0,0.0,,,7.269,0.0,0.0
2012-12-24,0.0,0.0,0.0,,,7.232,0.0,0.0
2012-12-26,0.0,0.0,0.0,,,7.252,0.0,0.0
2012-12-27,0.0,0.0,0.0,,,7.235,0.0,0.0
2012-12-28,0.0,0.0,0.0,,,7.23,0.0,0.0
2012-12-31,0.0,0.0,0.0,,,7.189,0.0,0.0
2013-01-02,0.0,0.0,0.0,,,7.153,0.0,0.0
2013-01-03,0.0,0.0,0.0,,,7.148,0.0,0.0
2013-01-04,0.0,0.0,0.0,,,7.206,0.0,0.0
2013-01-07,0.0,0.0,0.0,,,7.187,0.0,0.0
2013-01-08,0.0,0.0,0.0,,,7.165,0.0,0.0
2013-01-09,0.0,0.0,0.0,,,7.145,0.0,0.0
2013-01-10,0.0,0.0,0.0,,,7.157,0.0,0.0
2013-01-11,0.0,0.0,0.0,,,7.118,0.0,0.0
2013-01-14,0.0,0.0,0.0,,,7.105,0.0,0.0
2013-01-15,0.0,0.0,0.0,,,7.115,0.0,0.0
2013-01-16,0.0,0.0,0.0,,,7.115,0.0,0.0
2013-01-17,0.0,0.0,0.0,,,7.104,0.0,0.0
