Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1992-01-27,1.36,1.36,1.36,,,1.36,1.0,1.0
1992-01-28,1.31,1.31,1.31,,,1.31,1.0,1.0
1992-01-29,1.29,1.33,1.28,,,1.33,10.0,8.0
1992-01-30,1.33,1.33,1.33,,,1.33,1.0,9.0
1992-01-31,1.33,1.33,1.32,,,1.32,0.0,9.0
1992-02-03,1.33,1.33,1.32,,,1.32,0.0,9.0
1992-02-04,1.33,1.33,1.32,,,1.32,0.0,9.0
1992-02-05,1.31,1.31,1.31,,,1.31,2.0,11.0
1992-02-06,1.31,1.31,1.31,,,1.31,0.0,11.0
1992-02-07,1.32,1.32,1.32,,,1.32,0.0,11.0
1992-02-10,1.33,1.33,1.33,,,1.33,0.0,11.0
1992-02-11,1.33,1.33,1.325,,,1.325,40.0,51.0
1992-02-12,1.32,1.32,1.32,,,1.32,1.0,51.0
1992-02-13,1.3,1.3,1.3,,,1.3,0.0,51.0
1992-02-14,1.29,1.29,1.29,,,1.29,16.0,67.0
1992-02-18,1.24,1.24,1.21,,,1.22,2.0,68.0
1992-02-19,1.2,1.24,1.2,,,1.24,49.0,63.0
1992-02-20,1.24,1.24,1.24,,,1.24,0.0,63.0
1992-02-21,1.25,1.25,1.25,,,1.25,6.0,63.0
1992-02-24,1.25,1.25,1.245,,,1.245,10.0,62.0
1992-02-25,1.245,1.245,1.245,,,1.245,12.0,64.0
1992-02-26,1.245,1.245,1.245,,,1.245,0.0,62.0
1992-02-27,1.23,1.25,1.23,,,1.25,16.0,75.0
1992-02-28,1.245,1.245,1.245,,,1.245,0.0,75.0
1992-03-02,1.23,1.245,1.223,,,1.245,22.0,89.0
1992-03-03,1.24,1.245,1.24,,,1.245,9.0,98.0
1992-03-04,1.26,1.26,1.26,,,1.26,5.0,100.0
1992-03-05,1.26,1.26,1.26,,,1.26,15.0,106.0
1992-03-06,1.26,1.26,1.255,,,1.255,1.0,106.0
1992-03-09,1.25,1.25,1.25,,,1.25,0.0,106.0
1992-03-10,1.255,1.255,1.255,,,1.255,17.0,113.0
1992-03-11,1.26,1.26,1.253,,,1.254,22.0,136.0
1992-03-12,1.255,1.255,1.255,,,1.255,29.0,153.0
1992-03-13,1.26,1.261,1.26,,,1.261,1.0,154.0
1992-03-16,1.275,1.275,1.27,,,1.27,5.0,157.0
1992-03-17,1.28,1.28,1.28,,,1.28,0.0,156.0
1992-03-18,1.29,1.29,1.29,,,1.29,0.0,156.0
