Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,8.154,8.154,8.154,,,8.154,0.0,0.0
2008-02-20,8.134,8.134,8.134,,,8.134,0.0,0.0
2008-02-21,8.165,8.165,8.165,,,8.165,0.0,0.0
2008-02-22,8.187,8.187,8.187,,,8.187,0.0,0.0
2008-02-25,8.23,8.23,8.23,,,8.23,0.0,0.0
2008-02-26,8.4,8.4,8.4,,,8.4,0.0,0.0
2008-02-27,8.468,8.468,8.468,,,8.468,0.0,0.0
2008-02-28,8.577,8.577,8.577,,,8.577,0.0,0.0
2008-02-29,8.687,8.687,8.687,,,8.687,0.0,0.0
2008-03-03,8.833,8.833,8.833,,,8.833,0.0,0.0
2008-03-05,8.941,8.941,8.941,,,8.941,0.0,0.0
2008-03-06,8.922,8.922,8.922,,,8.922,0.0,0.0
2008-03-07,8.934,8.934,8.934,,,8.934,0.0,0.0
2008-03-10,0.0,8.909,8.909,,,8.909,0.0,0.0
2008-03-11,9.015,9.015,9.015,,,9.015,0.0,0.0
2008-03-12,9.144,9.144,9.144,,,9.144,0.0,0.0
2008-03-13,0.0,9.536,9.536,,,9.536,0.0,0.0
2008-03-14,9.528,9.528,9.528,,,9.528,0.0,0.0
2008-03-17,9.256,9.256,9.256,,,9.256,0.0,0.0
2008-03-18,9.313,9.313,9.313,,,9.313,0.0,0.0
2008-03-19,9.069,9.069,9.069,,,9.069,0.0,0.0
2008-03-20,8.819,8.819,8.819,,,8.819,0.0,0.0
2008-03-24,8.962,8.962,8.962,,,8.962,0.0,0.0
2008-03-25,9.088,9.088,9.088,,,9.088,0.0,0.0
2008-03-26,9.136,9.136,9.136,,,9.136,0.0,0.0
2008-03-27,9.101,9.101,9.101,,,9.101,0.0,0.0
2008-03-28,8.857,8.857,8.857,,,8.857,0.0,0.0
2008-03-31,8.768,8.768,8.768,,,8.768,0.0,0.0
2008-04-01,8.654,8.654,8.654,,,8.654,0.0,0.0
2008-04-02,8.782,8.782,8.782,,,8.782,0.0,0.0
2008-04-03,8.684,8.684,8.684,,,8.684,0.0,0.0
2008-04-04,8.782,8.782,8.782,,,8.782,0.0,0.0
2008-04-07,8.939,8.939,8.939,,,8.939,0.0,0.0
2008-04-08,8.894,8.894,8.894,,,8.894,0.0,0.0
2008-04-09,8.865,8.865,8.865,,,8.865,0.0,0.0
2008-04-10,8.685,8.685,8.685,,,8.685,0.0,0.0
2008-04-11,8.63,8.63,8.63,,,8.63,0.0,0.0
2008-04-14,8.598,8.598,8.598,,,8.598,0.0,0.0
2008-04-15,8.555,8.555,8.555,,,8.555,0.0,0.0
2008-04-16,8.511,8.511,8.511,,,8.511,0.0,0.0
2008-04-17,8.531,8.531,8.531,,,8.531,0.0,0.0
2008-04-18,8.742,8.742,8.742,,,8.742,0.0,0.0
2008-04-21,8.905,8.905,8.905,,,8.905,0.0,0.0
2008-04-22,8.994,8.994,8.994,,,8.994,0.0,0.0
2008-04-23,9.051,9.051,9.051,,,9.051,0.0,0.0
2008-04-24,8.96,8.96,8.96,,,8.96,0.0,0.0
2008-04-25,8.949,8.949,8.949,,,8.949,0.0,0.0
2008-04-28,8.964,8.964,8.964,,,8.964,0.0,0.0
2008-04-29,8.865,8.865,8.865,,,8.865,0.0,0.0
2008-04-30,8.88,8.88,8.88,,,8.88,0.0,0.0
2008-05-02,8.944,8.944,8.944,,,8.944,0.0,0.0
2008-05-05,8.935,8.935,8.935,,,8.935,0.0,0.0
2008-05-06,8.921,8.921,8.921,,,8.921,0.0,0.0
2008-05-07,8.962,8.962,8.962,,,8.962,0.0,0.0
2008-05-08,8.929,8.929,8.929,,,8.929,0.0,0.0
2008-05-09,8.91,8.91,8.91,,,8.91,0.0,0.0
2008-05-12,8.854,8.854,8.854,,,8.854,0.0,0.0
2008-05-13,8.87,8.87,8.87,,,8.87,0.0,0.0
2008-05-14,8.91,8.91,8.91,,,8.91,0.0,0.0
2008-05-15,8.958,8.958,8.958,,,8.958,0.0,0.0
2008-05-16,9.039,9.039,9.039,,,9.039,0.0,0.0
2008-05-19,9.406,9.406,9.406,,,9.406,0.0,0.0
2008-05-20,9.982,9.982,9.982,,,9.982,0.0,0.0
2008-05-21,10.254,10.254,10.254,,,10.254,0.0,0.0
2008-05-22,10.23,10.23,10.23,,,10.23,0.0,0.0
2008-05-23,10.179,10.179,10.179,,,10.179,0.0,0.0
2008-05-27,10.176,10.176,10.176,,,10.176,0.0,0.0
2008-05-28,10.157,10.157,10.157,,,10.157,0.0,0.0
2008-05-29,10.143,10.143,10.143,,,10.143,0.0,0.0
2008-05-30,10.197,10.197,10.197,,,10.197,0.0,0.0
2008-06-02,10.304,10.304,10.304,,,10.304,0.0,0.0
2008-06-03,10.386,10.386,10.386,,,10.386,0.0,0.0
2008-06-04,10.347,10.347,10.347,,,10.347,0.0,0.0
2008-06-05,10.24,10.24,10.24,,,10.24,0.0,0.0
2008-06-06,10.357,10.357,10.357,,,10.357,0.0,0.0
2008-06-09,10.569,10.569,10.569,,,10.569,0.0,0.0
2008-06-10,10.637,10.637,10.637,,,10.637,0.0,0.0
2008-06-11,10.775,10.775,10.775,,,10.775,0.0,0.0
2008-06-12,10.847,10.847,10.847,,,10.847,100.0,100.0
2008-06-13,10.863,10.863,10.863,,,10.863,0.0,100.0
2008-06-17,10.96,10.96,10.96,,,10.96,0.0,100.0
2008-06-18,10.991,10.991,10.991,,,10.991,0.0,100.0
2008-06-19,10.884,10.884,10.884,,,10.884,0.0,100.0
2008-06-20,10.935,10.935,10.935,,,10.935,0.0,100.0
2008-06-23,11.025,11.025,11.025,,,11.025,0.0,100.0
2008-06-24,11.066,11.066,11.066,,,11.066,0.0,100.0
2008-06-25,11.04,11.04,11.04,,,11.04,0.0,100.0
2008-06-26,11.126,11.126,11.126,,,11.126,0.0,100.0
2008-06-27,11.118,11.118,11.118,,,11.118,0.0,100.0
2008-06-30,11.15,11.15,11.15,,,11.15,0.0,100.0
2008-07-01,11.142,11.142,11.142,,,11.142,0.0,100.0
2008-07-02,11.049,11.049,11.049,,,11.049,0.0,100.0
2008-07-03,11.031,11.031,11.031,,,11.031,0.0,100.0
2008-07-07,10.936,10.936,10.936,,,10.936,0.0,100.0
2008-07-08,10.76,10.76,10.76,,,10.76,0.0,100.0
2008-07-09,10.684,10.684,10.684,,,10.684,0.0,100.0
2008-07-10,10.603,10.603,10.603,,,10.603,0.0,100.0
2008-07-11,10.511,10.511,10.511,,,10.511,0.0,100.0
2008-07-15,10.091,10.091,10.091,,,10.091,0.0,100.0
2008-07-16,9.868,9.868,9.868,,,9.868,0.0,100.0
2008-07-17,9.622,9.622,9.622,,,9.622,0.0,100.0
2008-07-18,9.529,9.529,9.529,,,9.529,0.0,100.0
2008-07-21,9.285,9.285,9.285,,,9.285,0.0,100.0
