Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1992-10-26,1.61,1.62,1.61,,,1.62,10.0,10.0
1992-10-27,1.65,1.65,1.65,,,1.65,0.0,10.0
1992-10-28,1.66,1.66,1.66,,,1.66,0.0,10.0
1992-10-29,1.655,1.655,1.655,,,1.655,10.0,15.0
1992-10-30,1.67,1.67,1.665,,,1.665,5.0,25.0
1992-11-02,1.715,1.715,1.68,,,1.69,17.0,41.0
1992-11-03,1.695,1.695,1.695,,,1.695,0.0,41.0
1992-11-04,1.695,1.695,1.685,,,1.685,33.0,74.0
1992-11-05,1.685,1.685,1.685,,,1.685,9.0,79.0
1992-11-06,1.68,1.68,1.68,,,1.68,0.0,79.0
1992-11-09,1.68,1.68,1.68,,,1.68,0.0,79.0
1992-11-10,1.715,1.715,1.715,,,1.715,0.0,79.0
1992-11-11,1.7,1.725,1.7,,,1.72,114.0,151.0
1992-11-12,1.72,1.72,1.7,,,1.7,175.0,205.0
1992-11-13,1.7,1.7,1.68,,,1.68,14.0,233.0
1992-11-16,1.68,1.7,1.64,,,1.64,29.0,242.0
1992-11-17,1.66,1.68,1.66,,,1.66,123.0,315.0
1992-11-18,1.62,1.625,1.62,,,1.625,10.0,319.0
1992-11-19,1.6,1.6,1.6,,,1.6,5.0,315.0
1992-11-20,1.6,1.605,1.6,,,1.6,17.0,324.0
1992-11-23,1.58,1.58,1.58,,,1.58,13.0,328.0
1992-11-24,1.595,1.595,1.54,,,1.575,117.0,394.0
1992-11-25,1.575,1.61,1.575,,,1.61,16.0,392.0
1992-11-30,1.65,1.65,1.65,,,1.65,0.0,392.0
1992-12-01,1.65,1.655,1.63,,,1.63,64.0,426.0
1992-12-02,1.65,1.67,1.65,,,1.67,20.0,434.0
1992-12-03,1.67,1.68,1.67,,,1.68,4.0,368.0
1992-12-04,1.7,1.73,1.7,,,1.715,68.0,405.0
1992-12-07,1.7,1.71,1.7,,,1.708,53.0,430.0
1992-12-08,1.71,1.71,1.67,,,1.695,92.0,469.0
1992-12-09,1.685,1.685,1.665,,,1.665,20.0,484.0
1992-12-10,1.675,1.675,1.65,,,1.655,57.0,518.0
1992-12-11,1.605,1.64,1.605,,,1.64,2.0,520.0
1992-12-14,1.625,1.63,1.625,,,1.625,20.0,532.0
1992-12-15,1.625,1.625,1.625,,,1.625,10.0,540.0
1992-12-16,1.62,1.62,1.62,,,1.62,10.0,540.0
1992-12-17,1.635,1.635,1.635,,,1.635,13.0,544.0
