Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,8.109,8.109,8.109,,,8.109,0.0,0.0
2008-02-20,8.089,8.089,8.089,,,8.089,0.0,0.0
2008-02-21,8.115,8.115,8.115,,,8.115,0.0,0.0
2008-02-22,8.137,8.137,8.137,,,8.137,0.0,0.0
2008-02-25,8.18,8.18,8.18,,,8.18,0.0,0.0
2008-02-26,8.35,8.35,8.35,,,8.35,0.0,0.0
2008-02-27,8.368,8.368,8.368,,,8.368,0.0,0.0
2008-02-28,8.477,8.477,8.477,,,8.477,2.0,2.0
2008-02-29,8.577,8.577,8.577,,,8.577,0.0,2.0
2008-03-03,8.688,8.688,8.688,,,8.688,0.0,2.0
2008-03-05,8.736,8.736,8.736,,,8.736,0.0,2.0
2008-03-06,8.712,8.712,8.712,,,8.712,0.0,2.0
2008-03-07,8.659,8.659,8.659,,,8.659,0.0,2.0
2008-03-10,0.0,8.609,8.609,,,8.609,0.0,2.0
2008-03-11,8.703,8.703,8.703,,,8.703,0.0,2.0
2008-03-12,8.822,8.822,8.822,,,8.822,11.0,13.0
2008-03-13,0.0,9.214,9.214,,,9.214,0.0,13.0
2008-03-14,9.186,9.186,9.186,,,9.186,0.0,13.0
2008-03-17,8.854,8.854,8.854,,,8.854,0.0,13.0
2008-03-18,8.911,8.911,8.911,,,8.911,0.0,13.0
2008-03-19,8.627,8.627,8.627,,,8.627,0.0,13.0
2008-03-20,8.337,8.337,8.337,,,8.337,0.0,13.0
2008-03-24,8.5,8.5,8.5,,,8.5,0.0,13.0
2008-03-25,8.681,8.681,8.681,,,8.681,0.0,13.0
2008-03-26,8.744,8.744,8.744,,,8.744,0.0,13.0
2008-03-27,8.709,8.709,8.709,,,8.709,0.0,13.0
2008-03-28,8.49,8.49,8.49,,,8.49,0.0,13.0
2008-03-31,8.438,8.438,8.438,,,8.438,0.0,13.0
2008-04-01,8.309,8.309,8.309,,,8.309,0.0,13.0
2008-04-02,8.437,8.437,8.437,,,8.437,0.0,13.0
2008-04-03,8.339,8.339,8.339,,,8.339,0.0,13.0
2008-04-04,8.437,8.437,8.437,,,8.437,0.0,13.0
2008-04-07,8.614,8.614,8.614,,,8.614,0.0,13.0
2008-04-08,8.569,8.569,8.569,,,8.569,0.0,13.0
2008-04-09,8.56,8.56,8.56,,,8.56,0.0,13.0
2008-04-10,8.44,8.44,8.44,,,8.44,0.0,13.0
2008-04-11,8.35,8.35,8.35,,,8.35,0.0,13.0
2008-04-14,8.328,8.328,8.328,,,8.328,0.0,13.0
2008-04-15,8.295,8.295,8.295,,,8.295,0.0,13.0
2008-04-16,8.291,8.291,8.291,,,8.291,0.0,13.0
2008-04-17,8.366,8.366,8.366,,,8.366,0.0,13.0
2008-04-18,8.577,8.577,8.577,,,8.577,0.0,13.0
2008-04-21,8.74,8.74,8.74,,,8.74,3.0,13.0
2008-04-22,8.829,8.829,8.829,,,8.829,0.0,13.0
2008-04-23,8.906,8.906,8.906,,,8.906,0.0,13.0
2008-04-24,8.815,8.815,8.815,,,8.815,0.0,13.0
2008-04-25,8.804,8.804,8.804,,,8.804,1.0,13.0
2008-04-28,8.829,8.829,8.829,,,8.829,0.0,13.0
2008-04-29,8.71,8.71,8.71,,,8.71,0.0,13.0
2008-04-30,8.725,8.725,8.725,,,8.725,0.0,13.0
2008-05-02,8.779,8.779,8.779,,,8.779,0.0,13.0
2008-05-05,8.77,8.77,8.77,,,8.77,0.0,13.0
2008-05-06,8.756,8.756,8.756,,,8.756,0.0,13.0
2008-05-07,8.797,8.797,8.797,,,8.797,0.0,13.0
2008-05-08,8.764,8.764,8.764,,,8.764,0.0,13.0
2008-05-09,8.745,8.745,8.745,,,8.745,0.0,13.0
2008-05-12,8.8,8.8,8.674,,,8.674,0.0,13.0
2008-05-13,8.8,8.8,8.69,,,8.69,3.0,14.0
2008-05-14,0.0,8.73,8.73,,,8.73,1.0,15.0
2008-05-15,8.778,8.778,8.778,,,8.778,0.0,15.0
2008-05-16,8.859,8.859,8.859,,,8.859,0.0,15.0
2008-05-19,9.226,9.226,9.226,,,9.226,0.0,15.0
2008-05-20,9.742,9.742,9.742,,,9.742,0.0,15.0
2008-05-21,9.949,9.949,9.949,,,9.949,0.0,15.0
2008-05-22,9.89,9.89,9.89,,,9.89,3.0,15.0
2008-05-23,9.839,9.839,9.839,,,9.839,15.0,26.0
2008-05-27,9.816,9.816,9.816,,,9.816,32.0,34.0
2008-05-28,9.797,9.797,9.797,,,9.797,0.0,34.0
2008-05-29,9.763,9.763,9.763,,,9.763,15.0,49.0
2008-05-30,9.817,9.817,9.817,,,9.817,0.0,49.0
2008-06-02,9.924,9.924,9.924,,,9.924,0.0,49.0
2008-06-03,9.991,9.991,9.991,,,9.991,0.0,49.0
2008-06-04,9.892,9.892,9.892,,,9.892,0.0,49.0
2008-06-05,9.765,9.765,9.765,,,9.765,0.0,49.0
2008-06-06,9.882,9.882,9.882,,,9.882,0.0,49.0
2008-06-09,10.094,10.094,10.094,,,10.094,0.0,49.0
2008-06-10,10.162,10.162,10.162,,,10.162,0.0,49.0
2008-06-11,10.305,10.305,10.305,,,10.305,0.0,49.0
2008-06-12,10.377,10.377,10.377,,,10.377,0.0,49.0
2008-06-13,10.363,10.363,10.363,,,10.363,0.0,49.0
2008-06-17,10.46,10.46,10.46,,,10.46,0.0,49.0
2008-06-18,10.491,10.491,10.491,,,10.491,0.0,49.0
2008-06-19,10.384,10.384,10.384,,,10.384,0.0,49.0
2008-06-20,10.435,10.435,10.435,,,10.435,0.0,49.0
2008-06-23,10.525,10.525,10.525,,,10.525,0.0,49.0
2008-06-24,10.566,10.566,10.566,,,10.566,0.0,49.0
2008-06-25,10.54,10.54,10.54,,,10.54,0.0,49.0
2008-06-26,10.626,10.626,10.626,,,10.626,0.0,49.0
2008-06-27,10.618,10.618,10.618,,,10.618,0.0,49.0
2008-06-30,10.65,10.65,10.65,,,10.65,0.0,49.0
2008-07-01,10.612,10.612,10.612,,,10.612,0.0,49.0
2008-07-02,10.489,10.489,10.489,,,10.489,0.0,49.0
2008-07-03,10.471,10.471,10.471,,,10.471,0.0,49.0
2008-07-07,10.341,10.341,10.341,,,10.341,0.0,49.0
2008-07-08,10.165,10.165,10.165,,,10.165,0.0,49.0
2008-07-09,10.089,10.089,10.089,,,10.089,0.0,49.0
2008-07-10,10.018,10.018,10.018,,,10.018,0.0,49.0
2008-07-11,9.926,9.926,9.926,,,9.926,8.0,57.0
2008-07-15,9.526,9.526,9.526,,,9.526,0.0,57.0
2008-07-16,9.303,9.303,9.303,,,9.303,0.0,57.0
2008-07-17,9.107,9.107,9.107,,,9.107,2.0,57.0
2008-07-18,9.014,9.014,9.014,,,9.014,0.0,57.0
2008-07-21,8.8,8.8,8.8,,,8.8,0.0,57.0
2008-07-22,8.389,8.389,8.389,,,8.389,0.0,57.0
2008-07-23,8.232,8.232,8.232,,,8.232,0.0,57.0
2008-07-24,8.068,8.068,8.068,,,8.068,0.0,57.0
2008-07-25,7.997,7.997,7.997,,,7.997,2.0,57.0
