Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-02-21,8.375,8.375,8.375,,,8.375,0.0,0.0
2010-06-01,0.0,7.586,7.586,,,7.586,0.0,0.0
2010-06-02,0.0,7.6,7.6,,,7.6,0.0,0.0
2010-06-03,0.0,7.58,7.58,,,7.58,0.0,0.0
2010-06-04,0.0,7.514,7.514,,,7.514,0.0,0.0
2010-06-07,0.0,7.522,7.522,,,7.522,0.0,0.0
2010-06-08,0.0,7.482,7.482,,,7.482,0.0,0.0
2010-06-09,0.0,7.491,7.491,,,7.491,0.0,0.0
2010-06-10,0.0,7.558,7.558,,,7.558,0.0,0.0
2010-06-11,0.0,7.523,7.523,,,7.523,0.0,0.0
2010-06-14,0.0,7.43,7.43,,,7.43,0.0,0.0
2010-06-15,0.0,7.436,7.436,,,7.436,0.0,0.0
2010-06-16,0.0,7.559,7.559,,,7.559,0.0,0.0
2010-06-17,0.0,7.643,7.643,,,7.643,0.0,0.0
2010-06-18,0.0,7.722,7.722,,,7.722,0.0,0.0
2010-06-21,0.0,7.69,7.69,,,7.69,0.0,0.0
2010-06-22,0.0,7.707,7.707,,,7.707,0.0,0.0
2010-06-23,0.0,7.763,7.763,,,7.763,0.0,0.0
2010-06-24,0.0,7.773,7.773,,,7.773,0.0,0.0
2010-06-25,0.0,7.773,7.773,,,7.773,0.0,0.0
2010-06-28,0.0,7.681,7.681,,,7.681,0.0,0.0
2010-06-29,0.0,7.618,7.618,,,7.618,0.0,0.0
2010-06-30,0.0,7.599,7.599,,,7.599,0.0,0.0
2010-07-01,0.0,7.599,7.599,,,7.599,0.0,0.0
2010-07-02,0.0,7.523,7.523,,,7.523,0.0,0.0
2010-07-06,0.0,7.513,7.513,,,7.513,0.0,0.0
2010-07-07,0.0,7.629,7.629,,,7.629,0.0,0.0
2010-07-08,0.0,7.643,7.643,,,7.643,0.0,0.0
2010-07-09,0.0,7.666,7.666,,,7.666,0.0,0.0
2010-07-12,0.0,7.645,7.645,,,7.645,0.0,0.0
2010-07-13,0.0,7.58,7.58,,,7.58,0.0,0.0
2010-07-14,0.0,7.673,7.673,,,7.673,0.0,0.0
2010-07-15,0.0,7.735,7.735,,,7.735,0.0,0.0
2010-07-16,0.0,7.538,7.538,,,7.538,0.0,0.0
2010-07-19,0.0,7.523,7.523,,,7.523,0.0,0.0
